"",BBEX3.M.TZS.USD.CA.AA.A01,BBEX3.M.TZS.USD.CA.AA.A01_FLAGS
1991-02,199.0697,
1991-03,202.6517,
1991-04,206.9302,
1991-05,225.0690,
1991-06,228.8202,
1991-07,229.6825,
1991-08,229.6825,
1991-09,229.6825,
1991-10,228.8202,
1991-11,232.7007,
1991-12,232.7007,
1992-01,233.5777,
1992-02,246.6613,
1992-03,289.6075,
1992-04,299.5950,
1992-05,299.5950,
1992-06,299.5950,
1992-07,320.5363,
1992-08,320.5363,
1992-09,320.5363,
1992-10,320.5363,
1992-11,330.3990,
1992-12,330.3990,
1993-01,345.1930,
1993-02,345.1930,
1993-03,345.1930,
1993-04,359.9870,
1993-05,359.9870,
1993-06,389.5749,
1993-07,431.0788,
1993-08,449.6173,
1993-09,468.4652,
1993-10,448.7586,
1993-11,451.5680,
1993-12,473.8724,
1994-01,483.3834,
1994-02,492.9484,
1994-03,487.9218,
1994-04,493.9902,
1994-05,509.0390,
1994-06,514.2452,
1994-07,505.8368,
1994-08,510.1194,
1994-09,519.8410,
1994-10,520.8406,
1994-11,519.9488,
1994-12,518.1652,
1995-01,532.9338,
1995-02,539.1666,
1995-03,539.0392,
1995-04,545.0858,
1995-05,575.2796,
1995-06,596.8200,
1995-07,594.6052,
1995-08,609.7070,
1995-09,607.6000,
1995-10,604.1700,
1995-11,563.5196,
1995-12,544.8016,
1996-01,536.1090,
1996-02,536.0600,
1996-03,536.5500,
1996-04,544.8114,
1996-05,600.3480,
1996-06,613.9210,
1996-07,589.8620,
1996-08,584.7758,
1996-09,584.5210,
1996-10,591.0674,
1996-11,588.1666,
1996-12,589.6268,
1997-01,592.0278,
1997-02,593.9192,
1997-03,594.0760,
1997-04,597.5060,
1997-05,612.4314,
1997-06,618.3800,
1997-07,618.4976,
1997-08,612.6568,
1997-09,609.0700,
1997-10,609.0700,
1997-11,611.5788,
1997-12,618.2624,
1998-01,633.5700,
1998-02,658.3500,
1998-03,658.3599,
1998-04,657.7857,
1998-05,655.6039,
1998-06,658.8351,
1998-07,663.7554,
1998-08,661.8150,
1998-09,668.3985,
1998-10,668.3886,
1998-11,671.3091,
1998-12,674.1900,
1999-01,677.6550,
1999-02,683.3871,
1999-03,687.0600,
1999-04,700.6131,
1999-05,701.3952,
1999-06,729.6300,
1999-07,782.5752,
1999-08,788.3964,
1999-09,789.9210,
1999-10,789.2874,
1999-11,789.3567,
1999-12,789.3567,
2000-01,792.4059,
2000-02,792.7425,
2000-03,792.4950,
2000-04,791.5050,
2000-05,791.5050,
2000-06,791.5446,
2000-07,791.4555,
2000-08,791.3565,
2000-09,791.1288,
2000-10,795.1680,
2000-11,795.2769,
2000-12,795.2274,
2001-01,801.4050,
2001-02,813.7800,
2001-03,851.4594,
2001-04,880.5951,
2001-05,880.3080,
2001-06,879.1497,
2001-07,883.6443,
2001-08,883.5453,
2001-09,881.1000,
2001-10,894.9798,
2001-11,909.3546,
2001-12,907.1370,
2002-01,926.6400,
2002-02,960.7950,
2002-03,971.4672,
2002-04,956.7360,
2002-05,950.0040,
2002-06,937.4607,
2002-07,942.3018,
2002-08,955.6470,
2002-09,959.7555,
2002-10,970.6851,
2002-11,974.6946,
2002-12,966.5370,
2003-01,1010.1564,
2003-02,1017.2052,
2003-03,1019.8485,
2003-04,1029.8871,
2003-05,1036.6983,
2003-06,1036.9161,
2003-07,1034.6094,
2003-08,1036.7478,
2003-09,1034.2035,
2003-10,1039.3119,
2003-11,1037.2131,
2003-12,1052.9838,
2004-01,1097.9100,
2004-02,1098.8604,
2004-03,1097.3259,
2004-04,1108.3050,
2004-05,1105.3350,
2004-06,1096.2468,
2004-07,1086.4359,
2004-08,1072.3977,
2004-09,1049.8455,
2004-10,1049.9148,
2004-11,1050.3702,
2004-12,1032.5304,
2005-01,1091.0097,
2005-02,1106.3943,
2005-03,1093.2471,
2005-04,1093.9500,
2005-05,1112.5620,
2005-06,1115.0370,
2005-07,1124.3133,
2005-08,1122.2937,
2005-09,1124.8875,
2005-10,1130.1345,
2005-11,1183.1688,
2005-12,1153.8549,
2006-01,1172.8629,
2006-02,1174.1400,
2006-03,1211.5818,
2006-04,1213.4430,
2006-05,1244.4300,
2006-06,1240.5492,
2006-07,1274.9913,
2006-08,1306.8000,
2006-09,1259.9730,
2006-10,1274.2686,
2006-11,1277.4366,
2006-12,1248.5979,
2007-01,1288.4256,
2007-02,1250.7462,
2007-03,1229.5404,
2007-04,1265.5269,
2007-05,1245.8853,
2007-06,1256.7753,
2007-07,1268.2098,
2007-08,1263.1707,
2007-09,1217.5911,
2007-10,1155.3300,
2007-11,1159.0029,
2007-12,1120.7691,
2008-01,1160.1810,
2008-02,1161.5076,
2008-03,1224.4518,
2008-04,1189.1385,
2008-05,1185.1983,
2008-06,1169.0910,
2008-07,1152.4392,
2008-08,1153.0827,
2008-09,1157.2506,
2008-10,1265.1606,
2008-11,1246.1229,
2008-12,1267.4970,
2009-01,1274.0000,
2009-02,1289.3076,
2009-03,1300.4600,
2009-04,1307.0456,
2009-05,1296.7458,
2009-06,1286.2598,
2009-07,1300.0778,
2009-08,1288.6902,
2009-09,1289.5624,
2009-10,1294.3448,
2009-11,1301.4498,
2009-12,1300.0288,
2010-01,1310.2502,
2010-02,1312.6414,
2010-03,1316.7770,
2010-04,1329.9384,
2010-05,1362.0530,
2010-06,1365.4438,
2010-07,1368.2956,
2010-08,1455.7312,
2010-09,1468.8338,
2010-10,1467.0796,
2010-11,1455.6626,
2010-12,1438.8556,
2011-01,1468.2948,
2011-02,1482.8968,
2011-03,1475.6938,
2011-04,1481.9364,
2011-05,1502.9868,
2011-06,1563.7272,
2011-07,1553.7998,
2011-08,1588.6290,
2011-09,1614.7264,
2011-10,1629.7204,
2011-11,1639.2166,
2011-12,1550.8304,
2012-01,1559.7778,
2012-02,1557.7100,
2012-03,1559.1114,
2012-04,1552.5356,
2012-05,1554.9170,
2012-06,1561.1089,
2012-07,1566.9604,
2012-08,1559.4059,
2012-09,1561.4554,
2012-10,1564.1683,
2012-11,1563.5644,
2012-12,1563.8020,
2013-01,1576.2772,
2013-02,1579.6238,
2013-03,1582.6040,
2013-04,1583.1287,
2013-05,1591.4158,
2013-06,1594.6832,
2013-07,1605.4158,
2013-08,1603.3762,
2013-09,1596.7624,
2013-10,1593.5446,
2013-11,1599.6436,
2013-12,1566.1782,
2014-01,1606.3960,
2014-02,1611.4356,
2014-03,1622.5842,
2014-04,1625.0891,
2014-05,1636.2376,
2014-06,1641.4653,
2014-07,1646.5842,
2014-08,1652.3069,
2014-09,1656.7822,
2014-10,1675.0198,
2014-11,1719.2970,
2014-12,1717.1980,
2015-01,1752.0198,
2015-02,1772.5941,
"","Source: Bank of Tanzania, Dar es Salaam",
"","Comment on 1984-06: On 15 June 1984, the exchange rates were adjusted more sharply. We recorded the following exchange rates (buying/selling rate): 14 June 1984: USD 1 = TZS 12.5831 / 12.6629 16 June 1984: USD 1 = TZS 17.0197 / 17.1269 Calculated devaluation: 26.1%.",
"","Comment on 1986-04: From April to June 1986, the Tanzania shilling, which is pegged to a currency basket, was devalued in several stages.",
"","Comment on 1986-05: From April to June 1986, the Tanzania shilling, which is pegged to a currency basket, was devalued in several stages.",
"","Comment on 1986-06: From April to June 1986, the Tanzania shilling, which is pegged to a currency basket, was devalued in several stages.",
"","Comment on 1988-11: On 5 November 1988, the exchange rates were adjusted more sharply. We recorded the following exchange rates (buying/selling rate): 4 November 1988: USD 1 = TZS 98.6715 / 99.6637 7 November 1988: USD 1 = TZS 119.3997 / 120.6003 Calculated devaluation: 17.4%.",
"","Comment on 1989-12: On 3 December 1989, the exchange rates were adjusted more sharply. We recorded the following exchange rates (buying/selling rate): 2 December 1989: USD 1 = TZS 156.6547 / 158.2297 3 December 1989: USD 1 = TZS 189.0497 / 190.9503 Calculated devaluation: 17.1%.",
