"",BBDE1.M.DE.Y.AEB5.A2P310000.F.V.I10.A,BBDE1.M.DE.Y.AEB5.A2P310000.F.V.I10.A_FLAGS
2011-06,109.6,
2011-07,108.6,
2011-08,110.1,
2011-09,105.9,
2011-10,104.0,
2011-11,101.2,
2011-12,109.1,
2012-01,107.5,
2012-02,109.8,
2012-03,104.2,
2012-04,104.8,
2012-05,107.0,
2012-06,104.8,
2012-07,104.7,
2012-08,106.6,
2012-09,100.3,
2012-10,106.0,
2012-11,102.8,
2012-12,104.3,
2013-01,101.9,
2013-02,102.4,
2013-03,106.4,
2013-04,104.3,
2013-05,103.8,
2013-06,103.2,
2013-07,103.0,
2013-08,103.4,
2013-09,104.4,
2013-10,112.8,
2013-11,107.5,
2013-12,104.2,
2014-01,106.4,
2014-02,108.1,
2014-03,107.3,
2014-04,106.7,
2014-05,102.5,
2014-06,106.5,
2014-07,107.3,
2014-08,104.0,
2014-09,109.5,
2014-10,112.4,
2014-11,110.2,
2014-12,110.7,Provisional value
