"",BBSF2.M.1.T.00000.TOT01.I.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
1993-10,2637,
1993-11,2653,
1993-12,2692,
1994-01,2725,
1994-02,2767,
1994-03,2798,
1994-04,2825,
1994-05,2864,
1994-06,2884,
1994-07,2921,
1994-08,2953,
1994-09,2973,
1994-10,2993,
1994-11,3007,
1994-12,3054,
1995-01,3072,
1995-02,3101,
1995-03,3113,
1995-04,3130,
1995-05,3145,
1995-06,3155,
1995-07,3162,
1995-08,3179,
1995-09,3179,
1995-10,3184,
1995-11,3189,
1995-12,3233,
1996-01,3276,
1996-02,3303,
1996-03,3336,
1996-04,3374,
1996-05,3393,
1996-06,3411,
1996-07,3448,
1996-08,3484,
1996-09,3502,
1996-10,3550,
1996-11,3564,
1996-12,3610,
1997-01,3665,
1997-02,3706,
1997-03,3756,
1997-04,3804,
1997-05,3839,
1997-06,3894,
1997-07,3972,
1997-08,4040,
1997-09,4105,
1997-10,4160,
1997-11,4194,
1997-12,4240,
1998-01,4305,
1998-02,4368,
1998-03,4511,
1998-04,4531,
1998-05,4580,
1998-06,4633,
1998-07,4716,
1998-08,4788,
1998-09,4853,
1998-10,4914,
1998-11,4971,
1998-12,5050,
1999-01,5115,
1999-02,5177,
1999-03,5224,
1999-04,5281,
1999-05,5345,
1999-06,5396,
1999-07,5478,
1999-08,5538,
1999-09,5571,
1999-10,5624,
1999-11,5666,
1999-12,5757,
2000-01,5818,
2000-02,5868,
2000-03,5934,
2000-04,6015,
2000-05,6077,
2000-06,6116,
2000-07,6175,
2000-08,6217,
2000-09,6277,
2000-10,6356,
2000-11,6388,
2000-12,6447,
2001-01,6544,
2001-02,6617,
2001-03,6627,
2001-04,6677,
2001-05,6716,
2001-06,6731,
2001-07,6812,
2001-08,6845,
2001-09,6843,
2001-10,6842,
2001-11,6836,
2001-12,6825,
2002-01,6842,
2002-02,6839,
2002-03,6836,
2002-04,6864,
2002-05,6850,
2002-06,6838,
2002-07,6839,
2002-08,6857,
2002-09,6838,
2002-10,6847,
2002-11,6804,
2002-12,6696,
2003-01,6702,
2003-02,6668,
2003-03,6634,
2003-04,6638,
2003-05,6631,
2003-06,6616,
2003-07,6580,
2003-08,6595,
2003-09,6580,
2003-10,6592,
2003-11,6542,
2003-12,6532,
2004-01,6524,
2004-02,6498,
2004-03,6485,
2004-04,6474,
2004-05,6453,
2004-06,6429,
2004-07,6414,
2004-08,6404,
2004-09,6334,
2004-10,6303,
2004-11,6256,
2004-12,6196,
2005-01,6203,
2005-02,6186,
2005-03,6142,
2005-04,6140,
2005-05,6121,
2005-06,6124,
2005-07,6118,
2005-08,6133,
2005-09,6111,
2005-10,6095,
2005-11,6074,
2005-12,6020,
2006-01,6044,
2006-02,6046,
2006-03,6023,
2006-04,5993,
2006-05,5972,
2006-06,5959,
2006-07,5958,
2006-08,5956,
2006-09,5965,
2006-10,5959,
2006-11,5941,
2006-12,5884,
2007-01,5848,
2007-02,5833,
2007-03,5818,
2007-04,5813,
2007-05,5822,
2007-06,5817,
2007-07,5828,
2007-08,5837,
2007-09,5845,
2007-10,5958,
2007-11,5978,
2007-12,6016,
2008-01,6008,
2008-02,6003,
2008-03,6014,
2008-04,6051,
2008-05,6062,
2008-06,6050,
2008-07,6051,
2008-08,6057,
2008-09,6061,
2008-10,6046,
2008-11,6076,
2008-12,6050,
2009-01,6032,
2009-02,6034,
2009-03,6029,
2009-04,6022,
2009-05,6006,
2009-06,6001,
2009-07,6009,
2009-08,6021,
2009-09,6022,
2009-10,6031,
2009-11,6000,
2009-12,5969,
2010-01,5983,
2010-02,5960,
2010-03,5981,
2010-04,5978,
2010-05,5978,
2010-06,5965,
2010-07,5958,
2010-08,5997,
2010-09,6004,
2010-10,6009,
2010-11,6018,
2010-12,5997,
2011-01,5991,
2011-02,5977,
2011-03,5962,
2011-04,5956,
2011-05,5949,
2011-06,5926,
2011-07,5922,
2011-08,5912,
2011-09,5915,
2011-10,5917,
2011-11,5912,
2011-12,5892,
2012-01,5891,
2012-02,5893,
2012-03,5878,
2012-04,5926,
2012-05,5913,
2012-06,5926,
2012-07,5934,
2012-08,5978,
2012-09,6007,
2012-10,6092,
2012-11,6069,
2012-12,6069,
2013-01,6053,
2013-02,6033,
2013-03,6029,
2013-04,6021,
2013-05,6016,
2013-06,5983,
2013-07,6215,
2013-08,6207,
2013-09,6182,
2013-10,6126,
2013-11,6071,
2013-12,6090,
2014-01,6059,
2014-02,6069,
2014-03,6036,
2014-04,6045,
2014-05,6036,
2014-06,6026,
2014-07,5982,
2014-08,5987,
2014-09,5984,
2014-10,5987,
2014-11,5971,
