"",BBDA1.M.DE.N.SD.S.A.W1.A.V.ABA.L,BBDA1.M.DE.N.SD.S.A.W1.A.V.ABA.L_FLAGS
1957-06,0.18,
1957-07,0.16,
1957-08,0.24,
1957-09,0.12,
1957-10,0.17,
1957-11,0.20,
1957-12,0.24,
1958-01,-0.10,
1958-02,0.24,
1958-03,0.21,
1958-04,0.26,
1958-05,0.28,
1958-06,0.21,
1958-07,0.21,
1958-08,0.24,
1958-09,0.26,
1958-10,0.28,
1958-11,0.19,
1958-12,0.26,
1959-01,0.08,
1959-02,0.31,
1959-03,0.21,
1959-04,0.17,
1959-05,0.24,
1959-06,0.25,
1959-07,0.19,
1959-08,0.18,
1959-09,0.25,
1959-10,0.29,
1959-11,0.35,
1959-12,0.21,
1960-01,0.14,
1960-02,0.20,
1960-03,0.36,
1960-04,0.16,
1960-05,0.20,
1960-06,0.09,
1960-07,0.22,
1960-08,0.10,
1960-09,0.26,
1960-10,0.21,
1960-11,0.29,
1960-12,0.43,
1961-01,0.21,
1961-02,0.43,
1961-03,0.33,
1961-04,0.37,
1961-05,0.15,
1961-06,0.35,
1961-07,0.26,
1961-08,0.30,
1961-09,0.32,
1961-10,0.18,
1961-11,0.21,
1961-12,0.26,
1962-01,0.02,
1962-02,0.01,
1962-03,0.30,
1962-04,0.25,
1962-05,0.15,
1962-06,0.08,
1962-07,0.14,
1962-08,0.11,
1962-09,0.24,
1962-10,0.22,
1962-11,0.08,
1962-12,0.18,
1963-01,0.05,
1963-02,0.13,
1963-03,0.20,
1963-04,0.23,
1963-05,0.31,
1963-06,0.07,
1963-07,0.17,
1963-08,0.27,
1963-09,0.20,
1963-10,0.43,
1963-11,0.47,
1963-12,0.56,
1964-01,0.33,
1964-02,0.47,
1964-03,0.41,
1964-04,0.39,
1964-05,0.38,
1964-06,0.24,
1964-07,0.12,
1964-08,0.07,
1964-09,0.17,
1964-10,0.24,
1964-11,0.05,
1964-12,0.24,
1965-01,0.07,
1965-02,0.22,
1965-03,0.28,
1965-04,0.00,
1965-05,0.13,
1965-06,-0.16,
1965-07,0.05,
1965-08,-0.16,
1965-09,-0.13,
1965-10,0.04,
1965-11,-0.06,
1965-12,0.33,
1966-01,0.10,
1966-02,0.19,
1966-03,0.15,
1966-04,0.17,
1966-05,0.33,
1966-06,0.20,
1966-07,0.47,
1966-08,0.18,
1966-09,0.50,
1966-10,0.41,
1966-11,0.39,
1966-12,0.98,
1967-01,0.73,
1967-02,0.72,
1967-03,0.76,
1967-04,0.94,
1967-05,0.65,
1967-06,0.67,
1967-07,0.66,
1967-08,0.51,
1967-09,0.77,
1967-10,0.84,
1967-11,0.60,
1967-12,0.76,
1968-01,0.65,
1968-02,0.66,
1968-03,0.91,
1968-04,0.56,
1968-05,0.66,
1968-06,0.53,
1968-07,0.72,
1968-08,0.63,
1968-09,0.78,
1968-10,0.88,
1968-11,1.04,
1968-12,1.38,
1969-01,0.06,
1969-02,0.54,
1969-03,0.82,
1969-04,0.67,
1969-05,0.73,
1969-06,0.60,
1969-07,0.84,
1969-08,0.52,
1969-09,0.67,
1969-10,0.74,
1969-11,0.74,
1969-12,1.03,
1970-01,0.07,
1970-02,0.67,
1970-03,0.77,
1970-04,0.57,
1970-05,0.57,
1970-06,0.58,
1970-07,1.00,
1970-08,0.49,
1970-09,0.69,
1970-10,0.87,
1970-11,0.34,
1970-12,1.38,
1971-01,0.42,
1971-02,0.48,
1971-03,0.97,
1971-04,0.55,
1971-05,0.63,
1971-06,0.48,
1971-07,0.72,
1971-08,0.68,
1971-09,0.99,
1971-10,0.78,
1971-11,0.48,
1971-12,0.96,
1972-01,0.55,
1972-02,0.90,
1972-03,0.86,
1972-04,0.70,
1972-05,0.67,
1972-06,0.63,
1972-07,0.83,
1972-08,0.69,
1972-09,0.83,
1972-10,1.34,
1972-11,0.87,
1972-12,1.49,
1973-01,0.82,
1973-02,0.99,
1973-03,1.20,
1973-04,1.31,
1973-05,1.42,
1973-06,0.83,
1973-07,1.50,
1973-08,1.65,
1973-09,1.93,
1973-10,2.02,
1973-11,1.65,
1973-12,1.55,
1974-01,1.82,
1974-02,2.59,
1974-03,2.37,
1974-04,2.35,
1974-05,2.50,
1974-06,1.29,
1974-07,2.28,
1974-08,1.62,
1974-09,2.10,
1974-10,2.37,
1974-11,2.01,
1974-12,2.70,
1975-01,1.85,
1975-02,1.78,
1975-03,1.76,
1975-04,1.44,
1975-05,1.67,
1975-06,1.61,
1975-07,1.90,
1975-08,0.89,
1975-09,1.44,
1975-10,1.46,
1975-11,1.61,
1975-12,1.65,
1976-01,1.27,
1976-02,1.11,
1976-03,2.03,
1976-04,1.18,
1976-05,1.67,
1976-06,1.03,
1976-07,1.32,
1976-08,0.61,
1976-09,2.39,
1976-10,1.83,
1976-11,1.52,
1976-12,1.66,
1977-01,1.01,
1977-02,1.40,
1977-03,2.15,
1977-04,1.50,
1977-05,1.86,
1977-06,1.48,
1977-07,0.89,
1977-08,1.29,
1977-09,1.88,
1977-10,2.46,
1977-11,1.57,
1977-12,2.16,
1978-01,1.08,
1978-02,1.45,
1978-03,2.17,
1978-04,1.66,
1978-05,1.55,
1978-06,2.03,
1978-07,0.89,
1978-08,1.60,
1978-09,2.41,
1978-10,2.45,
1978-11,1.82,
1978-12,1.96,
1979-01,0.99,
1979-02,1.23,
1979-03,1.79,
1979-04,1.67,
1979-05,1.02,
1979-06,0.89,
1979-07,0.31,
1979-08,0.50,
1979-09,0.96,
1979-10,0.92,
1979-11,0.77,
1979-12,0.40,
1980-01,0.16,
1980-02,0.21,
1980-03,1.02,
1980-04,0.56,
1980-05,0.15,
1980-06,0.14,
1980-07,0.05,
1980-08,-0.09,
1980-09,0.80,
1980-10,0.85,
1980-11,0.19,
1980-12,0.52,
1981-01,-0.48,
1981-02,0.44,
1981-03,-0.09,
1981-04,1.68,
1981-05,0.79,
1981-06,0.89,
1981-07,1.88,
1981-08,-0.03,
1981-09,1.78,
1981-10,2.70,
1981-11,1.98,
1981-12,2.63,
1982-01,0.58,
1982-02,1.85,
1982-03,3.27,
1982-04,1.76,
1982-05,2.56,
1982-06,2.44,
1982-07,1.92,
1982-08,1.39,
1982-09,2.65,
1982-10,2.05,
1982-11,2.48,
1982-12,3.27,
1983-01,1.39,
1983-02,1.91,
1983-03,2.79,
1983-04,1.38,
1983-05,1.86,
1983-06,1.97,
1983-07,1.10,
1983-08,1.30,
1983-09,1.85,
1983-10,2.13,
1983-11,1.72,
1983-12,2.10,
1984-01,1.03,
1984-02,2.47,
1984-03,2.32,
1984-04,1.29,
1984-05,2.46,
1984-06,0.64,
1984-07,1.52,
1984-08,1.94,
1984-09,2.73,
1984-10,4.51,
1984-11,3.57,
1984-12,3.12,
1985-01,1.31,
1985-02,2.40,
1985-03,3.26,
1985-04,2.81,
1985-05,3.84,
1985-06,2.83,
1985-07,3.46,
1985-08,1.72,
1985-09,3.80,
1985-10,4.43,
1985-11,3.59,
1985-12,4.06,
1986-01,3.62,
1986-02,3.58,
1986-03,4.33,
1986-04,5.16,
1986-05,4.16,
1986-06,5.07,
1986-07,5.59,
1986-08,4.16,
1986-09,5.30,
1986-10,5.47,
1986-11,5.24,
1986-12,5.92,
1987-01,3.66,
1987-02,5.34,
1987-03,5.17,
1987-04,4.69,
1987-05,5.39,
1987-06,4.26,
1987-07,5.06,
1987-08,3.32,
1987-09,5.88,
1987-10,5.16,
1987-11,5.62,
1987-12,6.64,
1988-01,4.34,
1988-02,4.17,
1988-03,4.37,
1988-04,4.86,
1988-05,5.27,
1988-06,7.28,
1988-07,5.66,
1988-08,4.77,
1988-09,5.77,
1988-10,5.41,
1988-11,6.69,
1988-12,6.89,
1989-01,6.05,
1989-02,5.67,
1989-03,6.58,
1989-04,5.05,
1989-05,5.41,
1989-06,7.10,
1989-07,5.41,
1989-08,5.73,
1989-09,6.36,
1989-10,4.90,
1989-11,5.43,
1989-12,5.14,
1990-01,6.56,
1990-02,5.48,
1990-03,6.86,
1990-04,3.91,
1990-05,6.15,
1990-06,4.17,
1990-07,5.09,
1990-08,3.79,
1990-09,4.11,
1990-10,4.27,
1990-11,1.68,
1990-12,1.81,
1991-01,0.73,
1991-02,1.44,
1991-03,1.47,
1991-04,-0.54,
1991-05,-0.35,
1991-06,0.24,
1991-07,0.13,
1991-08,1.60,
1991-09,0.84,
1991-10,1.16,
1991-11,1.84,
1991-12,2.64,
1992-01,0.12,
1992-02,1.17,
1992-03,2.58,
1992-04,1.25,
1992-05,0.65,
1992-06,1.05,
1992-07,0.65,
1992-08,2.92,
1992-09,2.89,
1992-10,2.83,
1992-11,0.88,
1992-12,0.22,
1993-01,1.33,
1993-02,3.00,
1993-03,3.23,
1993-04,1.56,
1993-05,2.59,
1993-06,3.41,
1993-07,1.83,
1993-08,1.60,
1993-09,2.37,
1993-10,3.52,
1993-11,2.84,
1993-12,3.57,
1994-01,2.60,
1994-02,2.55,
1994-03,2.73,
1994-04,3.27,
1994-05,3.25,
1994-06,4.93,
1994-07,1.74,
1994-08,3.79,
1994-09,2.74,
1994-10,3.24,
1994-11,3.55,
1994-12,2.30,
1995-01,4.26,
1995-02,2.96,
1995-03,2.51,
1995-04,3.48,
1995-05,4.07,
1995-06,3.97,
1995-07,2.60,
1995-08,3.53,
1995-09,3.91,
1995-10,3.96,
1995-11,5.10,
1995-12,3.26,
1996-01,2.58,
1996-02,4.44,
1996-03,3.19,
1996-04,3.93,
1996-05,4.66,
1996-06,3.29,
1996-07,5.44,
1996-08,3.97,
1996-09,4.07,
1996-10,5.83,
1996-11,5.41,
1996-12,3.57,
1997-01,2.23,
1997-02,4.14,
1997-03,4.60,
1997-04,4.96,
1997-05,4.31,
1997-06,6.06,
1997-07,5.57,
1997-08,3.83,
1997-09,6.90,
1997-10,5.01,
1997-11,5.82,
1997-12,6.09,
1998-01,2.66,
1998-02,5.70,
1998-03,6.17,
1998-04,5.30,
1998-05,6.83,
1998-06,5.42,
1998-07,6.80,
1998-08,4.00,
1998-09,5.54,
1998-10,5.99,
1998-11,7.69,
1998-12,2.82,
1999-01,4.17,
1999-02,5.52,
1999-03,5.63,
1999-04,5.63,
1999-05,3.25,
1999-06,6.81,
1999-07,7.10,
1999-08,3.02,
1999-09,5.55,
1999-10,5.64,
1999-11,7.81,
1999-12,5.08,
2000-01,3.12,
2000-02,7.12,
2000-03,6.13,
2000-04,5.30,
2000-05,4.50,
2000-06,6.61,
2000-07,5.94,
2000-08,2.92,
2000-09,4.25,
2000-10,6.79,
2000-11,4.76,
2000-12,1.68,
2001-01,5.66,
2001-02,7.17,
2001-03,9.71,
2001-04,6.17,
2001-05,8.21,
2001-06,7.73,
2001-07,9.44,
2001-08,9.04,
2001-09,7.07,
2001-10,9.66,
2001-11,7.35,
2001-12,8.29,
2002-01,10.53,
2002-02,10.56,
2002-03,12.24,
2002-04,10.02,
2002-05,10.41,
2002-06,11.30,
2002-07,13.22,
2002-08,10.48,
2002-09,11.84,
2002-10,11.53,
2002-11,12.28,
2002-12,8.38,
2003-01,9.27,
2003-02,10.67,
2003-03,9.90,
2003-04,9.11,
2003-05,10.40,
2003-06,10.33,
2003-07,13.84,
2003-08,10.17,
2003-09,14.42,
2003-10,11.00,
2003-11,10.23,
2003-12,10.58,
2004-01,12.50,
2004-02,12.27,
2004-03,16.59,
2004-04,14.37,
2004-05,14.14,
2004-06,14.79,
2004-07,13.57,
2004-08,10.92,
2004-09,11.95,
2004-10,12.39,
2004-11,11.76,
2004-12,10.85,
2005-01,13.31,
2005-02,13.62,
2005-03,16.27,
2005-04,12.41,
2005-05,11.97,
2005-06,16.30,
2005-07,13.55,
2005-08,12.24,
2005-09,14.91,
2005-10,11.79,
2005-11,12.95,
2005-12,8.88,
2006-01,12.37,
2006-02,12.82,
2006-03,14.37,
2006-04,10.77,
2006-05,12.08,
2006-06,12.02,
2006-07,12.53,
2006-08,10.94,
2006-09,15.25,
2006-10,16.96,
2006-11,18.13,
2006-12,10.80,
2007-01,16.18,
2007-02,13.95,
2007-03,18.11,
2007-04,14.82,
2007-05,16.89,
2007-06,16.48,
2007-07,17.78,
2007-08,14.18,
2007-09,18.22,
2007-10,18.85,
2007-11,19.42,
2007-12,10.47,
2008-01,17.06,
2008-02,17.10,
2008-03,16.77,
2008-04,19.04,
2008-05,14.37,
2008-06,19.76,
2008-07,14.14,
2008-08,10.81,
2008-09,15.27,
2008-10,16.67,
2008-11,9.97,
2008-12,7.34,
2009-01,7.40,
2009-02,8.77,
2009-03,11.40,
2009-04,10.07,
2009-05,10.33,
2009-06,13.73,
2009-07,15.59,
2009-08,9.00,
2009-09,11.50,
2009-10,12.47,
2009-11,15.96,
2009-12,12.48,
2010-01,8.28,
2010-02,13.22,
2010-03,16.24,
2010-04,13.00,
2010-05,10.14,
2010-06,14.11,
2010-07,12.97,
2010-08,9.46,
2010-09,16.47,
2010-10,14.52,
2010-11,13.88,
2010-12,12.58,
2011-01,9.93,
2011-02,12.09,
2011-03,18.89,
2011-04,10.84,
2011-05,14.83,
2011-06,12.89,
2011-07,10.55,
2011-08,11.74,
2011-09,17.31,
2011-10,11.00,
2011-11,16.11,
2011-12,12.52,
2012-01,13.54,
2012-02,15.42,
2012-03,17.28,
2012-04,14.36,
2012-05,15.70,
2012-06,18.00,
2012-07,17.17,
2012-08,16.75,
2012-09,16.86,
2012-10,15.97,
2012-11,16.87,
2012-12,11.94,
2013-01,13.42,
2013-02,16.41,
2013-03,18.51,
2013-04,17.85,
2013-05,13.46,
2013-06,16.85,
2013-07,16.09,
2013-08,13.11,
2013-09,20.06,
2013-10,17.76,
2013-11,17.81,
2013-12,13.62,
2014-01,14.70,
2014-02,16.21,
2014-03,16.74,
2014-04,17.27,
2014-05,17.52,
2014-06,16.21,
2014-07,23.47,
2014-08,13.88,
2014-09,22.02,
2014-10,22.06,
2014-11,17.88,
2014-12,18.94,
