"",BBSF2.M.1.P.00000.IMM01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.IMM01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
1986-09,36,
1986-10,60,
1986-11,53,
1986-12,71,
1987-01,239,
1987-02,156,
1987-03,150,
1987-04,184,
1987-05,117,
1987-06,140,
1987-07,183,
1987-08,110,
1987-09,84,
1987-10,48,
1987-11,45,
1987-12,92,
1988-01,345,
1988-02,178,
1988-03,172,
1988-04,138,
1988-05,90,
1988-06,75,
1988-07,99,
1988-08,21,
1988-09,2,
1988-10,-17,
1988-11,-22,
1988-12,40,
1989-01,36,
1989-02,-14,
1989-03,-48,
1989-04,3,
1989-05,62,
1989-06,22,
1989-07,95,
1989-08,67,
1989-09,22,
1989-10,9,
1989-11,11,
1989-12,-14,
1990-01,174,
1990-02,-11,
1990-03,-33,
1990-04,-1,
1990-05,-52,
1990-06,-4,
1990-07,-61,
1990-08,-28,
1990-09,3,
1990-10,-29,
1990-11,-12,
1990-12,-11,
1991-01,236,
1991-02,97,
1991-03,47,
1991-04,61,
1991-05,22,
1991-06,93,
1991-07,86,
1991-08,93,
1991-09,101,
1991-10,71,
1991-11,63,
1991-12,125,
1992-01,581,
1992-02,381,
1992-03,291,
1992-04,253,
1992-05,134,
1992-06,215,
1992-07,190,
1992-08,99,
1992-09,148,
1992-10,174,
1992-11,195,
1992-12,451,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,713,
1993-05,414,
1993-06,460,
1993-07,563,
1993-08,469,
1993-09,538,
1993-10,430,
1993-11,643,
1993-12,481,
1994-01,1559,
1994-02,458,
1994-03,252,
1994-04,368,
1994-05,162,
1994-06,274,
1994-07,157,
1994-08,106,
1994-09,87,
1994-10,62,
1994-11,66,
1994-12,385,
1995-01,609,
1995-02,153,
1995-03,102,
1995-04,225,
1995-05,119,
1995-06,382,
1995-07,374,
1995-08,309,
1995-09,221,
1995-10,283,
1995-11,291,
1995-12,471,
1996-01,2269,
1996-02,1066,
1996-03,517,
1996-04,584,
1996-05,350,
1996-06,589,
1996-07,435,
1996-08,302,
1996-09,253,
1996-10,243,
1996-11,197,
1996-12,330,
1997-01,1420,
1997-02,606,
1997-03,375,
1997-04,384,
1997-05,138,
1997-06,386,
1997-07,145,
1997-08,15,
1997-09,-45,
1997-10,-100,
1997-11,-4,
1997-12,-29,
1998-01,1035,
1998-02,312,
1998-03,8,
1998-04,9,
1998-05,-85,
1998-06,210,
1998-07,164,
1998-08,41,
1998-09,-8,
1998-10,162,
1998-11,304,
1998-12,247,
1999-01,1870,
1999-02,954,
1999-03,629,
1999-04,778,
1999-05,661,
1999-06,889,
1999-07,797,
1999-08,410,
1999-09,281,
1999-10,504,
1999-11,-62,
1999-12,-316,
2000-01,124,
2000-02,-630,
2000-03,-422,
2000-04,-336,
2000-05,-438,
2000-06,-48,
2000-07,-291,
2000-08,-223,
2000-09,-250,
2000-10,-153,
2000-11,-96,
2000-12,-61,
2001-01,594,
2001-02,2437,
2001-03,153,
2001-04,386,
2001-05,420,
2001-06,702,
2001-07,661,
2001-08,690,
2001-09,651,
2001-10,956,
2001-11,1256,
2001-12,1253,
2002-01,3462,
2002-02,1811,
2002-03,1561,
2002-04,1094,
2002-05,845,
2002-06,1366,
2002-07,1370,
2002-08,869,
2002-09,819,
2002-10,888,
2002-11,597,
2002-12,233,
2003-01,3358,
2003-02,2045,
2003-03,1699,
2003-04,1762,
2003-05,1325,
2003-06,2175,
2003-07,1376,
2003-08,620,
2003-09,236,
2003-10,432,
2003-11,16,
2003-12,-880,
2004-01,1003,
2004-02,388,
2004-03,723,
2004-04,409,
2004-05,89,
2004-06,365,
2004-07,677,
2004-08,189,
2004-09,-9,
2004-10,213,
2004-11,-389,
2004-12,-413,
2005-01,1138,
2005-02,-958,
2005-03,-780,
2005-04,-60,
2005-05,-61,
2005-06,291,
2005-07,311,
2005-08,39,
2005-09,67,
2005-10,57,
2005-11,-178,
2005-12,-3052,
2006-01,-4712,
2006-02,-2114,
2006-03,-2076,
2006-04,-441,
2006-05,-505,
2006-06,231,
2006-07,86,
2006-08,-168,
2006-09,-275,
2006-10,523,
2006-11,114,
2006-12,524,
2007-01,1964,
2007-02,752,
2007-03,286,
2007-04,361,
2007-05,997,
2007-06,978,
2007-07,1584,
2007-08,17,
2007-09,322,
2007-10,-1408,
2007-11,247,
2007-12,739,
2008-01,1448,
2008-02,1247,
2008-03,529,
2008-04,484,
2008-05,138,
2008-06,401,
2008-07,1227,
2008-08,459,
2008-09,-206,
2008-10,-5075,
2008-11,-715,
2008-12,862,
2009-01,789,
2009-02,-35,
2009-03,286,
2009-04,555,
2009-05,709,
2009-06,897,
2009-07,-432,
2009-08,392,
2009-09,-296,
2009-10,-936,
2009-11,84,
2009-12,672,
2010-01,1811,
2010-02,1100,
2010-03,428,
2010-04,214,
2010-05,-1535,
2010-06,289,
2010-07,599,
2010-08,-106,
2010-09,-190,
2010-10,-260,
2010-11,-658,
2010-12,205,
2011-01,639,
2011-02,194,
2011-03,-492,
2011-04,-69,
2011-05,267,
2011-06,426,
2011-07,10,
2011-08,-103,
2011-09,310,
2011-10,-3,
2011-11,-61,
2011-12,443,
2012-01,611,
2012-02,431,
2012-03,396,
2012-04,107,
2012-05,-171,
2012-06,517,
2012-07,741,
2012-08,109,
2012-09,335,
2012-10,225,
2012-11,78,
2012-12,68,
2013-01,738,
2013-02,393,
2013-03,469,
2013-04,334,
2013-05,386,
2013-06,772,
2013-07,631,
2013-08,-608,
2013-09,19,
2013-10,-470,
2013-11,313,
2013-12,398,
2014-01,479,
2014-02,114,
2014-03,192,
2014-04,181,
2014-05,158,
2014-06,290,
2014-07,86,
2014-08,88,
2014-09,156,
2014-10,-1403,
2014-11,287,
2014-12,316,Provisional value
