"",BBEX3.M.JPY.USD.CA.AC.A02,BBEX3.M.JPY.USD.CA.AC.A02_FLAGS
1999-03,119.80,
1999-04,119.88,
1999-05,122.18,
1999-06,120.98,
1999-07,119.94,
1999-08,113.50,
1999-09,107.59,
1999-10,105.97,
1999-11,104.95,
1999-12,102.77,
2000-01,105.23,
2000-02,109.42,
2000-03,106.75,
2000-04,105.54,
2000-05,108.20,
2000-06,106.34,
2000-07,107.94,
2000-08,108.21,
2000-09,106.81,
2000-10,108.39,
2000-11,108.95,
2000-12,112.23,
2001-01,117.19,
2001-02,116.17,
2001-03,121.07,
2001-04,123.94,
2001-05,121.97,
2001-06,122.21,
2001-07,124.60,
2001-08,121.67,
2001-09,118.88,
2001-10,121.34,
2001-11,122.31,
2001-12,127.16,
2002-01,132.83,
2002-02,133.48,
2002-03,131.24,
2002-04,131.15,
2002-05,126.55,
2002-06,123.54,
2002-07,118.06,
2002-08,119.08,
2002-09,120.58,
2002-10,123.95,
2002-11,121.56,
2002-12,122.23,
2003-01,118.71,
2003-02,119.43,
2003-03,118.67,
2003-04,119.84,
2003-05,117.32,
2003-06,118.34,
2003-07,118.73,
2003-08,118.83,
2003-09,115.23,
2003-10,109.55,
2003-11,109.23,
2003-12,108.02,
2004-01,106.43,
2004-02,106.61,
2004-03,108.76,
2004-04,107.46,
2004-05,112.55,
2004-06,109.44,
2004-07,109.40,
2004-08,110.40,
2004-09,110.07,
2004-10,109.06,
2004-11,104.93,
2004-12,103.89,
2005-01,103.28,
2005-02,104.93,
2005-03,105.21,
2005-04,107.46,
2005-05,106.84,
2005-06,108.68,
2005-07,111.95,
2005-08,110.79,
2005-09,111.09,
2005-10,114.96,
2005-11,118.44,
2005-12,118.83,
2006-01,115.49,
2006-02,117.97,
2006-03,117.36,
2006-04,117.05,
2006-05,111.51,
2006-06,114.74,
2006-07,115.75,
2006-08,115.91,
2006-09,117.11,
2006-10,118.76,
2006-11,117.41,
2006-12,117.17,
2007-01,120.68,
2007-02,120.54,
2007-03,117.34,
2007-04,118.86,
2007-05,120.83,
2007-06,122.73,
2007-07,121.67,
2007-08,116.88,
2007-09,115.06,
2007-10,115.81,
2007-11,111.34,
2007-12,112.22,
2008-01,107.68,
2008-02,107.24,
2008-03,101.09,
2008-04,102.52,
2008-05,104.38,
2008-06,106.93,
2008-07,106.82,
2008-08,109.33,
2008-09,106.82,
2008-10,100.36,
2008-11,96.85,
2008-12,91.67,
2009-01,90.41,
2009-02,92.43,
2009-03,97.98,
2009-04,98.97,
2009-05,96.39,
2009-06,96.57,
2009-07,94.51,
2009-08,94.91,
2009-09,91.53,
2009-10,90.36,
2009-11,89.22,
2009-12,89.35,
2010-01,91.22,
2010-02,90.37,
2010-03,90.52,
2010-04,93.34,
2010-05,91.70,
2010-06,90.86,
2010-07,87.75,
2010-08,85.50,
2010-09,84.45,
2010-10,81.93,
2010-11,82.54,
2010-12,83.46,
2011-01,82.66,
2011-02,82.54,
2011-03,81.81,
2011-04,83.60,
2011-05,81.23,
2011-06,80.54,
2011-07,79.51,
2011-08,77.27,
2011-09,76.88,
2011-10,76.73,
2011-11,77.60,
2011-12,77.88,
2012-01,76.98,
2012-02,78.40,
2012-03,82.46,
2012-04,81.50,
2012-05,79.74,
2012-06,79.30,
2012-07,79.02,
2012-08,78.68,
2012-09,78.17,
2012-10,79.02,
2012-11,80.89,
2012-12,83.48,
2013-01,89.24,
2013-02,93.23,
2013-03,94.83,
2013-04,97.90,
2013-05,101.36,
2013-06,97.44,
2013-07,99.77,
2013-08,97.85,
2013-09,99.23,
2013-10,97.89,
2013-11,100.02,
2013-12,103.36,
2014-01,104.00,
2014-02,102.14,
2014-03,102.27,
2014-04,102.57,
2014-05,101.81,
2014-06,102.06,
2014-07,101.73,
2014-08,102.97,
2014-09,107.07,
2014-10,107.96,
2014-11,116.21,
2014-12,119.32,
2015-01,118.33,
2015-02,118.59,
"",Source: Calculated on the basis of the daily buying and selling rates of the following banks: Since 2006: Bank of Tokyo-Mitsubishi UFJ April 1996 - 2005: Bank of Tokyo-Mitsubishi 1980 - March 1996: Bank of Tokyo,
