"",BBDA1.M.DE.N.IM.S.A.NO.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.NO.A.V.ABA.A_FLAGS
2012-05,2221225,
2012-06,2062029,
2012-07,1907387,
2012-08,2032088,
2012-09,2147646,
2012-10,3055417,
2012-11,1945624,
2012-12,1671267,
2013-01,1993776,
2013-02,1851539,
2013-03,1762700,
2013-04,1955319,
2013-05,1877768,
2013-06,1911790,
2013-07,1840648,
2013-08,1999909,
2013-09,1588574,
2013-10,1639877,
2013-11,2074539,
2013-12,1618531,
2014-01,1796895,
2014-02,1896550,
2014-03,1632691,
2014-04,1721169,
2014-05,1749619,
2014-06,1413126,
2014-07,1427890,
2014-08,1492215,
2014-09,1450915,
2014-10,1418102,
2014-11,1631191,
2014-12,1604258,
