"",BBFN1.M.DE.N.1.L.PT.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.PT.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
2007-05,1.568,
2007-06,1.564,
2007-07,1.563,
2007-08,1.602,
2007-09,1.595,
2007-10,1.655,
2007-11,1.595,
2007-12,1.624,
2008-01,1.430,
2008-02,1.452,
2008-03,1.711,
2008-04,1.698,
2008-05,1.591,
2008-06,1.758,
2008-07,1.532,
2008-08,1.554,
2008-09,1.551,
2008-10,1.789,
2008-11,1.978,
2008-12,1.995,
2009-01,2.009,
2009-02,1.889,
2009-03,1.931,
2009-04,2.093,
2009-05,2.000,
2009-06,1.978,
2009-07,1.950,
2009-08,2.297,
2009-09,2.341,
2009-10,2.419,
2009-11,2.215,
2009-12,2.255,
2010-01,2.234,
2010-02,2.206,
2010-03,2.233,
2010-04,2.224,
2010-05,2.195,
2010-06,2.084,
2010-07,2.093,
2010-08,2.097,
2010-09,2.132,
2010-10,2.147,
2010-11,2.129,
2010-12,2.327,
2011-01,2.316,
2011-02,2.330,
2011-03,2.180,
2011-04,2.170,
2011-05,2.116,
2011-06,2.318,
2011-07,2.269,
2011-08,2.287,
2011-09,2.349,
2011-10,2.351,
2011-11,2.112,
2011-12,1.834,
2012-01,1.904,
2012-02,1.871,
2012-03,1.826,
2012-04,1.508,
2012-05,1.529,
2012-06,1.489,
2012-07,1.600,
2012-08,1.657,
2012-09,1.576,
2012-10,1.736,
2012-11,1.708,
2012-12,1.485,
2013-01,1.654,
2013-02,1.589,
2013-03,1.620,
2013-04,1.577,
2013-05,1.592,
2013-06,1.451,
2013-07,1.432,
2013-08,1.378,
2013-09,1.493,
2013-10,1.497,
2013-11,1.689,
2013-12,1.648,
2014-01,1.553,
2014-02,1.261,
2014-03,1.320,
2014-04,1.109,
2014-05,1.096,
2014-06,1.051,
2014-07,1.129,
2014-08,1.020,
2014-09,0.982,
2014-10,1.092,
2014-11,1.114,
2014-12,1.065,
