"",BBFB1.M.N.DE.W1.S1.S1.T.C.SC3___BH._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.SC3___BH._Z._Z._Z._T._X.N_FLAGS
2007-02,203.905,
2007-03,220.998,
2007-04,219.255,
2007-05,218.304,
2007-06,237.219,
2007-07,226.829,
2007-08,218.155,
2007-09,227.048,
2007-10,232.162,
2007-11,221.833,
2007-12,210.986,
2008-01,214.647,
2008-02,225.252,
2008-03,232.274,
2008-04,229.703,
2008-05,247.090,
2008-06,243.990,
2008-07,243.858,
2008-08,230.982,
2008-09,241.062,
2008-10,237.512,
2008-11,229.130,
2008-12,191.537,
2009-01,241.234,
2009-02,201.821,
2009-03,209.161,
2009-04,200.692,
2009-05,205.890,
2009-06,212.969,
2009-07,226.704,
2009-08,224.286,
2009-09,216.427,
2009-10,224.460,
2009-11,238.618,
2009-12,215.263,
2010-01,192.560,
2010-02,207.034,
2010-03,235.724,
2010-04,211.402,
2010-05,234.445,
2010-06,238.739,
2010-07,227.152,
2010-08,222.983,
2010-09,227.656,
2010-10,224.580,
2010-11,245.787,
2010-12,228.238,
2011-01,214.187,
2011-02,225.930,
2011-03,258.589,
2011-04,242.268,
2011-05,242.241,
2011-06,247.356,
2011-07,255.105,
2011-08,266.507,
2011-09,251.235,
2011-10,228.520,
2011-11,248.945,
2011-12,214.258,
2012-01,214.010,
2012-02,216.692,
2012-03,266.758,
2012-04,230.130,
2012-05,274.132,
2012-06,252.964,
2012-07,261.737,
2012-08,251.561,
2012-09,242.950,
2012-10,268.557,
2012-11,245.723,
2012-12,234.787,
2013-01,474.134,
2013-02,482.658,
2013-03,495.269,
2013-04,536.209,
2013-05,536.524,
2013-06,521.098,
2013-07,634.468,
2013-08,674.007,
2013-09,539.450,
2013-10,617.803,
2013-11,594.009,
2013-12,610.354,
2014-01,586.626,
2014-02,582.344,Provisional value
2014-03,579.446,Provisional value
2014-04,644.147,Provisional value
2014-05,631.806,Provisional value
2014-06,618.273,Provisional value
2014-07,675.899,Provisional value
2014-08,625.434,Provisional value
2014-09,650.063,
2014-10,679.030,
2014-11,641.805,
2014-12,658.664,Provisional value
