"",BBDE1.M.DE.Y.AEB1.N2C260000.F.C.I10.A,BBDE1.M.DE.Y.AEB1.N2C260000.F.C.I10.A_FLAGS
1999-07,54.3,
1999-08,55.4,
1999-09,54.9,
1999-10,54.9,
1999-11,57.9,
1999-12,56.2,
2000-01,54.1,
2000-02,57.5,
2000-03,58.2,
2000-04,66.4,
2000-05,61.6,
2000-06,62.6,
2000-07,64.6,
2000-08,66.3,
2000-09,65.5,
2000-10,71.3,
2000-11,63.8,
2000-12,64.9,
2001-01,63.9,
2001-02,62.3,
2001-03,64.5,
2001-04,61.5,
2001-05,57.5,
2001-06,54.3,
2001-07,56.5,
2001-08,54.5,
2001-09,53.4,
2001-10,53.3,
2001-11,54.6,
2001-12,53.8,
2002-01,53.7,
2002-02,55.8,
2002-03,53.3,
2002-04,56.8,
2002-05,55.5,
2002-06,57.4,
2002-07,53.5,
2002-08,56.1,
2002-09,54.8,
2002-10,55.1,
2002-11,54.8,
2002-12,53.9,
2003-01,54.5,
2003-02,59.4,
2003-03,55.5,
2003-04,57.0,
2003-05,54.8,
2003-06,58.5,
2003-07,57.4,
2003-08,58.5,
2003-09,59.9,
2003-10,58.3,
2003-11,63.0,
2003-12,63.2,
2004-01,58.4,
2004-02,58.9,
2004-03,59.0,
2004-04,58.9,
2004-05,60.7,
2004-06,61.2,
2004-07,60.1,
2004-08,59.5,
2004-09,60.0,
2004-10,62.7,
2004-11,60.2,
2004-12,59.9,
2005-01,66.6,
2005-02,63.3,
2005-03,67.9,
2005-04,64.8,
2005-05,67.0,
2005-06,67.9,
2005-07,69.1,
2005-08,69.2,
2005-09,71.6,
2005-10,72.2,
2005-11,74.3,
2005-12,74.9,
2006-01,77.2,
2006-02,79.5,
2006-03,78.0,
2006-04,78.9,
2006-05,77.9,
2006-06,78.5,
2006-07,77.9,
2006-08,85.0,
2006-09,80.6,
2006-10,82.0,
2006-11,82.1,
2006-12,86.3,
2007-01,82.5,
2007-02,84.1,
2007-03,86.6,
2007-04,89.0,
2007-05,90.6,
2007-06,85.5,
2007-07,92.9,
2007-08,93.1,
2007-09,97.5,
2007-10,97.9,
2007-11,99.7,
2007-12,99.7,
2008-01,106.5,
2008-02,96.7,
2008-03,97.1,
2008-04,95.9,
2008-05,100.1,
2008-06,98.5,
2008-07,99.9,
2008-08,100.8,
2008-09,98.5,
2008-10,96.8,
2008-11,93.6,
2008-12,100.2,
2009-01,86.2,
2009-02,80.0,
2009-03,74.7,
2009-04,85.4,
2009-05,83.6,
2009-06,82.3,
2009-07,92.1,
2009-08,96.2,
2009-09,96.9,
2009-10,98.0,
2009-11,99.4,
2009-12,95.1,
2010-01,89.6,
2010-02,95.2,
2010-03,99.4,
2010-04,94.0,
2010-05,105.9,
2010-06,101.7,
2010-07,100.4,
2010-08,101.1,
2010-09,100.8,
2010-10,105.7,
2010-11,100.6,
2010-12,99.1,
2011-01,98.6,
2011-02,107.9,
2011-03,98.6,
2011-04,108.1,
2011-05,108.9,
2011-06,108.2,
2011-07,108.6,
2011-08,107.9,
2011-09,108.6,
2011-10,113.9,
2011-11,103.6,
2011-12,98.4,
2012-01,103.7,
2012-02,101.9,
2012-03,106.5,
2012-04,102.1,
2012-05,103.0,
2012-06,103.7,
2012-07,109.1,
2012-08,100.7,
2012-09,96.1,
2012-10,97.5,
2012-11,107.0,
2012-12,99.5,
2013-01,112.0,
2013-02,103.5,
2013-03,104.2,
2013-04,106.5,
2013-05,99.6,
2013-06,100.6,
2013-07,101.2,
2013-08,101.7,
2013-09,98.0,
2013-10,101.0,
2013-11,102.5,
2013-12,104.6,
2014-01,115.4,
2014-02,108.5,
2014-03,108.7,
2014-04,111.8,
2014-05,110.3,
2014-06,114.2,
2014-07,113.3,
2014-08,112.8,
2014-09,107.0,
2014-10,105.1,
2014-11,101.9,
2014-12,109.6,Provisional value
