"",BBDE1.M.DE.Y.BAA1.A2Q501000.G.C.I10.A,BBDE1.M.DE.Y.BAA1.A2Q501000.G.C.I10.A_FLAGS
2000-01,82.5,
2000-02,84.4,
2000-03,84.5,
2000-04,85.5,
2000-05,87.6,
2000-06,85.3,
2000-07,87.5,
2000-08,88.1,
2000-09,88.4,
2000-10,88.1,
2000-11,88.9,
2000-12,90.0,
2001-01,89.8,
2001-02,90.5,
2001-03,89.3,
2001-04,87.3,
2001-05,88.1,
2001-06,88.3,
2001-07,85.7,
2001-08,87.9,
2001-09,87.4,
2001-10,85.3,
2001-11,84.6,
2001-12,84.7,
2002-01,85.3,
2002-02,85.5,
2002-03,86.0,
2002-04,86.3,
2002-05,85.3,
2002-06,87.8,
2002-07,86.2,
2002-08,88.3,
2002-09,87.3,
2002-10,86.2,
2002-11,88.2,
2002-12,86.5,
2003-01,87.4,
2003-02,87.3,
2003-03,87.5,
2003-04,86.5,
2003-05,86.3,
2003-06,85.4,
2003-07,87.4,
2003-08,85.3,
2003-09,85.5,
2003-10,87.9,
2003-11,89.6,
2003-12,89.6,
2004-01,88.8,
2004-02,89.3,
2004-03,89.0,
2004-04,90.2,
2004-05,91.3,
2004-06,90.4,
2004-07,91.6,
2004-08,91.0,
2004-09,90.8,
2004-10,92.1,
2004-11,90.3,
2004-12,89.9,
2005-01,92.9,
2005-02,90.9,
2005-03,92.0,
2005-04,93.1,
2005-05,91.6,
2005-06,93.9,
2005-07,95.3,
2005-08,92.3,
2005-09,95.4,
2005-10,97.1,
2005-11,96.1,
2005-12,96.2,
2006-01,96.4,
2006-02,97.2,
2006-03,96.3,
2006-04,98.4,
2006-05,100.1,
2006-06,99.6,
2006-07,101.5,
2006-08,102.3,
2006-09,102.5,
2006-10,102.0,
2006-11,103.9,
2006-12,105.0,
2007-01,105.7,
2007-02,106.1,
2007-03,106.4,
2007-04,105.3,
2007-05,107.4,
2007-06,108.0,
2007-07,108.8,
2007-08,108.4,
2007-09,109.6,
2007-10,110.2,
2007-11,110.1,
2007-12,111.3,
2008-01,113.0,
2008-02,112.9,
2008-03,112.1,
2008-04,112.8,
2008-05,110.4,
2008-06,111.5,
2008-07,109.5,
2008-08,111.9,
2008-09,109.1,
2008-10,106.0,
2008-11,101.1,
2008-12,96.1,
2009-01,86.9,
2009-02,84.1,
2009-03,84.9,
2009-04,81.4,
2009-05,86.2,
2009-06,87.4,
2009-07,86.2,
2009-08,87.7,
2009-09,91.9,
2009-10,89.9,
2009-11,90.9,
2009-12,90.6,
2010-01,91.4,
2010-02,91.2,
2010-03,94.7,
2010-04,96.6,
2010-05,99.9,
2010-06,99.7,
2010-07,98.8,
2010-08,100.8,
2010-09,102.4,
2010-10,105.0,
2010-11,104.4,
2010-12,106.5,
2011-01,106.2,
2011-02,107.6,
2011-03,108.4,
2011-04,108.8,
2011-05,110.5,
2011-06,108.6,
2011-07,112.1,
2011-08,112.4,
2011-09,109.7,
2011-10,111.0,
2011-11,110.2,
2011-12,108.3,
2012-01,109.5,
2012-02,109.7,
2012-03,110.5,
2012-04,108.9,
2012-05,110.8,
2012-06,109.2,
2012-07,110.8,
2012-08,110.7,
2012-09,108.6,
2012-10,106.9,
2012-11,106.6,
2012-12,107.2,
2013-01,105.9,
2013-02,107.5,
2013-03,108.6,
2013-04,109.4,
2013-05,108.1,
2013-06,110.4,
2013-07,108.0,
2013-08,111.5,
2013-09,110.0,
2013-10,109.2,
2013-11,112.0,
2013-12,111.9,
2014-01,111.9,
2014-02,112.5,
2014-03,111.9,
2014-04,111.9,
2014-05,111.0,
2014-06,111.1,
2014-07,113.3,
2014-08,108.9,
2014-09,110.9,
2014-10,111.2,Provisional value
2014-11,111.6,Provisional value
2014-12,111.8,Provisional value
