"",BBFB1.M.N.DE.W1.S12T.S1.T.L.FA.O.F2.S._T.N.N,BBFB1.M.N.DE.W1.S12T.S1.T.L.FA.O.F2.S._T.N.N_FLAGS
2003-10,-11922.345,
2003-11,-3402.314,
2003-12,-9987.625,
2004-01,21874.700,
2004-02,9211.300,
2004-03,35644.600,
2004-04,1874.800,
2004-05,-23928.830,
2004-06,-29244.470,
2004-07,-6750.400,
2004-08,4818.000,
2004-09,24517.000,
2004-10,-4280.266,
2004-11,35623.400,
2004-12,-26937.600,
2005-01,45946.416,
2005-02,16216.961,
2005-03,4457.791,
2005-04,77356.870,
2005-05,-15242.000,
2005-06,-84439.000,
2005-07,-1840.000,
2005-08,-3858.585,
2005-09,9650.070,
2005-10,23206.496,
2005-11,15293.067,
2005-12,-54461.615,
2006-01,45504.925,
2006-02,8695.000,
2006-03,7651.881,
2006-04,23711.600,
2006-05,10100.942,
2006-06,-33007.000,
2006-07,-28097.800,
2006-08,16703.996,
2006-09,24486.000,
2006-10,-3639.900,
2006-11,14238.600,
2006-12,-13951.595,
2007-01,19467.300,
2007-02,18130.340,
2007-03,6906.927,
2007-04,44264.354,
2007-05,17230.850,
2007-06,-38953.031,
2007-07,-12890.132,
2007-08,24729.937,
2007-09,42423.615,
2007-10,9462.000,
2007-11,6474.000,
2007-12,-49833.000,
2008-01,63621.200,
2008-02,22163.000,
2008-03,14852.401,
2008-04,43589.719,
2008-05,-17888.051,
2008-06,-56589.682,
2008-07,-8905.169,
2008-08,-6107.538,
2008-09,34966.608,
2008-10,-73220.315,
2008-11,-43502.966,
2008-12,-43050.629,
2009-01,34284.334,
2009-02,-32422.540,
2009-03,-19439.731,
2009-04,38592.144,
2009-05,-46512.672,
2009-06,88.617,
2009-07,-6794.976,
2009-08,-16033.081,
2009-09,-18348.154,
2009-10,4329.202,
2009-11,-1815.169,
2009-12,-26951.898,
2010-01,45331.874,
2010-02,-6452.573,
2010-03,14385.711,
2010-04,77020.399,
2010-05,52293.515,
2010-06,-55099.697,
2010-07,23923.663,
2010-08,24418.799,
2010-09,-45180.812,
2010-10,3854.586,
2010-11,1348.673,
2010-12,-53791.732,
2011-01,21183.365,
2011-02,563.778,
2011-03,-57412.802,
2011-04,54179.144,
2011-05,-22091.817,
2011-06,-55678.419,
2011-07,-2274.000,
2011-08,47542.667,
2011-09,39521.976,
2011-10,18615.080,
2011-11,1897.000,
2011-12,-124386.000,
2012-01,169345.576,
2012-02,18182.573,
2012-03,60474.632,
2012-04,27556.021,
2012-05,-27606.676,
2012-06,-45949.056,
2012-07,9483.266,
2012-08,23662.959,
2012-09,-47916.540,
2012-10,-4262.029,
2012-11,-30463.261,
2012-12,-90749.293,
2013-01,22735.151,
2013-02,316.193,
2013-03,-21744.000,
2013-04,26546.000,
2013-05,-26032.162,
2013-06,-12176.080,
2013-07,-8789.000,
2013-08,-23852.664,
2013-09,-29705.521,
2013-10,-3031.138,
2013-11,5121.053,
2013-12,-70886.285,
2014-01,58808.587,
2014-02,-15674.929,Provisional value
2014-03,-7392.678,Provisional value
2014-04,17249.100,Provisional value
2014-05,131.742,Provisional value
2014-06,-8862.101,Provisional value
2014-07,43110.128,Provisional value
2014-08,-6670.502,Provisional value
2014-09,-804.979,
2014-10,-508.108,
2014-11,28469.575,
2014-12,-60905.326,Provisional value
