"",BBEX3.M.SCR.USD.CA.AB.A01,BBEX3.M.SCR.USD.CA.AB.A01_FLAGS
1991-09,5.3924,
1991-10,5.3215,
1991-11,5.2777,
1991-12,5.1260,
1992-01,5.2350,
1992-02,5.2999,
1992-03,5.3641,
1992-04,5.3408,
1992-05,5.2859,
1992-06,5.0997,
1992-07,5.0841,
1992-08,4.9537,
1992-09,5.0006,
1992-10,5.2094,
1992-11,5.2844,
1992-12,5.3202,
1993-01,5.2770,
1993-02,5.3023,
1993-03,5.2800,
1993-04,5.1577,
1993-05,5.1278,
1993-06,5.2504,
1993-07,5.2593,
1993-08,5.2080,
1993-09,5.1605,
1993-10,5.2661,
1993-11,5.2977,
1993-12,5.3236,
1994-01,5.2999,
1994-02,5.2483,
1994-03,5.1959,
1994-04,5.1764,
1994-05,5.1760,
1994-06,5.0496,
1994-07,5.0312,
1994-08,5.0530,
1994-09,4.9957,
1994-10,4.9114,
1994-11,5.0162,
1994-12,5.0316,
1995-01,4.9689,
1995-02,4.8969,
1995-03,4.7056,
1995-04,4.6374,
1995-05,4.6490,
1995-06,4.6919,
1995-07,4.7112,
1995-08,4.9366,
1995-09,4.8629,
1995-10,4.8910,
1995-11,4.9230,
1995-12,4.9247,
1996-01,5.0371,
1996-02,4.9711,
1996-03,5.0240,
1996-04,5.0412,
1996-05,5.0384,
1996-06,5.0359,
1996-07,5.0313,
1996-08,5.0331,
1996-09,5.0431,
1996-10,5.0486,
1996-11,5.0497,
1996-12,5.0570,
1997-01,5.0542,
1997-02,5.0570,
1997-03,5.0562,
1997-04,5.0570,
1997-05,5.0587,
1997-06,5.0633,
1997-07,5.1295,
1997-08,5.1328,
1997-09,5.1123,
1997-10,5.0689,
1997-11,5.1125,
1997-12,5.1890,
1998-01,5.2574,
1998-02,5.2125,
1998-03,5.2257,
1998-04,5.1902,
1998-05,5.2389,
1998-06,5.3171,
1998-07,5.3333,
1998-08,5.3274,
1998-09,5.3924,
1998-10,5.4777,
1998-11,5.5997,
1998-12,5.5203,
1999-01,5.5187,
1999-02,5.3678,
1999-03,5.3965,
1999-04,5.3869,
1999-05,5.4536,
1999-06,5.4508,
1999-07,5.3691,
1999-08,5.4094,
1999-09,5.3441,
1999-10,5.3559,
1999-11,5.4389,
1999-12,5.4347,
2000-01,5.5114,
2000-02,5.5593,
2000-03,5.5941,
2000-04,5.7041,
2000-05,5.7519,
2000-06,5.6762,
2000-07,5.7575,
2000-08,5.8343,
2000-09,5.8845,
2000-10,5.9998,
2000-11,6.2451,
2000-12,6.3472,
2001-01,6.5133,
2001-02,6.5535,
2001-03,6.4901,
2001-04,5.9512,
2001-05,5.7138,
2001-06,5.6916,
2001-07,5.6630,
2001-08,5.5309,
2001-09,5.5565,
2001-10,5.6393,
2001-11,5.7345,
2001-12,5.8241,
2002-01,5.8726,
2002-02,5.8746,
2002-03,5.8519,
2002-04,5.7043,
2002-05,5.5699,
2002-06,5.4091,
2002-07,5.3746,
2002-08,5.4149,
2002-09,5.4387,
2002-10,5.3988,
2002-11,5.3492,
2002-12,5.1451,
2003-01,5.0171,
2003-02,5.1441,
2003-03,5.3581,
2003-04,5.5195,
2003-05,5.5854,
2003-06,5.6560,
2003-07,5.6014,
2003-08,5.6990,
2003-09,5.5688,
2003-10,5.5688,
2003-11,5.5688,
2003-12,5.5688,
2004-01,5.5688,
2004-02,5.5688,
2004-03,5.5688,
2004-04,5.5688,
2004-05,5.5688,
2004-06,5.5688,
2004-07,5.5688,
2004-08,5.5688,
2004-09,5.5688,
2004-10,5.5688,
2004-11,5.5688,
2004-12,5.5688,
2005-01,5.5688,
2005-02,5.5688,
2005-03,5.5688,
2005-04,5.5688,
2005-05,5.5688,
2005-06,5.5688,
2005-07,5.5688,
2005-08,5.5688,
2005-09,5.5688,
2005-10,5.5688,
2005-11,5.5688,
2005-12,5.5688,
2006-01,5.5688,
2006-02,5.5688,
2006-03,5.5688,
2006-04,5.5688,
2006-05,5.5688,
2006-06,5.5688,
2006-07,5.5688,
2006-08,5.5688,
2006-09,5.5688,
2006-10,5.5897,
2006-11,5.6279,
2006-12,5.8680,
2007-01,6.0934,
2007-02,6.1696,
2007-03,6.1765,
2007-04,6.1815,
2007-05,6.2078,
2007-06,6.3827,
2007-07,6.5819,
2007-08,6.9156,
2007-09,7.2777,
2007-10,8.0933,
2007-11,8.0930,
2007-12,8.0980,
2008-01,8.0973,
2008-02,8.0908,
2008-03,8.0825,
2008-04,8.0718,
2008-05,8.0742,
2008-06,8.0658,
2008-07,8.0725,
2008-08,8.1198,
2008-09,8.3276,
2008-10,8.9867,
2008-11,17.5357,comment
2008-12,17.3557,
2009-01,17.3489,
2009-02,17.3481,
2009-03,16.7313,
2009-04,15.6163,
2009-05,14.7210,
2009-06,13.9516,
2009-07,13.3658,
2009-08,12.7579,
2009-09,10.8552,
2009-10,11.0156,
2009-11,11.4796,
2009-12,11.5287,
2010-01,11.4730,
2010-02,11.7849,
2010-03,11.9360,
2010-04,12.1317,
2010-05,12.5518,
2010-06,12.6976,
2010-07,12.6653,
2010-08,12.7198,
2010-09,12.6280,
2010-10,12.5561,
2010-11,12.4998,
2010-12,12.4487,
2011-01,12.4691,
2011-02,12.3889,
2011-03,12.2994,
2011-04,12.1703,
2011-05,12.1075,
2011-06,12.2697,
2011-07,12.4370,
2011-08,12.3733,
2011-09,12.6509,
2011-10,12.8354,
2011-11,13.3547,
2011-12,13.9347,
2012-01,14.3088,
2012-02,14.1372,
2012-03,14.2448,
2012-04,14.2621,
2012-05,14.6086,
2012-06,14.7203,
2012-07,14.1309,
2012-08,13.2302,
2012-09,13.2165,
2012-10,13.2347,
2012-11,13.2208,
2012-12,13.1280,
2013-01,13.0291,
2013-02,12.2922,
2013-03,11.7112,
2013-04,11.9968,
2013-05,12.0550,
2013-06,12.0067,
2013-07,12.1874,
2013-08,12.2079,
2013-09,12.2069,
2013-10,12.2383,
2013-11,12.2302,
2013-12,12.2476,
2014-01,12.3630,
2014-02,12.3586,
2014-03,12.3330,
2014-04,12.3331,
2014-05,12.3593,
2014-06,12.3955,
2014-07,12.4541,
2014-08,13.1543,
2014-09,13.6045,
2014-10,14.3020,
2014-11,14.3501,
2014-12,14.2358,
2015-01,14.2565,
"","Source: Central Bank of Seychelles, Victoria",
"","Comment on 1981-03: On 16 March 1981, the Seychelles rupee was revalued by 15% against the special drawing right.",
"","Comment on 2008-11: On 1 November 2008, the currency ceased to be pegged to a currency basket and the exchange rate for the Seychelles rupee was allowed to float freely.",
