"",BBEX3.D.ILS.EUR.BB.AC.000,BBEX3.D.ILS.EUR.BB.AC.000_FLAGS
2000-08-02,3.7290,
2000-08-03,3.6839,
2000-08-04,3.6856,
2000-08-05,.,No value available
2000-08-06,.,No value available
2000-08-07,3.7008,
2000-08-08,3.6848,
2000-08-09,3.6475,
2000-08-10,3.6693,
2000-08-11,3.7070,
2000-08-12,.,No value available
2000-08-13,.,No value available
2000-08-14,3.6504,
2000-08-15,3.6818,
2000-08-16,3.6696,
2000-08-17,3.6907,
2000-08-18,3.6873,
2000-08-19,.,No value available
2000-08-20,.,No value available
2000-08-21,3.6385,
2000-08-22,3.6130,
2000-08-23,3.6006,
2000-08-24,3.6363,
2000-08-25,3.6454,
2000-08-26,.,No value available
2000-08-27,.,No value available
2000-08-28,3.6379,
2000-08-29,3.6102,
2000-08-30,3.5707,
2000-08-31,3.5642,
2000-09-01,3.5742,
2000-09-02,.,No value available
2000-09-03,.,No value available
2000-09-04,3.6189,
2000-09-05,3.5717,
2000-09-06,3.5528,
2000-09-07,3.4990,
2000-09-08,3.5211,
2000-09-09,.,No value available
2000-09-10,.,No value available
2000-09-11,3.4737,
2000-09-12,3.4852,
2000-09-13,3.4993,
2000-09-14,3.5041,
2000-09-15,3.4830,
2000-09-16,.,No value available
2000-09-17,.,No value available
2000-09-18,3.4562,
2000-09-19,3.4685,
2000-09-20,3.4328,
2000-09-21,3.4590,
2000-09-22,3.6194,
2000-09-23,.,No value available
2000-09-24,.,No value available
2000-09-25,3.5510,
2000-09-26,3.5361,
2000-09-27,3.5711,
2000-09-28,3.5562,
2000-09-29,3.5270,
2000-09-30,.,No value available
2000-10-01,.,No value available
2000-10-02,3.5498,
2000-10-03,3.5367,
2000-10-04,3.5234,
2000-10-05,3.5495,
2000-10-06,3.5291,
2000-10-07,.,No value available
2000-10-08,.,No value available
2000-10-09,3.5258,
2000-10-10,3.5721,
2000-10-11,3.5564,
2000-10-12,3.5721,
2000-10-13,3.5405,
2000-10-14,.,No value available
2000-10-15,.,No value available
2000-10-16,3.5065,
2000-10-17,3.4834,
2000-10-18,3.5046,
2000-10-19,3.4502,
2000-10-20,3.4865,
2000-10-21,.,No value available
2000-10-22,.,No value available
2000-10-23,3.4748,
2000-10-24,3.4861,
2000-10-25,3.4449,
2000-10-26,3.4163,
2000-10-27,3.4386,
2000-10-28,.,No value available
2000-10-29,.,No value available
2000-10-30,3.5056,
2000-10-31,3.4817,
2000-11-01,3.5243,
2000-11-02,3.5622,
2000-11-03,3.5906,
2000-11-04,.,No value available
2000-11-05,.,No value available
2000-11-06,3.5571,
2000-11-07,3.5250,
2000-11-08,3.5246,
2000-11-09,3.5137,
2000-11-10,3.5672,
2000-11-11,.,No value available
2000-11-12,.,No value available
2000-11-13,3.5471,
2000-11-14,3.5318,
2000-11-15,3.5385,
2000-11-16,3.5236,
2000-11-17,3.4994,
2000-11-18,.,No value available
2000-11-19,.,No value available
2000-11-20,3.4765,
2000-11-21,3.4803,
2000-11-22,3.4708,
2000-11-23,3.4702,
2000-11-24,3.4617,
2000-11-25,.,No value available
2000-11-26,.,No value available
2000-11-27,3.4511,
2000-11-28,3.5117,
2000-11-29,3.5508,
2000-11-30,3.5544,
2000-12-01,3.5805,
2000-12-02,.,No value available
2000-12-03,.,No value available
2000-12-04,3.6545,
2000-12-05,3.6068,
2000-12-06,3.6098,
2000-12-07,3.6582,
2000-12-08,3.6381,
2000-12-09,.,No value available
2000-12-10,.,No value available
2000-12-11,3.6022,
2000-12-12,3.5936,
2000-12-13,3.5825,
2000-12-14,3.6221,
2000-12-15,3.6758,
2000-12-16,.,No value available
2000-12-17,.,No value available
2000-12-18,3.6590,
2000-12-19,3.6298,
2000-12-20,3.6879,
2000-12-21,3.7247,
2000-12-22,3.7533,
2000-12-23,.,No value available
2000-12-24,.,No value available
2000-12-25,.,No value available
2000-12-26,.,No value available
2000-12-27,3.7704,
2000-12-28,3.7595,
2000-12-29,3.7620,
2000-12-30,.,No value available
2000-12-31,.,No value available
2001-01-01,.,No value available
2001-01-02,3.8408,
2001-01-03,3.8987,
2001-01-04,3.8477,
2001-01-05,3.9129,
2001-01-06,.,No value available
2001-01-07,.,No value available
2001-01-08,3.9199,
2001-01-09,3.8769,
2001-01-10,3.8693,
2001-01-11,3.9168,
2001-01-12,3.9254,
2001-01-13,.,No value available
2001-01-14,.,No value available
2001-01-15,3.8721,
2001-01-16,3.8693,
2001-01-17,3.8618,
2001-01-18,3.8810,
2001-01-19,3.8799,
2001-01-20,.,No value available
2001-01-21,.,No value available
2001-01-22,3.8493,
2001-01-23,3.8954,
2001-01-24,3.8565,
2001-01-25,3.7828,
2001-01-26,3.8167,
2001-01-27,.,No value available
2001-01-28,.,No value available
2001-01-29,3.8133,
2001-01-30,3.8193,
2001-01-31,3.8482,
2001-02-01,3.8993,
2001-02-02,3.8988,
2001-02-03,.,No value available
2001-02-04,.,No value available
2001-02-05,3.8944,
2001-02-06,3.8453,
2001-02-07,3.8578,
2001-02-08,3.8134,
2001-02-09,3.7997,
2001-02-10,.,No value available
2001-02-11,.,No value available
2001-02-12,3.8183,
2001-02-13,3.8046,
2001-02-14,3.7630,
2001-02-15,3.7292,
2001-02-16,3.7436,
2001-02-17,.,No value available
2001-02-18,.,No value available
2001-02-19,3.7932,
2001-02-20,3.7332,
2001-02-21,3.7718,
2001-02-22,3.7456,
2001-02-23,3.7471,
2001-02-24,.,No value available
2001-02-25,.,No value available
2001-02-26,3.7604,
2001-02-27,3.7706,
2001-02-28,3.8028,
2001-03-01,3.8151,
2001-03-02,3.8532,
2001-03-03,.,No value available
2001-03-04,.,No value available
2001-03-05,3.8374,
2001-03-06,3.8225,
2001-03-07,3.8336,
2001-03-08,3.8424,
2001-03-09,3.8622,
2001-03-10,.,No value available
2001-03-11,.,No value available
2001-03-12,3.8284,
2001-03-13,3.8027,
2001-03-14,3.8041,
2001-03-15,3.7878,
2001-03-16,3.7421,
2001-03-17,.,No value available
2001-03-18,.,No value available
2001-03-19,3.7540,
2001-03-20,3.7798,
2001-03-21,3.7861,
2001-03-22,3.7467,
2001-03-23,3.7535,
2001-03-24,.,No value available
2001-03-25,.,No value available
2001-03-26,3.7357,
2001-03-27,3.7339,
2001-03-28,3.7327,
2001-03-29,3.7287,
2001-03-30,3.7112,
2001-03-31,.,No value available
2001-04-01,.,No value available
2001-04-02,3.6983,
2001-04-03,3.7379,
2001-04-04,3.8088,
2001-04-05,3.7794,
2001-04-06,3.7423,
2001-04-07,.,No value available
2001-04-08,.,No value available
2001-04-09,3.7767,
2001-04-10,3.7265,
2001-04-11,3.6942,
2001-04-12,3.6932,
2001-04-13,.,No value available
2001-04-14,.,No value available
2001-04-15,.,No value available
2001-04-16,.,No value available
2001-04-17,3.6931,
2001-04-18,3.6682,
2001-04-19,3.6738,
2001-04-20,3.7350,
2001-04-21,.,No value available
2001-04-22,.,No value available
2001-04-23,3.7385,
2001-04-24,3.7274,
2001-04-25,3.7193,
2001-04-26,3.7467,
2001-04-27,3.7473,
2001-04-28,.,No value available
2001-04-29,.,No value available
2001-04-30,3.6747,
2001-05-01,.,No value available
2001-05-02,3.6911,
2001-05-03,3.6930,
2001-05-04,3.7106,
2001-05-05,.,No value available
2001-05-06,.,No value available
2001-05-07,3.6996,
2001-05-08,3.6758,
2001-05-09,3.6579,
2001-05-10,3.6724,
2001-05-11,3.6382,
2001-05-12,.,No value available
2001-05-13,.,No value available
2001-05-14,3.6300,
2001-05-15,3.6408,
2001-05-16,3.6672,
2001-05-17,3.6529,
2001-05-18,3.6363,
2001-05-19,.,No value available
2001-05-20,.,No value available
2001-05-21,3.6242,
2001-05-22,3.5896,
2001-05-23,3.5481,
2001-05-24,3.5526,
2001-05-25,3.5515,
2001-05-26,.,No value available
2001-05-27,.,No value available
2001-05-28,3.5546,
2001-05-29,3.5264,
2001-05-30,3.5251,
2001-05-31,3.5073,
2001-06-01,3.5133,
2001-06-02,.,No value available
2001-06-03,.,No value available
2001-06-04,3.5423,
2001-06-05,3.5164,
2001-06-06,3.5377,
2001-06-07,3.5117,
2001-06-08,3.5183,
2001-06-09,.,No value available
2001-06-10,.,No value available
2001-06-11,3.5259,
2001-06-12,3.5217,
2001-06-13,3.5458,
2001-06-14,3.5369,
2001-06-15,3.6121,
2001-06-16,.,No value available
2001-06-17,.,No value available
2001-06-18,3.5783,
2001-06-19,3.5716,
2001-06-20,3.5474,
2001-06-21,3.5662,
2001-06-22,3.5562,
2001-06-23,.,No value available
2001-06-24,.,No value available
2001-06-25,3.5960,
2001-06-26,3.5968,
2001-06-27,3.5980,
2001-06-28,3.5482,
2001-06-29,3.5362,
2001-06-30,.,No value available
2001-07-01,.,No value available
2001-07-02,3.5317,
2001-07-03,3.5543,
2001-07-04,3.5359,
2001-07-05,3.5297,
2001-07-06,3.5229,
2001-07-07,.,No value available
2001-07-08,.,No value available
2001-07-09,3.5557,
2001-07-10,3.5804,
2001-07-11,3.6183,
2001-07-12,3.5868,
2001-07-13,3.5868,
2001-07-14,.,No value available
2001-07-15,.,No value available
2001-07-16,3.6100,
2001-07-17,3.5869,
2001-07-18,3.6375,
2001-07-19,3.6693,
2001-07-20,3.6842,
2001-07-21,.,No value available
2001-07-22,.,No value available
2001-07-23,3.6387,
2001-07-24,3.6514,
2001-07-25,3.6913,
2001-07-26,3.6779,
2001-07-27,3.6954,
2001-07-28,.,No value available
2001-07-29,.,No value available
2001-07-30,3.6780,
2001-07-31,3.6841,
2001-08-01,3.7137,
2001-08-02,3.7050,
2001-08-03,3.7095,
2001-08-04,.,No value available
2001-08-05,.,No value available
2001-08-06,3.7175,
2001-08-07,3.7106,
2001-08-08,3.7094,
2001-08-09,3.7475,
2001-08-10,3.7893,
2001-08-11,.,No value available
2001-08-12,.,No value available
2001-08-13,3.8041,
2001-08-14,3.7988,
2001-08-15,3.8668,
2001-08-16,3.8716,
2001-08-17,3.8654,
2001-08-18,.,No value available
2001-08-19,.,No value available
2001-08-20,3.8746,
2001-08-21,3.8639,
2001-08-22,3.9002,
2001-08-23,3.8554,
2001-08-24,3.8527,
2001-08-25,.,No value available
2001-08-26,.,No value available
2001-08-27,3.8460,
2001-08-28,3.8338,
2001-08-29,3.8796,
2001-08-30,3.8626,
2001-08-31,3.9031,
2001-09-01,.,No value available
2001-09-02,.,No value available
2001-09-03,3.8682,
2001-09-04,3.8284,
2001-09-05,3.8133,
2001-09-06,3.8015,
2001-09-07,3.8418,
2001-09-08,.,No value available
2001-09-09,.,No value available
2001-09-10,3.9020,
2001-09-11,3.8949,
2001-09-12,3.9410,
2001-09-13,3.9230,
2001-09-14,3.9872,
2001-09-15,.,No value available
2001-09-16,.,No value available
2001-09-17,4.0448,
2001-09-18,4.0365,
2001-09-19,4.0226,
2001-09-20,4.0116,
2001-09-21,4.0296,
2001-09-22,.,No value available
2001-09-23,.,No value available
2001-09-24,4.0009,
2001-09-25,3.9943,
2001-09-26,4.0232,
2001-09-27,4.0171,
2001-09-28,3.9780,
2001-09-29,.,No value available
2001-09-30,.,No value available
2001-10-01,3.9767,
2001-10-02,4.0064,
2001-10-03,4.0235,
2001-10-04,3.9741,
2001-10-05,3.9871,
2001-10-06,.,No value available
2001-10-07,.,No value available
2001-10-08,4.0118,
2001-10-09,4.0040,
2001-10-10,3.9513,
2001-10-11,3.9093,
2001-10-12,3.9044,
2001-10-13,.,No value available
2001-10-14,.,No value available
2001-10-15,3.9217,
2001-10-16,3.8833,
2001-10-17,3.8749,
2001-10-18,3.8839,
2001-10-19,3.8824,
2001-10-20,.,No value available
2001-10-21,.,No value available
2001-10-22,3.8593,
2001-10-23,3.8090,
2001-10-24,3.8432,
2001-10-25,3.8312,
2001-10-26,3.8282,
2001-10-27,.,No value available
2001-10-28,.,No value available
2001-10-29,3.8667,
2001-10-30,3.8939,
2001-10-31,3.8682,
2001-11-01,3.8890,
2001-11-02,3.8696,
2001-11-03,.,No value available
2001-11-04,.,No value available
2001-11-05,3.8147,
2001-11-06,3.8156,
2001-11-07,3.8436,
2001-11-08,3.8140,
2001-11-09,3.7810,
2001-11-10,.,No value available
2001-11-11,.,No value available
2001-11-12,3.7620,
2001-11-13,3.7322,
2001-11-14,3.7245,
2001-11-15,3.7330,
2001-11-16,3.7467,
2001-11-17,.,No value available
2001-11-18,.,No value available
2001-11-19,3.7168,
2001-11-20,3.7299,
2001-11-21,3.7133,
2001-11-22,3.7100,
2001-11-23,3.7247,
2001-11-24,.,No value available
2001-11-25,.,No value available
2001-11-26,3.7441,
2001-11-27,3.7270,
2001-11-28,3.7329,
2001-11-29,3.7556,
2001-11-30,3.7674,
2001-12-01,.,No value available
2001-12-02,.,No value available
2001-12-03,3.7899,
2001-12-04,3.7851,
2001-12-05,3.7763,
2001-12-06,3.7556,
2001-12-07,3.7676,
2001-12-08,.,No value available
2001-12-09,.,No value available
2001-12-10,3.7386,
2001-12-11,3.7618,
2001-12-12,3.7754,
2001-12-13,3.7955,
2001-12-14,3.8316,
2001-12-15,.,No value available
2001-12-16,.,No value available
2001-12-17,3.8295,
2001-12-18,3.8193,
2001-12-19,3.8277,
2001-12-20,3.8393,
2001-12-21,3.8840,
2001-12-22,.,No value available
2001-12-23,.,No value available
2001-12-24,3.8192,
2001-12-25,.,No value available
2001-12-26,.,No value available
2001-12-27,3.8574,
2001-12-28,3.8746,
2001-12-29,.,No value available
2001-12-30,.,No value available
2001-12-31,.,No value available
2002-01-01,.,No value available
2002-01-02,4.0124,
2002-01-03,4.0472,
2002-01-04,4.0159,
2002-01-05,.,No value available
2002-01-06,.,No value available
2002-01-07,4.0197,
2002-01-08,4.0011,
2002-01-09,3.9788,
2002-01-10,3.9814,
2002-01-11,4.0064,
2002-01-12,.,No value available
2002-01-13,.,No value available
2002-01-14,3.9984,
2002-01-15,4.0234,
2002-01-16,3.9967,
2002-01-17,3.9985,
2002-01-18,3.9804,
2002-01-19,.,No value available
2002-01-20,.,No value available
2002-01-21,4.0253,
2002-01-22,4.0508,
2002-01-23,4.0733,
2002-01-24,4.0241,
2002-01-25,3.9868,
2002-01-26,.,No value available
2002-01-27,.,No value available
2002-01-28,3.9557,
2002-01-29,3.9897,
2002-01-30,3.9939,
2002-01-31,3.9766,
2002-02-01,3.9625,
2002-02-02,.,No value available
2002-02-03,.,No value available
2002-02-04,3.9745,
2002-02-05,4.0072,
2002-02-06,4.0106,
2002-02-07,4.0444,
2002-02-08,4.0781,
2002-02-09,.,No value available
2002-02-10,.,No value available
2002-02-11,4.1728,
2002-02-12,4.1227,
2002-02-13,4.0564,
2002-02-14,4.0276,
2002-02-15,4.0243,
2002-02-16,.,No value available
2002-02-17,.,No value available
2002-02-18,4.0838,
2002-02-19,4.1044,
2002-02-20,4.1088,
2002-02-21,4.0851,
2002-02-22,4.1012,
2002-02-23,.,No value available
2002-02-24,.,No value available
2002-02-25,4.0549,
2002-02-26,4.0241,
2002-02-27,3.9889,
2002-02-28,4.0033,
2002-03-01,4.0622,
2002-03-02,.,No value available
2002-03-03,.,No value available
2002-03-04,4.0330,
2002-03-05,4.0727,
2002-03-06,4.1095,
2002-03-07,4.1147,
2002-03-08,4.1280,
2002-03-09,.,No value available
2002-03-10,.,No value available
2002-03-11,4.0777,
2002-03-12,4.0827,
2002-03-13,4.0831,
2002-03-14,4.1048,
2002-03-15,4.1405,
2002-03-16,.,No value available
2002-03-17,.,No value available
2002-03-18,4.0839,
2002-03-19,4.0799,
2002-03-20,4.0729,
2002-03-21,4.0867,
2002-03-22,4.0826,
2002-03-23,.,No value available
2002-03-24,.,No value available
2002-03-25,4.0861,
2002-03-26,4.0889,
2002-03-27,4.1124,
2002-03-28,4.1046,
2002-03-29,.,No value available
2002-03-30,.,No value available
2002-03-31,.,No value available
2002-04-01,.,No value available
2002-04-02,4.2028,
2002-04-03,4.2127,
2002-04-04,4.2124,
2002-04-05,4.1695,
2002-04-06,.,No value available
2002-04-07,.,No value available
2002-04-08,4.1705,
2002-04-09,4.1870,
2002-04-10,4.1931,
2002-04-11,4.1925,
2002-04-12,4.2149,
2002-04-13,.,No value available
2002-04-14,.,No value available
2002-04-15,4.2170,
2002-04-16,4.2210,
2002-04-17,4.2668,
2002-04-18,4.2630,
2002-04-19,4.2520,
2002-04-20,.,No value available
2002-04-21,.,No value available
2002-04-22,4.2491,
2002-04-23,4.2453,
2002-04-24,4.3260,
2002-04-25,4.3814,
2002-04-26,4.3805,
2002-04-27,.,No value available
2002-04-28,.,No value available
2002-04-29,4.4326,
2002-04-30,4.4112,
2002-05-01,.,No value available
2002-05-02,4.3787,
2002-05-03,4.3880,
2002-05-04,.,No value available
2002-05-05,.,No value available
2002-05-06,4.4284,
2002-05-07,4.4411,
2002-05-08,4.4476,
2002-05-09,4.4616,
2002-05-10,4.4979,
2002-05-11,.,No value available
2002-05-12,.,No value available
2002-05-13,4.4839,
2002-05-14,4.4454,
2002-05-15,4.4168,
2002-05-16,4.4461,
2002-05-17,4.4598,
2002-05-18,.,No value available
2002-05-19,.,No value available
2002-05-20,4.4648,
2002-05-21,4.4843,
2002-05-22,4.5050,
2002-05-23,4.5205,
2002-05-24,4.5141,
2002-05-25,.,No value available
2002-05-26,.,No value available
2002-05-27,4.4847,
2002-05-28,4.5710,
2002-05-29,4.6339,
2002-05-30,4.6284,
2002-05-31,4.6198,
2002-06-01,.,No value available
2002-06-02,.,No value available
2002-06-03,4.5876,
2002-06-04,4.6656,
2002-06-05,4.6602,
2002-06-06,4.6648,
2002-06-07,4.7260,
2002-06-08,.,No value available
2002-06-09,.,No value available
2002-06-10,4.7068,
2002-06-11,4.7011,
2002-06-12,4.6878,
2002-06-13,4.6737,
2002-06-14,4.7039,
2002-06-15,.,No value available
2002-06-16,.,No value available
2002-06-17,4.6526,
2002-06-18,4.6766,
2002-06-19,4.7380,
2002-06-20,4.7802,
2002-06-21,4.7843,
2002-06-22,.,No value available
2002-06-23,.,No value available
2002-06-24,4.8367,
2002-06-25,4.7734,
2002-06-26,4.8295,
2002-06-27,4.7430,
2002-06-28,4.7431,
2002-06-29,.,No value available
2002-06-30,.,No value available
2002-07-01,4.7176,
2002-07-02,4.6835,
2002-07-03,4.6650,
2002-07-04,4.6816,
2002-07-05,4.6748,
2002-07-06,.,No value available
2002-07-07,.,No value available
2002-07-08,4.7008,
2002-07-09,4.7197,
2002-07-10,4.6770,
2002-07-11,4.6469,
2002-07-12,4.6561,
2002-07-13,.,No value available
2002-07-14,.,No value available
2002-07-15,4.6922,
2002-07-16,4.7465,
2002-07-17,4.6908,
2002-07-18,4.6840,
2002-07-19,4.7321,
2002-07-20,.,No value available
2002-07-21,.,No value available
2002-07-22,4.6779,
2002-07-23,4.6207,
2002-07-24,4.6575,
2002-07-25,4.7217,
2002-07-26,4.7488,
2002-07-27,.,No value available
2002-07-28,.,No value available
2002-07-29,4.6496,
2002-07-30,4.6293,
2002-07-31,4.5814,
2002-08-01,4.5824,
2002-08-02,4.6522,
2002-08-03,.,No value available
2002-08-04,.,No value available
2002-08-05,4.6377,
2002-08-06,4.5562,
2002-08-07,4.5678,
2002-08-08,4.5529,
2002-08-09,4.5527,
2002-08-10,.,No value available
2002-08-11,.,No value available
2002-08-12,4.5722,
2002-08-13,4.5928,
2002-08-14,4.6194,
2002-08-15,4.5687,
2002-08-16,4.5843,
2002-08-17,.,No value available
2002-08-18,.,No value available
2002-08-19,4.5487,
2002-08-20,4.5259,
2002-08-21,4.5332,
2002-08-22,4.5522,
2002-08-23,4.5198,
2002-08-24,.,No value available
2002-08-25,.,No value available
2002-08-26,4.5275,
2002-08-27,4.5635,
2002-08-28,4.5848,
2002-08-29,4.5898,
2002-08-30,4.5847,
2002-08-31,.,No value available
2002-09-01,.,No value available
2002-09-02,4.5992,
2002-09-03,4.6428,
2002-09-04,4.6950,
2002-09-05,4.7301,
2002-09-06,4.6986,
2002-09-07,.,No value available
2002-09-08,.,No value available
2002-09-09,4.6365,
2002-09-10,4.6342,
2002-09-11,4.6493,
2002-09-12,4.6214,
2002-09-13,4.6450,
2002-09-14,.,No value available
2002-09-15,.,No value available
2002-09-16,4.5849,
2002-09-17,4.5543,
2002-09-18,4.6242,
2002-09-19,4.7029,
2002-09-20,4.7139,
2002-09-21,.,No value available
2002-09-22,.,No value available
2002-09-23,4.7535,
2002-09-24,4.7618,
2002-09-25,4.7502,
2002-09-26,4.7227,
2002-09-27,4.7379,
2002-09-28,.,No value available
2002-09-29,.,No value available
2002-09-30,4.8117,
2002-10-01,4.7944,
2002-10-02,4.7503,
2002-10-03,4.7937,
2002-10-04,4.7727,
2002-10-05,.,No value available
2002-10-06,.,No value available
2002-10-07,4.7745,
2002-10-08,4.7542,
2002-10-09,4.7535,
2002-10-10,4.7686,
2002-10-11,4.7511,
2002-10-12,.,No value available
2002-10-13,.,No value available
2002-10-14,4.7647,
2002-10-15,4.7372,
2002-10-16,4.7337,
2002-10-17,4.6520,
2002-10-18,4.6319,
2002-10-19,.,No value available
2002-10-20,.,No value available
2002-10-21,4.6254,
2002-10-22,4.6730,
2002-10-23,4.6353,
2002-10-24,4.6148,
2002-10-25,4.6374,
2002-10-26,.,No value available
2002-10-27,.,No value available
2002-10-28,4.6406,
2002-10-29,4.6899,
2002-10-30,4.6541,
2002-10-31,4.7022,
2002-11-01,4.7426,
2002-11-02,.,No value available
2002-11-03,.,No value available
2002-11-04,4.7154,
2002-11-05,4.7494,
2002-11-06,4.6818,
2002-11-07,4.7071,
2002-11-08,4.7584,
2002-11-09,.,No value available
2002-11-10,.,No value available
2002-11-11,4.7471,
2002-11-12,4.7461,
2002-11-13,4.7279,
2002-11-14,4.7093,
2002-11-15,4.6780,
2002-11-16,.,No value available
2002-11-17,.,No value available
2002-11-18,4.7004,
2002-11-19,4.7426,
2002-11-20,4.6949,
2002-11-21,4.6968,
2002-11-22,4.6932,
2002-11-23,.,No value available
2002-11-24,.,No value available
2002-11-25,4.6359,
2002-11-26,4.6131,
2002-11-27,4.5991,
2002-11-28,4.6132,
2002-11-29,4.6141,
2002-11-30,.,No value available
2002-12-01,.,No value available
2002-12-02,4.5770,
2002-12-03,4.6257,
2002-12-04,4.6584,
2002-12-05,4.6645,
2002-12-06,4.7128,
2002-12-07,.,No value available
2002-12-08,.,No value available
