"",BBFB1.M.N.DE.W1.S1.S1.T.LI.FA.P.F52._Z._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.LI.FA.P.F52._Z._T.M.N_FLAGS
2000-06,2691.815,
2000-07,2876.367,
2000-08,3266.377,
2000-09,4012.572,
2000-10,4019.592,
2000-11,4023.768,
2000-12,4079.160,
2001-01,5132.030,
2001-02,3102.091,
2001-03,2783.747,
2001-04,3515.544,
2001-05,3701.859,
2001-06,2356.303,
2001-07,2363.711,
2001-08,3094.536,
2001-09,2708.031,
2001-10,4423.426,
2001-11,3925.425,
2001-12,5608.209,
2002-01,6582.590,
2002-02,5975.649,
2002-03,6864.564,
2002-04,5891.819,
2002-05,6254.981,
2002-06,6567.792,
2002-07,7385.105,
2002-08,7537.742,
2002-09,6458.444,
2002-10,8717.721,
2002-11,9253.329,
2002-12,6576.380,
2003-01,8067.481,
2003-02,6859.197,
2003-03,8355.696,
2003-04,6847.064,
2003-05,6294.563,
2003-06,6608.114,
2003-07,7268.161,
2003-08,7752.370,
2003-09,7263.978,
2003-10,7975.125,
2003-11,5234.371,
2003-12,6033.375,
2004-01,6316.233,
2004-02,5173.607,
2004-03,7798.520,
2004-04,4925.608,
2004-05,5205.392,
2004-06,4296.082,
2004-07,8114.672,
2004-08,4955.216,
2004-09,3472.462,
2004-10,4288.538,
2004-11,6856.714,
2004-12,5155.244,
2005-01,4886.259,
2005-02,5233.157,
2005-03,6608.812,
2005-04,7456.020,
2005-05,4045.789,
2005-06,8085.279,
2005-07,7210.608,
2005-08,6909.159,
2005-09,9613.407,
2005-10,7281.629,
2005-11,8612.421,
2005-12,8095.680,
2006-01,9908.826,
2006-02,12379.128,
2006-03,8780.180,
2006-04,7922.574,
2006-05,11786.251,
2006-06,7783.496,
2006-07,7031.038,
2006-08,6731.576,
2006-09,6010.910,
2006-10,6027.720,
2006-11,6031.660,
2006-12,8068.964,
2007-01,10239.715,
2007-02,9181.519,
2007-03,12120.264,
2007-04,8633.117,
2007-05,11403.692,
2007-06,10606.736,
2007-07,14570.216,
2007-08,16149.543,
2007-09,9253.071,
2007-10,11225.447,
2007-11,11416.814,
2007-12,10652.823,
2008-01,16262.697,
2008-02,10263.121,
2008-03,7408.859,
2008-04,16286.157,
2008-05,11441.175,
2008-06,7140.026,
2008-07,8424.895,
2008-08,7673.130,
2008-09,9691.816,
2008-10,11615.750,
2008-11,6055.545,
2008-12,8756.973,
2009-01,5613.620,
2009-02,5205.885,
2009-03,5067.921,
2009-04,8903.783,
2009-05,12221.115,
2009-06,6279.722,
2009-07,9618.672,
2009-08,4760.081,
2009-09,17581.857,
2009-10,6485.933,
2009-11,7929.855,
2009-12,7723.727,
2010-01,7828.632,
2010-02,6470.464,
2010-03,7107.480,
2010-04,14723.020,
2010-05,25715.510,
2010-06,6883.133,
2010-07,6942.426,
2010-08,8516.665,
2010-09,5780.224,
2010-10,6804.991,
2010-11,8043.374,
2010-12,8912.804,
2011-01,9046.733,
2011-02,8137.078,
2011-03,11660.366,
2011-04,10586.184,
2011-05,13233.057,
2011-06,6829.488,
2011-07,15436.727,
2011-08,15203.549,
2011-09,10785.741,
2011-10,9284.465,
2011-11,8725.292,
2011-12,9149.749,
2012-01,8253.782,
2012-02,6914.718,
2012-03,7203.144,
2012-04,6765.881,
2012-05,13969.743,
2012-06,7177.175,
2012-07,6528.039,
2012-08,6100.769,
2012-09,6145.456,
2012-10,4847.542,
2012-11,6329.416,
2012-12,6672.814,
2013-01,8333.798,
2013-02,7256.222,
2013-03,5780.728,
2013-04,6674.688,
2013-05,8661.085,
2013-06,8866.166,
2013-07,7477.671,
2013-08,5335.481,
2013-09,6625.316,
2013-10,9353.449,
2013-11,11507.773,
2013-12,8326.703,
2014-01,8666.764,
2014-02,9954.861,Provisional value
2014-03,7633.093,Provisional value
2014-04,6801.117,Provisional value
2014-05,10725.584,Provisional value
2014-06,8012.409,Provisional value
2014-07,6808.610,Provisional value
2014-08,7749.994,Provisional value
2014-09,9636.960,
2014-10,14330.034,
2014-11,11434.695,
2014-12,13523.910,Provisional value
