"",BBEX3.M.JMD.USD.CA.AC.A01,BBEX3.M.JMD.USD.CA.AC.A01_FLAGS
2008-09,72.47885,
2008-10,76.12530,
2008-11,77.51280,
2008-12,80.21670,
2009-01,85.83680,
2009-02,88.05310,
2009-03,88.38500,
2009-04,88.78295,
2009-05,88.97375,
2009-06,88.83270,
2009-07,88.81090,
2009-08,88.80210,
2009-09,88.86740,
2009-10,89.10365,
2009-11,89.38370,
2009-12,89.32790,
2010-01,89.48440,
2010-02,89.58815,
2010-03,89.23245,
2010-04,88.93420,
2010-05,88.08845,
2010-06,85.73130,
2010-07,85.88245,
2010-08,85.35085,
2010-09,86.02185,
2010-10,85.38245,
2010-11,85.94150,
2010-12,85.60105,
2011-01,85.46675,
2011-02,85.67795,
2011-03,85.57265,
2011-04,85.54190,
2011-05,85.58380,
2011-06,85.72765,
2011-07,85.91465,
2011-08,85.95675,
2011-09,86.12065,
2011-10,86.27780,
2011-11,86.50070,
2011-12,86.36795,
2012-01,86.61690,
2012-02,86.83985,
2012-03,87.11540,
2012-04,87.16850,
2012-05,87.88765,
2012-06,88.44860,
2012-07,89.38150,
2012-08,89.61295,
2012-09,89.72070,
2012-10,90.80495,
2012-11,91.55500,
2012-12,92.56370,
2013-01,93.60735,
2013-02,96.69655,
2013-03,98.41090,
2013-04,99.05655,
2013-05,99.05530,
2013-06,100.96715,
2013-07,101.60855,
2013-08,101.86530,
2013-09,103.23485,
2013-10,104.68655,
2013-11,105.60755,
2013-12,106.04710,
2014-01,107.36370,
2014-02,108.04580,
2014-03,109.28435,
2014-04,109.84845,
2014-05,111.10385,
2014-06,111.86060,
2014-07,112.60740,
2014-08,112.59995,
2014-09,112.52655,
2014-10,112.49390,
2014-11,113.35835,
2014-12,114.39000,
2015-01,115.67190,
"","Source: Calculated on the basis of the buying and selling rates of the following banks: Since 2000: Bank of Jamaica, Kingston 1997 - 1999: National Commercial Bank Jamaica Limited, Kingston 1990 - 1996: Mutual Security Bank Limited, Kingston.",
