"",BBEX3.M.SCR.USD.CA.AC.A01,BBEX3.M.SCR.USD.CA.AC.A01_FLAGS
2004-07,5.52065,
2004-08,5.52065,
2004-09,5.52065,
2004-10,5.52065,
2004-11,5.52065,
2004-12,5.52065,
2005-01,5.52065,
2005-02,5.52065,
2005-03,5.52065,
2005-04,5.52065,
2005-05,5.52065,
2005-06,5.52065,
2005-07,5.52065,
2005-08,5.52065,
2005-09,5.52065,
2005-10,5.52065,
2005-11,5.52065,
2005-12,5.52065,
2006-01,5.52065,
2006-02,5.52065,
2006-03,5.52065,
2006-04,5.52065,
2006-05,5.52065,
2006-06,5.52065,
2006-07,5.52065,
2006-08,5.52065,
2006-09,5.52065,
2006-10,5.54140,
2006-11,5.57930,
2006-12,5.81730,
2007-01,6.04070,
2007-02,6.11625,
2007-03,6.12310,
2007-04,6.12810,
2007-05,6.15415,
2007-06,6.32755,
2007-07,6.52505,
2007-08,6.85585,
2007-09,7.21480,
2007-10,8.02335,
2007-11,8.02305,
2007-12,8.02805,
2008-01,8.02730,
2008-02,8.02085,
2008-03,8.01265,
2008-04,8.00205,
2008-05,8.00440,
2008-06,7.99610,
2008-07,8.00275,
2008-08,8.04965,
2008-09,8.25565,
2008-10,8.90905,
2008-11,16.68820,comment
2008-12,16.46540,
2009-01,16.62175,
2009-02,16.81920,
2009-03,16.17400,
2009-04,14.92220,
2009-05,14.22690,
2009-06,13.77460,
2009-07,13.23015,
2009-08,12.65250,
2009-09,10.40090,
2009-10,10.64340,
2009-11,11.09750,
2009-12,11.24985,
2010-01,11.34075,
2010-02,11.65425,
2010-03,11.75875,
2010-04,11.88435,
2010-05,12.31420,
2010-06,12.40555,
2010-07,12.45305,
2010-08,12.49035,
2010-09,12.38285,
2010-10,12.30700,
2010-11,12.26410,
2010-12,12.14430,
2011-01,12.23670,
2011-02,12.23900,
2011-03,12.10970,
2011-04,11.99525,
2011-05,11.96030,
2011-06,11.97620,
2011-07,12.21365,
2011-08,12.14965,
2011-09,12.39430,
2011-10,12.61740,
2011-11,13.14870,
2011-12,13.63655,
2012-01,14.05000,
2012-02,14.00295,
2012-03,14.01810,
2012-04,14.02210,
2012-05,14.37755,
2012-06,14.42995,
2012-07,13.91865,
2012-08,12.98515,
2012-09,12.94580,
2012-10,12.96590,
2012-11,13.03485,
2012-12,12.98870,
2013-01,12.78070,
2013-02,12.11405,
2013-03,11.56785,
2013-04,11.76295,
2013-05,11.85280,
2013-06,11.88655,
2013-07,12.01165,
2013-08,11.94000,
2013-09,12.01825,
2013-10,12.03670,
2013-11,12.00900,
2013-12,12.02610,
2014-01,12.11790,
2014-02,12.13310,
2014-03,12.11170,
2014-04,12.20890,
2014-05,12.19485,
2014-06,12.09275,
2014-07,12.30570,
2014-08,12.97080,
2014-09,13.42540,
2014-10,14.04385,
2014-11,14.16395,
2014-12,14.01470,
2015-01,13.98255,
"","Source: Calculated on the basis of the buying and selling rates of the Central Bank of Seychelles, Victoria.",
"","Comment on 1981-03: On 16 March 1981, the Seychelles rupee was revalued by 15% against the special drawing right.",
"","Comment on 2008-11: On 1 November 2008, the currency ceased to be pegged to a currency basket and the exchange rate for the Seychelles rupee was allowed to float freely.",
