"",BBFN1.M.DE.N.1.L.BR.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.BR.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
2000-04,0.064,
2000-05,0.064,
2000-06,0.069,
2000-07,0.074,
2000-08,0.082,
2000-09,0.107,
2000-10,0.112,
2000-11,0.103,
2000-12,0.113,
2001-01,0.120,
2001-02,0.106,
2001-03,.,No value available
2001-04,0.095,
2001-05,0.058,
2001-06,0.063,
2001-07,0.064,
2001-08,0.077,
2001-09,0.076,
2001-10,0.075,
2001-11,0.073,
2001-12,0.099,
2002-01,0.079,
2002-02,0.078,
2002-03,0.052,
2002-04,0.070,
2002-05,0.069,
2002-06,0.067,
2002-07,0.048,
2002-08,0.048,
2002-09,0.056,
2002-10,0.039,
2002-11,0.036,
2002-12,0.040,
2003-01,0.056,
2003-02,0.084,
2003-03,0.084,
2003-04,0.079,
2003-05,0.080,
2003-06,0.079,
2003-07,.,No value available
2003-08,0.075,
2003-09,0.077,
2003-10,0.097,
2003-11,0.103,
2003-12,0.073,
2004-01,0.093,
2004-02,0.076,
2004-03,0.075,
2004-04,0.078,
2004-05,0.076,
2004-06,0.074,
2004-07,0.076,
2004-08,0.077,
2004-09,0.078,
2004-10,0.079,
2004-11,0.071,
2004-12,0.069,
2005-01,0.074,
2005-02,0.079,
2005-03,0.081,
2005-04,0.093,
2005-05,0.087,
2005-06,0.082,
2005-07,0.078,
2005-08,0.075,
2005-09,0.086,
2005-10,0.069,
2005-11,0.060,
2005-12,0.064,
2006-01,0.124,
2006-02,0.129,
2006-03,0.096,
2006-04,0.250,
2006-05,0.072,
2006-06,0.083,
2006-07,0.080,
2006-08,0.082,
2006-09,0.080,
2006-10,0.095,
2006-11,0.089,
2006-12,0.087,
2007-01,0.093,
2007-02,0.099,
2007-03,0.092,
2007-04,0.095,
2007-05,0.103,
2007-06,0.097,
2007-07,0.084,
2007-08,0.085,
2007-09,0.095,
2007-10,0.080,
2007-11,0.141,
2007-12,0.083,
2008-01,0.082,
2008-02,0.089,
2008-03,0.067,
2008-04,0.070,
2008-05,0.086,
2008-06,0.067,
2008-07,0.069,
2008-08,0.075,
2008-09,0.077,
2008-10,0.088,
2008-11,0.118,
2008-12,0.120,
2009-01,0.125,
2009-02,0.122,
2009-03,0.131,
2009-04,0.069,
2009-05,0.087,
2009-06,0.039,
2009-07,0.037,
2009-08,0.063,
2009-09,0.067,
2009-10,0.050,
2009-11,0.043,
2009-12,0.062,
2010-01,0.072,
2010-02,0.071,
2010-03,0.081,
2010-04,0.079,
2010-05,0.068,
2010-06,0.078,
2010-07,0.080,
2010-08,0.075,
2010-09,0.073,
2010-10,0.059,
2010-11,0.044,
2010-12,0.068,
2011-01,0.064,
2011-02,0.055,
2011-03,0.104,
2011-04,0.101,
2011-05,0.108,
2011-06,0.108,
2011-07,0.120,
2011-08,0.123,
2011-09,0.121,
2011-10,0.105,
2011-11,0.114,
2011-12,0.137,
2012-01,0.155,
2012-02,0.165,
2012-03,0.174,
2012-04,0.185,
2012-05,0.181,
2012-06,0.188,
2012-07,0.179,
2012-08,0.177,
2012-09,0.112,
2012-10,0.106,
2012-11,0.090,
2012-12,0.103,
2013-01,0.103,
2013-02,0.098,
2013-03,0.088,
2013-04,0.101,
2013-05,0.126,
2013-06,0.110,
2013-07,0.115,
2013-08,0.111,
2013-09,0.115,
2013-10,0.132,
2013-11,0.123,
2013-12,0.080,
2014-01,0.085,
2014-02,0.076,
2014-03,0.074,
2014-04,0.055,
2014-05,0.070,
2014-06,0.071,
2014-07,0.065,
2014-08,0.064,
2014-09,0.059,
2014-10,0.043,
2014-11,0.044,
2014-12,0.045,
