"",BBFN1.M.DE.N.1.L.BE.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.BE.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
2003-08,0.141,
2003-09,0.133,
2003-10,0.106,
2003-11,0.096,
2003-12,0.026,
2004-01,0.080,
2004-02,0.226,
2004-03,0.099,
2004-04,0.220,
2004-05,0.098,
2004-06,0.062,
2004-07,0.091,
2004-08,0.286,
2004-09,0.284,
2004-10,0.220,
2004-11,0.294,
2004-12,0.494,
2005-01,0.518,
2005-02,0.402,
2005-03,0.065,
2005-04,0.098,
2005-05,0.109,
2005-06,0.103,
2005-07,0.118,
2005-08,0.136,
2005-09,0.119,
2005-10,0.147,
2005-11,0.258,
2005-12,0.092,
2006-01,0.118,
2006-02,0.025,
2006-03,0.022,
2006-04,0.062,
2006-05,0.203,
2006-06,0.098,
2006-07,0.145,
2006-08,0.114,
2006-09,0.242,
2006-10,0.020,
2006-11,0.098,
2006-12,0.115,
2007-01,0.052,
2007-02,0.150,
2007-03,0.060,
2007-04,0.120,
2007-05,0.102,
2007-06,0.231,
2007-07,0.129,
2007-08,0.099,
2007-09,4.224,
2007-10,1.478,
2007-11,3.149,
2007-12,0.853,
2008-01,4.074,
2008-02,6.543,
2008-03,3.621,
2008-04,3.606,
2008-05,4.588,
2008-06,4.407,
2008-07,3.231,
2008-08,3.701,
2008-09,3.941,
2008-10,4.099,
2008-11,4.047,
2008-12,4.936,
2009-01,5.760,
2009-02,4.710,
2009-03,4.651,
2009-04,6.374,
2009-05,4.873,
2009-06,4.428,
2009-07,3.910,
2009-08,5.074,
2009-09,4.819,
2009-10,4.361,
2009-11,5.212,
2009-12,7.665,
2010-01,6.282,
2010-02,5.845,
2010-03,5.387,
2010-04,5.437,
2010-05,6.459,
2010-06,10.483,
2010-07,9.969,
2010-08,11.395,
2010-09,11.430,
2010-10,9.927,
2010-11,12.195,
2010-12,12.131,
2011-01,8.128,
2011-02,10.901,
2011-03,4.758,
2011-04,7.921,
2011-05,9.263,
2011-06,5.114,
2011-07,10.445,
2011-08,11.624,
2011-09,9.044,
2011-10,8.143,
2011-11,7.248,
2011-12,6.285,
2012-01,6.778,
2012-02,10.017,
2012-03,8.357,
2012-04,11.546,
2012-05,16.391,
2012-06,7.030,
2012-07,8.702,
2012-08,6.177,
2012-09,8.920,
2012-10,10.977,
2012-11,7.731,
2012-12,4.965,
2013-01,9.221,
2013-02,12.585,
2013-03,13.098,
2013-04,13.118,
2013-05,13.280,
2013-06,11.606,
2013-07,16.201,
2013-08,9.836,
2013-09,8.087,
2013-10,9.989,
2013-11,10.066,
2013-12,3.351,
2014-01,7.159,
2014-02,10.160,
2014-03,7.916,
2014-04,9.073,
2014-05,8.964,
2014-06,13.331,
2014-07,17.860,
2014-08,16.086,
2014-09,14.258,
2014-10,7.273,
2014-11,8.407,
2014-12,2.827,
