"",BBEX3.M.PKR.USD.CA.AA.A01,BBEX3.M.PKR.USD.CA.AA.A01_FLAGS
1997-04,40.1998,
1997-05,40.3496,
1997-06,40.4195,
1997-07,40.4795,
1997-08,40.4795,
1997-09,40.4795,
1997-10,44.0060,
1997-11,44.0060,
1997-12,44.0060,
1998-01,44.0060,
1998-02,44.0060,
1998-03,44.1000,
1998-04,44.0525,
1998-05,44.3000,
1998-06,46.0000,
1998-07,46.0000,
1998-08,49.9064,comment
1998-09,49.9917,
1998-10,50.7246,
1998-11,49.9685,
1998-12,49.2646,
1999-01,49.8612,
1999-02,50.1188,
1999-03,49.9692,
1999-04,50.4046,
1999-05,51.2500,comment
1999-06,51.2360,
1999-07,51.0250,
1999-08,51.4000,
1999-09,51.6200,
1999-10,51.6250,
1999-11,51.7500,
1999-12,51.7500,
2000-01,51.4000,
2000-02,51.7500,
2000-03,51.7500,
2000-04,51.7500,
2000-05,51.7500,
2000-06,52.1000,
2000-07,53.3400,
2000-08,54.7700,
2000-09,58.3500,
2000-10,57.1000,
2000-11,57.6500,
2000-12,57.8000,
2001-01,59.3200,
2001-02,60.0000,
2001-03,60.7500,
2001-04,60.8000,
2001-05,63.0000,
2001-06,63.8500,
2001-07,63.8500,
2001-08,63.8000,
2001-09,63.7000,
2001-10,61.2500,
2001-11,60.5000,
2001-12,59.8500,
2002-01,59.7500,
2002-02,59.9000,
2002-03,59.9500,
2002-04,59.9500,
2002-05,59.9200,
2002-06,59.9000,
2002-07,59.4000,
2002-08,59.1500,
2002-09,59.1100,
2002-10,58.8000,
2002-11,58.2000,
2002-12,58.2000,
2003-01,58.1200,
2003-02,58.0000,
2003-03,57.7500,
2003-04,57.6000,
2003-05,57.4500,
2003-06,57.7500,
2003-07,57.5300,
2003-08,57.7300,
2003-09,57.9500,
2003-10,57.3000,
2003-11,57.2200,
2003-12,57.3200,
2004-01,57.0000,
2004-02,57.2000,
2004-03,57.0000,
2004-04,57.4800,
2004-05,57.7100,
2004-06,58.2000,
2004-07,58.2800,
2004-08,58.6800,
2004-09,59.1600,
2004-10,61.3000,
2004-11,59.8500,
2004-12,59.4800,
2005-01,59.2800,
2005-02,59.2000,
2005-03,59.3000,
2005-04,59.3800,
2005-05,59.5500,
2005-06,59.5500,
2005-07,59.5500,
2005-08,59.6000,
2005-09,59.7000,
2005-10,59.6500,
2005-11,59.7000,
2005-12,59.7600,
2006-01,59.7800,
2006-02,59.7800,
2006-03,59.8800,
2006-04,60.0000,
2006-05,60.1000,
2006-06,60.1500,
2006-07,60.2900,
2006-08,60.2900,
2006-09,60.4800,
2006-10,60.5000,
2006-11,60.7500,
2006-12,60.8200,
2007-01,60.6000,
2007-02,60.6000,
2007-03,60.7000,
2007-04,60.6000,
2007-05,60.6300,
2007-06,60.4500,
2007-07,60.3000,
2007-08,60.3300,
2007-09,60.6000,
2007-10,60.6000,
2007-11,61.0300,
2007-12,61.3500,
2008-01,62.5000,
2008-02,62.4000,
2008-03,62.6500,
2008-04,64.4000,
2008-05,66.8000,
2008-06,68.0000,
2008-07,71.2500,
2008-08,75.6000,
2008-09,78.0000,
2008-10,81.3000,
2008-11,78.5000,
2008-12,78.7000,
2009-01,78.8000,
2009-02,79.7000,
2009-03,80.2000,
2009-04,80.2500,
2009-05,80.7000,
2009-06,81.1000,
2009-07,83.0000,
2009-08,82.8000,
2009-09,83.1000,
2009-10,83.5500,
2009-11,83.3500,
2009-12,84.1000,
2010-01,84.5500,
2010-02,84.9000,
2010-03,84.0000,
2010-04,83.9000,
2010-05,84.9000,
2010-06,85.4000,
2010-07,85.5500,
2010-08,85.6000,
2010-09,86.0000,
2010-10,85.7500,
2010-11,85.6000,
2010-12,85.7000,
2011-01,85.6000,
2011-02,85.5000,
2011-03,85.0500,
2011-04,84.6000,
2011-05,85.7000,
2011-06,85.8500,
2011-07,86.2500,
2011-08,87.0000,
2011-09,87.2000,
2011-10,86.4000,
2011-11,88.0000,
2011-12,89.6000,
2012-01,90.0000,
2012-02,90.6500,
2012-03,90.5000,
2012-04,90.6000,
2012-05,93.0000,
2012-06,94.0000,
2012-07,94.5000,
2012-08,94.2500,
2012-09,94.5000,
2012-10,95.6000,
2012-11,96.3000,
2012-12,96.9000,
2013-01,97.4000,
2013-02,97.9000,
2013-03,98.1000,
2013-04,98.1500,
2013-05,98.2500,
2013-06,98.6000,
2013-07,101.5000,
2013-08,104.0000,
2013-09,105.3000,
2013-10,106.4000,
2013-11,108.0000,
2013-12,105.0000,
2014-01,105.0000,
2014-02,104.7000,
2014-03,97.7000,
2014-04,98.0000,
2014-05,98.3000,
2014-06,98.5500,
2014-07,98.4000,
2014-08,101.3000,
2014-09,102.5000,
2014-10,102.8000,
2014-11,101.4000,
2014-12,100.4000,
2015-01,100.8000,
"","General: * Composite rates from August 1998 to April 1999.  On 22 July 1998, a multiple exchange rate system consisting of official exchange rates and floating interbank rates was introduced. The official exchange rate (buying/selling rate) was pegged to the US dollar at a rate of USD 1 = PKR 46.00 / 46.23. The floating interbank rates stood at USD 1 = PKR47.225 / 48.39 on 23 July 1998, and USD 1 = PKR 52.75 / 53.25 on 31 July 1998.   From August 1998, a composite rate was published on the basis of the weighted average of both these rates; the ratio of the official exchange rate to the floating interbank rate was initially 50:50. From 21 December 1998, it was 20:80 and from 11 March 1999, it was 5:95. On 19 May 1999, the multiple exchange rate system was unified on the basis of the floating interbank rate.   Exchange rates used from 22 July 1998: Official exchange rate: for revenue from financial transactions (excluding foreign direct investment and portfolio investment) and from certain assistance and loan payments; for payments for the import of wheat, edible oils, petroleum products, leguminous vegetables, fertilisers, medicines and pesticides as well as for certain debt service payments. Composite rate: for all other foreign exchange transactions.  According to IMF reports, most foreign exchange transactions that were initially subject to the official exchange rate were carried out at the composite rate by the end of 1998.",
"","Source: Since 2005 National Bank of Pakistan, Karachi December 2001 - December 2004 Deutsche Bank, Private Banking Centre Karachi September 2000 - November 2001 Standard Chartered Grindlays Bank Ltd., Karachi 19 May 1999 - August 2000 ANZ Grindlays Bank, Karachi August 1998 - 14 May 1999 State Bank of Pakistan, Karachi 1990 - July 1998 Grindlays Bank, Karachi",
"","Comment on 1998-08: On 22 July 1998, a multiple exchange rate system was introduced. See commentary (additional series attributes).",
"",Comment on 1999-05: The multiple exchange rate system was unified on 19 May 1999. See commentary (additional series attributes).,
