"",BBFN1.M.DE.N.1.A.W1.S1P.F0.S.N000.EUR.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.S.N000.EUR.BGA.X001.D_FLAGS
2006-12,93.019,
2007-01,97.885,
2007-02,97.298,
2007-03,99.943,
2007-04,103.225,
2007-05,103.037,
2007-06,100.748,
2007-07,102.599,
2007-08,98.218,
2007-09,100.074,
2007-10,98.644,
2007-11,94.462,
2007-12,95.077,
2008-01,91.347,
2008-02,94.508,
2008-03,97.130,
2008-04,100.746,
2008-05,102.769,
2008-06,108.021,
2008-07,109.969,
2008-08,106.959,
2008-09,105.011,
2008-10,106.383,
2008-11,107.886,
2008-12,108.136,
2009-01,106.699,
2009-02,103.977,
2009-03,108.304,
2009-04,108.566,
2009-05,110.989,
2009-06,111.147,
2009-07,109.842,
2009-08,108.953,
2009-09,108.553,
2009-10,110.701,
2009-11,111.151,
2009-12,113.024,
2010-01,112.289,
2010-02,113.853,
2010-03,116.267,
2010-04,114.411,
2010-05,119.187,
2010-06,122.640,
2010-07,127.209,
2010-08,128.630,
2010-09,129.013,
2010-10,129.164,
2010-11,129.626,
2010-12,127.217,
2011-01,127.984,
2011-02,129.141,
2011-03,139.273,
2011-04,139.857,
2011-05,145.484,
2011-06,138.517,
2011-07,144.398,
2011-08,147.538,
2011-09,152.654,
2011-10,147.789,
2011-11,141.942,
2011-12,137.684,
2012-01,146.463,
2012-02,138.968,
2012-03,142.453,
2012-04,135.336,
2012-05,136.463,
2012-06,138.866,
2012-07,137.603,
2012-08,136.740,
2012-09,133.037,
2012-10,132.815,
2012-11,132.993,
2012-12,135.554,
2013-01,132.766,
2013-02,131.342,
2013-03,139.334,
2013-04,141.939,
2013-05,142.519,
2013-06,146.083,
2013-07,138.571,
2013-08,138.627,
2013-09,143.019,
2013-10,137.152,
2013-11,137.229,
2013-12,138.378,
2014-01,139.855,
2014-02,142.450,
2014-03,143.574,
2014-04,148.237,
2014-05,146.839,
2014-06,146.527,
2014-07,149.096,
2014-08,155.275,
2014-09,152.287,
2014-10,151.468,
2014-11,146.133,
2014-12,151.428,
"","General: From January 1999, including national currencies of the euro-area member states.",
