"",BBK01.WU046A,BBK01.WU046A_FLAGS
1996-12,191.26,
1997-01,192.84,
1997-02,195.44,
1997-03,193.35,
1997-04,194.98,
1997-05,195.01,
1997-06,198.27,
1997-07,199.41,
1997-08,198.66,
1997-09,200.08,
1997-10,199.67,
1997-11,201.22,
1997-12,203.81,
1998-01,207.20,
1998-02,208.97,
1998-03,209.22,
1998-04,208.80,
1998-05,211.38,
1998-06,213.03,
1998-07,214.80,
1998-08,220.09,
1998-09,222.59,
1998-10,222.53,
1998-11,224.53,
1998-12,226.72,
1999-01,229.95,
1999-02,226.98,
1999-03,228.61,
1999-04,231.69,
1999-05,229.99,
1999-06,225.62,
1999-07,223.94,
1999-08,223.25,
1999-09,222.11,
1999-10,221.59,
1999-11,222.57,
1999-12,222.31,
2000-01,220.63,
2000-02,222.25,
2000-03,225.43,
2000-04,225.09,
2000-05,225.62,
2000-06,227.33,
2000-07,227.46,
2000-08,227.59,
2000-09,229.65,
2000-10,230.78,
2000-11,234.25,
2000-12,237.55,
2001-01,239.32,
2001-02,240.68,
2001-03,242.49,
2001-04,239.85,
2001-05,240.17,
2001-06,242.72,
2001-07,245.50,
2001-08,248.33,
2001-09,250.70,
2001-10,255.22,
2001-11,253.82,
2001-12,250.91,
2002-01,251.10,
2002-02,251.99,
2002-03,249.73,
2002-04,252.14,
2002-05,253.25,
2002-06,256.50,
2002-07,259.71,
2002-08,263.68,
2002-09,268.26,
2002-10,267.01,
2002-11,268.10,
2002-12,273.54,
2003-01,276.85,
2003-02,279.54,
2003-03,278.71,
2003-04,278.90,
2003-05,285.95,
2003-06,284.58,
2003-07,282.91,
2003-08,281.05,
2003-09,284.93,
2003-10,281.51,
2003-11,281.44,
2003-12,284.72,
2004-01,286.48,
2004-02,290.62,
2004-03,292.95,
2004-04,290.03,
2004-05,289.49,
2004-06,289.68,
2004-07,292.23,
2004-08,295.70,
2004-09,297.21,
2004-10,299.96,
2004-11,302.60,
2004-12,303.80,
2005-01,306.63,
2005-02,305.64,
2005-03,306.70,
2005-04,311.74,
2005-05,313.99,
2005-06,317.11,
2005-07,315.91,
2005-08,317.78,
2005-09,317.62,
2005-10,313.92,
2005-11,314.30,
2005-12,316.20,
2006-01,314.69,
2006-02,314.77,
2006-03,311.50,
2006-04,309.69,
2006-05,311.81,
2006-06,310.13,
2006-07,313.30,
2006-08,315.58,
2006-09,318.45,
2006-10,317.27,
2006-11,319.86,
2006-12,317.05,
2007-01,315.80,
2007-02,319.06,
2007-03,318.65,
2007-04,317.17,
2007-05,315.93,
2007-06,314.75,
2007-07,318.17,
2007-08,321.38,
2007-09,321.24,
2007-10,325.07,
2007-11,329.57,
2007-12,325.02,
2008-01,333.54,
2008-02,337.41,
2008-03,339.39,
2008-04,336.84,
2008-05,331.48,
2008-06,328.66,
2008-07,330.90,
2008-08,338.04,
2008-09,340.64,
2008-10,346.77,
2008-11,354.63,
2008-12,357.99,
2009-01,356.29,
2009-02,361.56,
2009-03,366.10,
2009-04,364.52,
2009-05,361.09,
2009-06,365.20,
2009-07,364.79,
2009-08,368.15,
2009-09,369.64,
2009-10,372.19,
2009-11,376.93,
2009-12,375.62,
2010-01,377.34,
2010-02,380.90,
2010-03,382.77,
2010-04,385.20,
2010-05,392.46,
2010-06,394.19,
2010-07,388.67,
2010-08,400.19,
2010-09,398.49,
2010-10,394.42,
2010-11,396.11,
2010-12,390.67,
2011-01,383.93,
2011-02,385.67,
2011-03,382.96,
2011-04,385.59,
2011-05,391.70,
2011-06,393.18,
2011-07,400.88,
2011-08,411.27,
2011-09,414.52,
2011-10,415.61,
2011-11,413.95,
2011-12,423.06,
2012-01,423.47,
2012-02,424.14,
2012-03,425.23,
2012-04,430.04,
2012-05,437.51,
2012-06,431.56,
2012-07,437.82,
2012-08,439.23,
2012-09,438.18,
2012-10,438.64,
2012-11,441.62,
2012-12,442.69,
2013-01,436.83,
2013-02,442.38,
2013-03,446.99,
2013-04,447.19,
2013-05,444.13,
2013-06,439.78,
2013-07,442.08,
2013-08,439.74,
2013-09,443.60,
2013-10,446.12,
2013-11,446.00,
2013-12,440.54,
2014-01,448.66,
2014-02,450.42,
2014-03,451.07,
2014-04,452.44,
2014-05,456.59,
2014-06,458.36,
2014-07,460.39,
2014-08,465.12,
2014-09,464.86,
2014-10,465.55,
2014-11,467.19,
2014-12,471.82,
2015-01,473.21,
