"",BBFN1.M.DE.N.1.A.NZ.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.NZ.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1990-01,0.011,
1990-02,0.013,
1990-03,0.013,
1990-04,0.010,
1990-05,0.022,
1990-06,0.014,
1990-07,0.014,
1990-08,0.014,
1990-09,0.015,
1990-10,0.015,
1990-11,0.016,
1990-12,0.016,
1991-01,0.024,
1991-02,0.018,
1991-03,0.021,
1991-04,0.024,
1991-05,0.024,
1991-06,0.018,
1991-07,0.027,
1991-08,0.026,
1991-09,0.043,
1991-10,0.021,
1991-11,0.021,
1991-12,0.015,
1992-01,0.012,
1992-02,0.013,
1992-03,0.014,
1992-04,0.023,
1992-05,0.027,
1992-06,0.044,
1992-07,0.082,
1992-08,0.078,
1992-09,0.061,
1992-10,0.018,
1992-11,0.019,
1992-12,0.020,
1993-01,0.019,
1993-02,0.018,
1993-03,0.019,
1993-04,0.017,
1993-05,0.019,
1993-06,0.018,
1993-07,0.027,
1993-08,0.032,
1993-09,0.025,
1993-10,0.020,
1993-11,0.021,
1993-12,0.020,
1994-01,0.024,
1994-02,0.022,
1994-03,0.021,
1994-04,0.020,
1994-05,0.024,
1994-06,0.054,
1994-07,0.083,
1994-08,0.080,
1994-09,0.067,
1994-10,0.063,
1994-11,0.072,
1994-12,0.028,
1995-01,0.027,
1995-02,0.027,
1995-03,0.035,
1995-04,0.034,
1995-05,0.029,
1995-06,0.030,
1995-07,0.032,
1995-08,0.034,
1995-09,0.035,
1995-10,0.037,
1995-11,0.038,
1995-12,0.034,
1996-01,0.039,
1996-02,0.044,
1996-03,0.058,
1996-04,0.059,
1996-05,0.074,
1996-06,0.068,
1996-07,0.054,
1996-08,0.065,
1996-09,0.074,
1996-10,0.090,
1996-11,0.083,
1996-12,0.067,
1997-01,0.093,
1997-02,0.080,
1997-03,0.080,
1997-04,0.089,
1997-05,0.112,
1997-06,0.106,
1997-07,0.105,
1997-08,0.118,
1997-09,0.122,
1997-10,0.110,
1997-11,0.109,
1997-12,0.111,
1998-01,0.115,
1998-02,0.121,
1998-03,0.120,
1998-04,0.116,
1998-05,0.121,
1998-06,0.114,
1998-07,0.116,
1998-08,0.116,
1998-09,0.112,
1998-10,0.112,
1998-11,0.104,
1998-12,0.094,
1999-01,0.091,
1999-02,0.098,
1999-03,0.097,
1999-04,0.098,
1999-05,0.093,
1999-06,0.117,
1999-07,0.114,
1999-08,0.107,
1999-09,0.106,
1999-10,0.109,
1999-11,0.108,
1999-12,0.114,
2000-01,0.115,
2000-02,0.081,
2000-03,0.087,
2000-04,0.094,
2000-05,0.175,
2000-06,0.088,
2000-07,0.104,
2000-08,0.098,
2000-09,0.094,
2000-10,0.075,
2000-11,0.071,
2000-12,0.076,
2001-01,0.069,
2001-02,0.069,
2001-03,0.071,
2001-04,0.121,
2001-05,0.069,
2001-06,0.098,
2001-07,0.097,
2001-08,0.061,
2001-09,0.058,
2001-10,0.057,
2001-11,0.048,
2001-12,0.053,
2002-01,0.045,
2002-02,0.042,
2002-03,0.047,
2002-04,0.043,
2002-05,0.045,
2002-06,0.048,
2002-07,0.042,
2002-08,0.090,
2002-09,0.047,
2002-10,0.075,
2002-11,0.083,
2002-12,0.079,
2003-01,0.071,
2003-02,0.076,
2003-03,0.074,
2003-04,0.074,
2003-05,0.068,
2003-06,0.074,
2003-07,0.079,
2003-08,0.089,
2003-09,0.084,
2003-10,0.087,
2003-11,0.116,
2003-12,0.114,
2004-01,0.108,
2004-02,0.104,
2004-03,0.123,
2004-04,0.126,
2004-05,0.093,
2004-06,0.095,
2004-07,0.143,
2004-08,0.146,
2004-09,0.120,
2004-10,0.067,
2004-11,0.070,
2004-12,0.107,
2005-01,0.058,
2005-02,0.081,
2005-03,0.069,
2005-04,0.090,
2005-05,0.087,
2005-06,0.095,
2005-07,0.076,
2005-08,0.070,
2005-09,0.088,
2005-10,0.137,
2005-11,0.084,
2005-12,0.084,
2006-01,0.078,
2006-02,0.077,
2006-03,0.066,
2006-04,0.069,
2006-05,0.074,
2006-06,0.081,
2006-07,0.079,
2006-08,0.083,
2006-09,0.072,
2006-10,0.077,
2006-11,0.077,
2006-12,0.084,
2007-01,0.055,
2007-02,0.057,
2007-03,0.056,
2007-04,0.050,
2007-05,0.121,
2007-06,0.132,
2007-07,0.118,
2007-08,0.124,
2007-09,0.128,
2007-10,0.147,
2007-11,0.210,
2007-12,0.210,
2008-01,0.273,
2008-02,0.262,
2008-03,0.277,
2008-04,0.216,
2008-05,0.275,
2008-06,0.230,
2008-07,0.172,
2008-08,0.111,
2008-09,0.115,
2008-10,0.061,
2008-11,0.108,
2008-12,0.075,
2009-01,0.069,
2009-02,0.076,
2009-03,0.074,
2009-04,0.063,
2009-05,0.073,
2009-06,0.098,
2009-07,0.128,
2009-08,0.158,
2009-09,0.164,
2009-10,0.163,
2009-11,0.146,
2009-12,0.124,
2010-01,0.133,
2010-02,0.132,
2010-03,0.140,
2010-04,0.141,
2010-05,0.154,
2010-06,0.161,
2010-07,0.161,
2010-08,0.139,
2010-09,0.155,
2010-10,0.181,
2010-11,0.200,
2010-12,0.190,
2011-01,0.190,
2011-02,0.205,
2011-03,0.206,
2011-04,0.211,
2011-05,0.208,
2011-06,0.208,
2011-07,0.202,
2011-08,0.198,
2011-09,0.193,
2011-10,0.191,
2011-11,0.194,
2011-12,0.193,
2012-01,0.186,
2012-02,0.144,
2012-03,0.152,
2012-04,0.158,
2012-05,0.159,
2012-06,0.206,
2012-07,0.137,
2012-08,0.127,
2012-09,0.129,
2012-10,0.134,
2012-11,0.154,
2012-12,0.177,
2013-01,0.180,
2013-02,0.195,
2013-03,0.166,
2013-04,0.176,
2013-05,0.212,
2013-06,0.216,
2013-07,0.195,
2013-08,0.210,
2013-09,0.248,
2013-10,0.252,
2013-11,0.267,
2013-12,0.248,
2014-01,0.221,
2014-02,0.190,
2014-03,0.162,
2014-04,0.161,
2014-05,0.156,
2014-06,0.155,
2014-07,0.173,
2014-08,0.225,
2014-09,0.222,
2014-10,0.254,
2014-11,0.226,
2014-12,0.205,
