"",BBDA1.M.DE.N.IM.S.A.JP.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.JP.A.V.ABA.A_FLAGS
1997-06,1552123,
1997-07,1568344,
1997-08,1469676,
1997-09,1691928,
1997-10,1828244,
1997-11,1728610,
1997-12,1669879,
1998-01,1724987,
1998-02,1637351,
1998-03,1954906,
1998-04,1940960,
1998-05,1512338,
1998-06,1971283,
1998-07,1662768,
1998-08,1549939,
1998-09,1693424,
1998-10,1818349,
1998-11,1867604,
1998-12,1653185,
1999-01,1597088,
1999-02,1599194,
1999-03,2027598,
1999-04,1976802,
1999-05,1690349,
1999-06,1720585,
1999-07,1769791,
1999-08,1572098,
1999-09,1882867,
1999-10,1907977,
1999-11,1989713,
1999-12,2044550,
2000-01,1910971,
2000-02,1981935,
2000-03,2643109,
2000-04,2176218,
2000-05,2445178,
2000-06,2234712,
2000-07,2123525,
2000-08,2131429,
2000-09,2141261,
2000-10,2443845,
2000-11,2336418,
2000-12,2278047,
2001-01,2192835,
2001-02,1917778,
2001-03,2231593,
2001-04,2192900,
2001-05,2066616,
2001-06,1901697,
2001-07,1779460,
2001-08,1699062,
2001-09,1668641,
2001-10,1849763,
2001-11,1924742,
2001-12,1485114,
2002-01,1468005,
2002-02,1520263,
2002-03,1654950,
2002-04,1808120,
2002-05,1544464,
2002-06,1804344,
2002-07,1690998,
2002-08,1659698,
2002-09,1606890,
2002-10,1874036,
2002-11,1724263,
2002-12,1540388,
2003-01,1733627,
2003-02,1562459,
2003-03,1728203,
2003-04,1679823,
2003-05,1601033,
2003-06,1783480,
2003-07,1572165,
2003-08,1386883,
2003-09,1603572,
2003-10,1752657,
2003-11,1688589,
2003-12,1591291,
2004-01,1656518,
2004-02,1704729,
2004-03,1948920,
2004-04,1908654,
2004-05,1799835,
2004-06,1779953,
2004-07,1804359,
2004-08,1644250,
2004-09,1783783,
2004-10,1740884,
2004-11,1961453,
2004-12,1850053,
2005-01,1702434,
2005-02,1510679,
2005-03,1728937,
2005-04,1873725,
2005-05,1694733,
2005-06,1861903,
2005-07,1729743,
2005-08,1723528,
2005-09,1764655,
2005-10,1753499,
2005-11,2121924,
2005-12,2306344,
2006-01,1809172,
2006-02,1941431,
2006-03,2230479,
2006-04,1971666,
2006-05,1939579,
2006-06,1956686,
2006-07,1954096,
2006-08,1892381,
2006-09,1995246,
2006-10,2094552,
2006-11,2101197,
2006-12,2129486,
2007-01,1997137,
2007-02,2081441,
2007-03,2343430,
2007-04,1803146,
2007-05,2121349,
2007-06,1940942,
2007-07,1763861,
2007-08,2070154,
2007-09,2081968,
2007-10,2163779,
2007-11,1972234,
2007-12,2041215,
2008-01,1936967,
2008-02,1984142,
2008-03,2120349,
2008-04,2051364,
2008-05,1753163,
2008-06,1881144,
2008-07,1805771,
2008-08,1817244,
2008-09,1992482,
2008-10,1950543,
2008-11,2081939,
2008-12,1754663,
2009-01,1650824,
2009-02,1653500,
2009-03,1726073,
2009-04,1477607,
2009-05,1409185,
2009-06,1506460,
2009-07,1479620,
2009-08,1427820,
2009-09,1686655,
2009-10,1650871,
2009-11,1719687,
2009-12,1557770,
2010-01,1613909,
2010-02,1504249,
2010-03,2260157,
2010-04,1757646,
2010-05,1835933,
2010-06,1989993,
2010-07,1846699,
2010-08,1810104,
2010-09,2045204,
2010-10,2017870,
2010-11,2099701,
2010-12,1693876,
2011-01,1984648,
2011-02,1758596,
2011-03,2235200,
2011-04,1954105,
2011-05,1907380,
2011-06,1857074,
2011-07,1941821,
2011-08,1967702,
2011-09,1973499,
2011-10,2076070,
2011-11,2074354,
2011-12,1864653,
2012-01,1878867,
2012-02,1826719,
2012-03,2010724,
2012-04,1749699,
2012-05,1935594,
2012-06,1807794,
2012-07,1835988,
2012-08,1741783,
2012-09,1890407,
2012-10,1862958,
2012-11,1924526,
2012-12,1445225,
2013-01,1719110,
2013-02,1510536,
2013-03,1735165,
2013-04,1698785,
2013-05,1504825,
2013-06,1610144,
2013-07,1648446,
2013-08,1535087,
2013-09,1722235,
2013-10,1676374,
2013-11,1707176,
2013-12,1423741,
2014-01,1629046,
2014-02,1492356,
2014-03,1718890,
2014-04,1613510,
2014-05,1553424,
2014-06,1553323,
2014-07,1720227,
2014-08,1471074,
2014-09,1726185,
2014-10,1724473,
2014-11,1451497,
2014-12,1402165,
