"",BBEX3.D.TND.USD.CA.AB.000,BBEX3.D.TND.USD.CA.AB.000_FLAGS
1979-03-07,.,No value available
1979-03-08,.,No value available
1979-03-09,.,No value available
1979-03-10,.,No value available
1979-03-11,.,No value available
1979-03-12,.,No value available
1979-03-13,.,No value available
1979-03-14,.,No value available
1979-03-15,0.4102,
1979-03-16,.,No value available
1979-03-17,.,No value available
1979-03-18,.,No value available
1979-03-19,.,No value available
1979-03-20,.,No value available
1979-03-21,.,No value available
1979-03-22,.,No value available
1979-03-23,.,No value available
1979-03-24,.,No value available
1979-03-25,.,No value available
1979-03-26,.,No value available
1979-03-27,.,No value available
1979-03-28,.,No value available
1979-03-29,.,No value available
1979-03-30,0.4108,
1979-03-31,.,No value available
1979-04-01,.,No value available
1979-04-02,.,No value available
1979-04-03,.,No value available
1979-04-04,.,No value available
1979-04-05,.,No value available
1979-04-06,.,No value available
1979-04-07,.,No value available
1979-04-08,.,No value available
1979-04-09,.,No value available
1979-04-10,.,No value available
1979-04-11,.,No value available
1979-04-12,.,No value available
1979-04-13,0.4133,
1979-04-14,.,No value available
1979-04-15,.,No value available
1979-04-16,.,No value available
1979-04-17,.,No value available
1979-04-18,.,No value available
1979-04-19,.,No value available
1979-04-20,.,No value available
1979-04-21,.,No value available
1979-04-22,.,No value available
1979-04-23,.,No value available
1979-04-24,.,No value available
1979-04-25,.,No value available
1979-04-26,.,No value available
1979-04-27,.,No value available
1979-04-28,.,No value available
1979-04-29,.,No value available
1979-04-30,0.4133,
1979-05-01,.,No value available
1979-05-02,.,No value available
1979-05-03,.,No value available
1979-05-04,.,No value available
1979-05-05,.,No value available
1979-05-06,.,No value available
1979-05-07,.,No value available
1979-05-08,.,No value available
1979-05-09,.,No value available
1979-05-10,.,No value available
1979-05-11,.,No value available
1979-05-12,.,No value available
1979-05-13,.,No value available
1979-05-14,.,No value available
1979-05-15,0.4144,
1979-05-16,.,No value available
1979-05-17,.,No value available
1979-05-18,.,No value available
1979-05-19,.,No value available
1979-05-20,.,No value available
1979-05-21,.,No value available
1979-05-22,.,No value available
1979-05-23,.,No value available
1979-05-24,.,No value available
1979-05-25,.,No value available
1979-05-26,.,No value available
1979-05-27,.,No value available
1979-05-28,.,No value available
1979-05-29,.,No value available
1979-05-30,.,No value available
1979-05-31,0.4166,
1979-06-01,.,No value available
1979-06-02,.,No value available
1979-06-03,.,No value available
1979-06-04,.,No value available
1979-06-05,.,No value available
1979-06-06,.,No value available
1979-06-07,.,No value available
1979-06-08,.,No value available
1979-06-09,.,No value available
1979-06-10,.,No value available
1979-06-11,.,No value available
1979-06-12,.,No value available
1979-06-13,.,No value available
1979-06-14,.,No value available
1979-06-15,0.4155,
1979-06-16,.,No value available
1979-06-17,.,No value available
1979-06-18,.,No value available
1979-06-19,.,No value available
1979-06-20,.,No value available
1979-06-21,.,No value available
1979-06-22,.,No value available
1979-06-23,.,No value available
1979-06-24,.,No value available
1979-06-25,.,No value available
1979-06-26,.,No value available
1979-06-27,.,No value available
1979-06-28,.,No value available
1979-06-29,0.4094,
1979-06-30,.,No value available
1979-07-01,.,No value available
1979-07-02,.,No value available
1979-07-03,.,No value available
1979-07-04,.,No value available
1979-07-05,.,No value available
1979-07-06,.,No value available
1979-07-07,.,No value available
1979-07-08,.,No value available
1979-07-09,.,No value available
1979-07-10,.,No value available
1979-07-11,.,No value available
1979-07-12,.,No value available
1979-07-13,.,No value available
1979-07-14,.,No value available
1979-07-15,.,No value available
1979-07-16,0.4088,
1979-07-17,.,No value available
1979-07-18,.,No value available
1979-07-19,.,No value available
1979-07-20,.,No value available
1979-07-21,.,No value available
1979-07-22,.,No value available
1979-07-23,.,No value available
1979-07-24,.,No value available
1979-07-25,.,No value available
1979-07-26,.,No value available
1979-07-27,.,No value available
1979-07-28,.,No value available
1979-07-29,.,No value available
1979-07-30,.,No value available
1979-07-31,0.4080,
1979-08-01,.,No value available
1979-08-02,.,No value available
1979-08-03,.,No value available
1979-08-04,.,No value available
1979-08-05,.,No value available
1979-08-06,.,No value available
1979-08-07,.,No value available
1979-08-08,.,No value available
1979-08-09,.,No value available
1979-08-10,.,No value available
1979-08-11,.,No value available
1979-08-12,.,No value available
1979-08-13,.,No value available
1979-08-14,.,No value available
1979-08-15,0.4087,
1979-08-16,.,No value available
1979-08-17,.,No value available
1979-08-18,.,No value available
1979-08-19,.,No value available
1979-08-20,.,No value available
1979-08-21,.,No value available
1979-08-22,.,No value available
1979-08-23,.,No value available
1979-08-24,.,No value available
1979-08-25,.,No value available
1979-08-26,.,No value available
1979-08-27,.,No value available
1979-08-28,.,No value available
1979-08-29,.,No value available
1979-08-30,.,No value available
1979-08-31,0.4081,
1979-09-01,.,No value available
1979-09-02,.,No value available
1979-09-03,.,No value available
1979-09-04,.,No value available
1979-09-05,.,No value available
1979-09-06,.,No value available
1979-09-07,.,No value available
1979-09-08,.,No value available
1979-09-09,.,No value available
1979-09-10,.,No value available
1979-09-11,.,No value available
1979-09-12,.,No value available
1979-09-13,.,No value available
1979-09-14,0.4071,
1979-09-15,.,No value available
1979-09-16,.,No value available
1979-09-17,.,No value available
1979-09-18,.,No value available
1979-09-19,.,No value available
1979-09-20,.,No value available
1979-09-21,.,No value available
1979-09-22,.,No value available
1979-09-23,.,No value available
1979-09-24,.,No value available
1979-09-25,.,No value available
1979-09-26,.,No value available
1979-09-27,.,No value available
1979-09-28,0.4008,
1979-09-29,.,No value available
1979-09-30,.,No value available
1979-10-01,.,No value available
1979-10-02,.,No value available
1979-10-03,.,No value available
1979-10-04,.,No value available
1979-10-05,.,No value available
1979-10-06,.,No value available
1979-10-07,.,No value available
1979-10-08,.,No value available
1979-10-09,.,No value available
1979-10-10,.,No value available
1979-10-11,.,No value available
1979-10-12,.,No value available
1979-10-13,.,No value available
1979-10-14,.,No value available
1979-10-15,.,No value available
1979-10-16,0.4063,
1979-10-17,.,No value available
1979-10-18,.,No value available
1979-10-19,.,No value available
1979-10-20,.,No value available
1979-10-21,.,No value available
1979-10-22,.,No value available
1979-10-23,.,No value available
1979-10-24,.,No value available
1979-10-25,.,No value available
1979-10-26,.,No value available
1979-10-27,.,No value available
1979-10-28,.,No value available
1979-10-29,.,No value available
1979-10-30,0.4073,
1979-10-31,.,No value available
1979-11-01,.,No value available
1979-11-02,.,No value available
1979-11-03,.,No value available
1979-11-04,.,No value available
1979-11-05,.,No value available
1979-11-06,.,No value available
1979-11-07,.,No value available
1979-11-08,.,No value available
1979-11-09,.,No value available
1979-11-10,.,No value available
1979-11-11,.,No value available
1979-11-12,.,No value available
1979-11-13,.,No value available
1979-11-14,.,No value available
1979-11-15,0.4047,
1979-11-16,.,No value available
1979-11-17,.,No value available
1979-11-18,.,No value available
1979-11-19,.,No value available
1979-11-20,.,No value available
1979-11-21,.,No value available
1979-11-22,.,No value available
1979-11-23,.,No value available
1979-11-24,.,No value available
1979-11-25,.,No value available
1979-11-26,.,No value available
1979-11-27,.,No value available
1979-11-28,.,No value available
1979-11-29,.,No value available
1979-11-30,0.4010,
1979-12-01,.,No value available
1979-12-02,.,No value available
1979-12-03,.,No value available
1979-12-04,.,No value available
1979-12-05,.,No value available
1979-12-06,.,No value available
1979-12-07,.,No value available
1979-12-08,.,No value available
1979-12-09,.,No value available
1979-12-10,.,No value available
1979-12-11,.,No value available
1979-12-12,.,No value available
1979-12-13,.,No value available
1979-12-14,0.4001,
1979-12-15,.,No value available
1979-12-16,.,No value available
1979-12-17,.,No value available
1979-12-18,.,No value available
1979-12-19,.,No value available
1979-12-20,.,No value available
1979-12-21,.,No value available
1979-12-22,.,No value available
1979-12-23,.,No value available
1979-12-24,.,No value available
1979-12-25,.,No value available
1979-12-26,.,No value available
1979-12-27,.,No value available
1979-12-28,.,No value available
1979-12-29,.,No value available
1979-12-30,.,No value available
1979-12-31,0.3978,
1980-01-01,.,No value available
1980-01-02,.,No value available
1980-01-03,.,No value available
1980-01-04,.,No value available
1980-01-05,.,No value available
1980-01-06,.,No value available
1980-01-07,.,No value available
1980-01-08,.,No value available
1980-01-09,.,No value available
1980-01-10,.,No value available
1980-01-11,.,No value available
1980-01-12,.,No value available
1980-01-13,.,No value available
1980-01-14,.,No value available
1980-01-15,0.3980,
1980-01-16,.,No value available
1980-01-17,.,No value available
1980-01-18,.,No value available
1980-01-19,.,No value available
1980-01-20,.,No value available
1980-01-21,.,No value available
1980-01-22,.,No value available
1980-01-23,.,No value available
1980-01-24,.,No value available
1980-01-25,.,No value available
1980-01-26,.,No value available
1980-01-27,.,No value available
1980-01-28,.,No value available
1980-01-29,.,No value available
1980-01-30,.,No value available
1980-01-31,0.3996,
1980-02-01,.,No value available
1980-02-02,.,No value available
1980-02-03,.,No value available
1980-02-04,.,No value available
1980-02-05,.,No value available
1980-02-06,.,No value available
1980-02-07,.,No value available
1980-02-08,.,No value available
1980-02-09,.,No value available
1980-02-10,.,No value available
1980-02-11,.,No value available
1980-02-12,.,No value available
1980-02-13,.,No value available
1980-02-14,.,No value available
1980-02-15,0.3994,
1980-02-16,.,No value available
1980-02-17,.,No value available
1980-02-18,.,No value available
1980-02-19,.,No value available
1980-02-20,.,No value available
1980-02-21,.,No value available
1980-02-22,.,No value available
1980-02-23,.,No value available
1980-02-24,.,No value available
1980-02-25,.,No value available
1980-02-26,.,No value available
1980-02-27,.,No value available
1980-02-28,.,No value available
1980-02-29,0.4024,
1980-03-01,.,No value available
1980-03-02,.,No value available
1980-03-03,.,No value available
1980-03-04,.,No value available
1980-03-05,.,No value available
1980-03-06,.,No value available
1980-03-07,.,No value available
1980-03-08,.,No value available
1980-03-09,.,No value available
1980-03-10,.,No value available
1980-03-11,.,No value available
1980-03-12,.,No value available
1980-03-13,.,No value available
