"",BBFB1.M.N.DE.W1.S1.S1.T.D.D4S___ES.D.FL.T._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.D4S___ES.D.FL.T._T._X.N_FLAGS
2004-11,847.380,
2004-12,839.071,
2005-01,1581.684,
2005-02,1560.415,
2005-03,1532.352,
2005-04,1568.057,
2005-05,1497.169,
2005-06,1552.985,
2005-07,1614.398,
2005-08,1597.792,
2005-09,1725.839,
2005-10,1596.492,
2005-11,1771.800,
2005-12,1757.294,
2006-01,1290.377,
2006-02,1303.264,
2006-03,1327.652,
2006-04,1359.881,
2006-05,1408.208,
2006-06,1464.648,
2006-07,1532.239,
2006-08,1630.485,
2006-09,1699.869,
2006-10,1793.361,
2006-11,1906.971,
2006-12,2044.454,
2007-01,3142.675,
2007-02,3110.806,
2007-03,3054.085,
2007-04,2918.842,
2007-05,2850.797,
2007-06,2690.850,
2007-07,2664.476,
2007-08,2302.314,
2007-09,2076.473,
2007-10,1813.785,
2007-11,1502.763,
2007-12,1135.776,
2008-01,717.966,
2008-02,374.329,
2008-03,205.924,
2008-04,-94.011,
2008-05,-227.190,
2008-06,-343.289,
2008-07,-330.068,
2008-08,-412.560,
2008-09,-362.185,
2008-10,-293.117,
2008-11,-139.011,
2008-12,269.905,
2009-01,-0.068,
2009-02,17.253,
2009-03,46.587,
2009-04,93.973,
2009-05,157.808,
2009-06,239.937,
2009-07,337.583,
2009-08,447.399,
2009-09,571.451,
2009-10,710.812,
2009-11,874.664,
2009-12,1063.760,
2010-01,1286.847,
2010-02,1470.634,
2010-03,1627.213,
2010-04,1791.703,
2010-05,1848.022,
2010-06,1969.465,
2010-07,1996.383,
2010-08,2040.356,
2010-09,2068.936,
2010-10,2070.536,
2010-11,2042.922,
2010-12,2442.156,
2011-01,1642.400,
2011-02,1611.291,
2011-03,1591.920,
2011-04,1581.630,
2011-05,1575.829,
2011-06,1584.526,
2011-07,1599.627,
2011-08,1619.596,
2011-09,1645.811,
2011-10,1683.025,
2011-11,1733.657,
2011-12,1793.820,
2012-01,1866.083,
2012-02,1926.026,
2012-03,1976.977,
2012-04,2003.464,
2012-05,2030.026,
2012-06,2046.335,
2012-07,2046.132,
2012-08,2046.183,
2012-09,2038.069,
2012-10,2016.260,
2012-11,1984.333,
2012-12,1958.435,
2013-01,1879.381,
2013-02,1823.482,
2013-03,1781.717,
2013-04,1746.513,
2013-05,1739.581,
2013-06,1701.267,
2013-07,1675.814,
2013-08,1660.345,
2013-09,1655.624,
2013-10,1650.080,
2013-11,1648.577,
2013-12,1657.234,
2014-01,1678.026,
2014-02,1688.695,Provisional value
2014-03,1747.894,Provisional value
2014-04,1702.961,Provisional value
2014-05,2008.938,Provisional value
2014-06,2024.407,Provisional value
2014-07,1728.604,Provisional value
2014-08,1780.079,Provisional value
2014-09,1791.923,
2014-10,1751.051,
2014-11,1762.810,
2014-12,1789.646,Provisional value
