"",BBDA1.M.DE.N.IM.S.A.IT.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.IT.A.V.ABA.A_FLAGS
2000-07,3075394,
2000-08,2693360,
2000-09,2783097,
2000-10,3318364,
2000-11,3104277,
2000-12,3242909,
2001-01,2890011,
2001-02,2953969,
2001-03,2883080,
2001-04,3067053,
2001-05,3160263,
2001-06,3122273,
2001-07,3141652,
2001-08,2516672,
2001-09,2569462,
2001-10,3357870,
2001-11,2993474,
2001-12,2624029,
2002-01,2556306,
2002-02,2704418,
2002-03,2732393,
2002-04,2914027,
2002-05,2603463,
2002-06,3105256,
2002-07,3035542,
2002-08,2380568,
2002-09,2671606,
2002-10,3000348,
2002-11,3009190,
2002-12,2768935,
2003-01,2641309,
2003-02,2651078,
2003-03,3156114,
2003-04,2830237,
2003-05,2870997,
2003-06,2944714,
2003-07,3110125,
2003-08,2377482,
2003-09,2853961,
2003-10,2919903,
2003-11,3149829,
2003-12,2752908,
2004-01,2627367,
2004-02,2794082,
2004-03,3085512,
2004-04,2819840,
2004-05,2947827,
2004-06,3058535,
2004-07,3301844,
2004-08,2571581,
2004-09,2962650,
2004-10,3155435,
2004-11,3334157,
2004-12,3017634,
2005-01,2723806,
2005-02,2800254,
2005-03,2915596,
2005-04,3166487,
2005-05,3197346,
2005-06,3081238,
2005-07,3092831,
2005-08,2697803,
2005-09,3043374,
2005-10,3192179,
2005-11,3335508,
2005-12,3102041,
2006-01,3098553,
2006-02,3192879,
2006-03,3443161,
2006-04,3287156,
2006-05,3448688,
2006-06,3518764,
2006-07,3634567,
2006-08,3035488,
2006-09,3486412,
2006-10,3963110,
2006-11,3874981,
2006-12,3485846,
2007-01,3477373,
2007-02,3551612,
2007-03,3923757,
2007-04,3773814,
2007-05,3779624,
2007-06,3995843,
2007-07,4011105,
2007-08,3238396,
2007-09,3597033,
2007-10,4049573,
2007-11,3853223,
2007-12,3442287,
2008-01,3772620,
2008-02,3748768,
2008-03,4134798,
2008-04,4166763,
2008-05,4023321,
2008-06,4143325,
2008-07,4443911,
2008-08,3225551,
2008-09,4233669,
2008-10,4193259,
2008-11,3575735,
2008-12,3180120,
2009-01,3047841,
2009-02,3144177,
2009-03,3526880,
2009-04,3209143,
2009-05,2989740,
2009-06,2921629,
2009-07,3333801,
2009-08,2450121,
2009-09,3099506,
2009-10,3317801,
2009-11,3236141,
2009-12,2920051,
2010-01,2752803,
2010-02,3142860,
2010-03,3714468,
2010-04,3440346,
2010-05,3802164,
2010-06,3629754,
2010-07,3881680,
2010-08,2968079,
2010-09,3584913,
2010-10,3831530,
2010-11,3725595,
2010-12,3503151,
2011-01,3394416,
2011-02,3960150,
2011-03,4388940,
2011-04,4133209,
2011-05,4216256,
2011-06,4231440,
2011-07,4264736,
2011-08,3418952,
2011-09,4023550,
2011-10,4088244,
2011-11,3959209,
2011-12,3764400,
2012-01,3663176,
2012-02,4136476,
2012-03,4480117,
2012-04,3958072,
2012-05,4310863,
2012-06,4235810,
2012-07,4466114,
2012-08,3335573,
2012-09,3764505,
2012-10,4274218,
2012-11,3965192,
2012-12,3367096,
2013-01,3681668,
2013-02,3864356,
2013-03,4069410,
2013-04,3877816,
2013-05,4093052,
2013-06,4047275,
2013-07,4398772,
2013-08,3206626,
2013-09,3877344,
2013-10,4329998,
2013-11,3887190,
2013-12,3596393,
2014-01,3895873,
2014-02,4240119,
2014-03,4197066,
2014-04,4109372,
2014-05,4057189,
2014-06,4160369,
2014-07,4518499,
2014-08,3282068,
2014-09,4078590,
2014-10,4368296,
2014-11,3959032,
2014-12,3620184,
