"",BBFB1.M.N.DE.W1.S1.S1.T.LD.FA.P.F3.L._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.LD.FA.P.F3.L._T._X.N_FLAGS
2005-01,144588.686,
2005-02,131783.300,
2005-03,149830.596,
2005-04,108723.575,
2005-05,111221.561,
2005-06,164072.478,
2005-07,102812.880,
2005-08,113799.166,
2005-09,124626.674,
2005-10,139627.566,
2005-11,119632.271,
2005-12,129233.743,
2006-01,125415.145,
2006-02,122270.936,
2006-03,144173.862,
2006-04,104861.108,
2006-05,118737.356,
2006-06,122128.865,
2006-07,83110.963,
2006-08,105418.168,
2006-09,143416.181,
2006-10,102627.340,
2006-11,99069.297,
2006-12,111627.001,
2007-01,116009.630,
2007-02,115126.246,
2007-03,139298.057,
2007-04,77012.369,
2007-05,84533.435,
2007-06,127314.022,
2007-07,117897.893,
2007-08,125912.074,
2007-09,129800.707,
2007-10,102021.338,
2007-11,99145.983,
2007-12,115552.402,
2008-01,120945.952,
2008-02,137502.058,
2008-03,133889.693,
2008-04,107977.039,
2008-05,76507.411,
2008-06,125961.818,
2008-07,99761.889,
2008-08,75350.268,
2008-09,127256.620,
2008-10,143170.468,
2008-11,86536.834,
2008-12,104718.773,
2009-01,100809.008,
2009-02,92772.508,
2009-03,125107.570,
2009-04,85626.708,
2009-05,71329.403,
2009-06,116499.746,
2009-07,105488.867,
2009-08,50480.963,
2009-09,105331.939,
2009-10,92821.544,
2009-11,70374.165,
2009-12,104967.216,
2010-01,95298.140,
2010-02,83352.033,
2010-03,125567.294,
2010-04,107537.363,
2010-05,101455.643,
2010-06,120122.321,
2010-07,101341.104,
2010-08,68204.542,
2010-09,106322.084,
2010-10,92115.422,
2010-11,78742.162,
2010-12,105795.741,
2011-01,99987.254,
2011-02,81839.382,
2011-03,114022.217,
2011-04,100742.332,
2011-05,87681.951,
2011-06,115357.349,
2011-07,111085.113,
2011-08,79058.474,
2011-09,103093.847,
2011-10,106377.797,
2011-11,75257.183,
2011-12,93177.070,
2012-01,115666.895,
2012-02,74010.084,
2012-03,125628.968,
2012-04,83392.541,
2012-05,87003.673,
2012-06,116993.600,
2012-07,106084.338,
2012-08,62164.161,
2012-09,101338.053,
2012-10,97312.656,
2012-11,67891.634,
2012-12,86831.790,
2013-01,119631.271,
2013-02,81435.560,
2013-03,117779.628,
2013-04,99160.428,
2013-05,76901.051,
2013-06,126424.990,
2013-07,105483.188,
2013-08,56047.319,
2013-09,82863.697,
2013-10,97037.584,
2013-11,64427.552,
2013-12,80483.209,
2014-01,102563.390,
2014-02,77773.916,Provisional value
2014-03,96999.593,Provisional value
2014-04,92658.221,Provisional value
2014-05,73444.202,Provisional value
2014-06,89922.411,Provisional value
2014-07,100848.448,Provisional value
2014-08,52407.036,Provisional value
2014-09,97429.456,
2014-10,91480.920,
2014-11,53690.522,
2014-12,83550.144,Provisional value
