"",BBEX3.M.XCD.USD.CA.AC.A01,BBEX3.M.XCD.USD.CA.AC.A01_FLAGS
2014-04,2.70255,
2014-05,2.70255,
2014-06,2.70255,
2014-07,2.70255,
2014-08,2.70255,
2014-09,2.70255,
2014-10,2.70255,
2014-11,2.70255,
2014-12,2.70255,
2015-01,2.70255,
"","General: * The Eastern Caribbean Currency Union consists of the independent states of Antigua and Barbuda, Dominica, Grenada, St Kitts and Nevis, St Lucia, St Vincent and the Grenadines, as well as the British Overseas Territories of Anguilla and Montserrat. Pegged to the US dollar.",
"",Source: Calculated on the basis of buying and selling rates of the Eastern Caribbean Central Bank.,
