"",BBFN1.M.DE.N.1.L.W1.S1P.F0.L.B000.EUR.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.F0.L.B000.EUR.BGA.X001.D_FLAGS
1993-07,9.956,
1993-08,10.010,
1993-09,9.920,
1993-10,9.677,
1993-11,9.940,
1993-12,10.415,
1994-01,10.570,
1994-02,10.701,
1994-03,10.808,
1994-04,10.810,
1994-05,10.970,
1994-06,10.716,
1994-07,11.115,
1994-08,11.722,
1994-09,11.541,
1994-10,10.855,
1994-11,10.858,
1994-12,11.487,
1995-01,9.155,
1995-02,9.003,
1995-03,8.997,
1995-04,8.995,
1995-05,8.967,
1995-06,8.552,
1995-07,8.593,
1995-08,8.510,
1995-09,8.609,
1995-10,8.825,
1995-11,9.031,
1995-12,8.402,
1996-01,8.247,
1996-02,8.214,
1996-03,8.055,
1996-04,8.211,
1996-05,8.404,
1996-06,8.282,
1996-07,8.179,
1996-08,8.377,
1996-09,8.442,
1996-10,8.404,
1996-11,8.437,
1996-12,8.612,
1997-01,9.023,
1997-02,8.956,
1997-03,8.968,
1997-04,9.031,
1997-05,8.698,
1997-06,8.617,
1997-07,8.841,
1997-08,9.038,
1997-09,8.803,
1997-10,8.814,
1997-11,9.008,
1997-12,9.038,
1998-01,8.978,
1998-02,8.797,
1998-03,8.800,
1998-04,8.954,
1998-05,9.073,
1998-06,10.469,
1998-07,10.815,
1998-08,10.700,
1998-09,10.660,
1998-10,10.690,
1998-11,9.941,
1998-12,9.958,
1999-01,10.928,
1999-02,10.876,
1999-03,10.594,
1999-04,10.904,
1999-05,10.824,
1999-06,9.981,
1999-07,11.967,
1999-08,11.956,
1999-09,12.285,
1999-10,12.418,
1999-11,12.200,
1999-12,12.622,
2000-01,13.040,
2000-02,11.799,
2000-03,11.756,
2000-04,11.566,
2000-05,11.793,
2000-06,11.372,
2000-07,11.960,
2000-08,11.887,
2000-09,13.128,
2000-10,13.543,
2000-11,14.228,
2000-12,14.017,
2001-01,14.292,
2001-02,17.889,
2001-03,18.755,
2001-04,21.343,
2001-05,21.761,
2001-06,21.474,
2001-07,22.577,
2001-08,23.901,
2001-09,24.489,
2001-10,24.903,
2001-11,26.086,
2001-12,25.974,
2002-01,26.924,
2002-02,26.973,
2002-03,26.546,
2002-04,26.836,
2002-05,26.877,
2002-06,26.921,
2002-07,28.583,
2002-08,29.013,
2002-09,28.910,
2002-10,30.370,
2002-11,30.821,
2002-12,28.925,
2003-01,29.386,
2003-02,30.215,
2003-03,23.600,
2003-04,24.207,
2003-05,25.212,
2003-06,26.540,
2003-07,26.988,
2003-08,28.205,
2003-09,28.094,
2003-10,28.482,
2003-11,28.505,
2003-12,28.076,
2004-01,28.597,
2004-02,29.750,
2004-03,30.220,
2004-04,30.023,
2004-05,30.083,
2004-06,30.612,
2004-07,30.172,
2004-08,29.834,
2004-09,29.788,
2004-10,28.568,
2004-11,28.848,
2004-12,29.992,
2005-01,29.623,
2005-02,32.043,
2005-03,32.277,
2005-04,31.931,
2005-05,32.904,
2005-06,34.285,
2005-07,35.066,
2005-08,35.746,
2005-09,38.836,
2005-10,40.007,
2005-11,39.002,
2005-12,39.842,
2006-01,40.479,
2006-02,42.122,
2006-03,41.601,
2006-04,42.675,
2006-05,44.607,
2006-06,49.851,
2006-07,51.122,
2006-08,53.359,
2006-09,53.773,
2006-10,54.397,
2006-11,56.555,
2006-12,57.067,
2007-01,57.601,
2007-02,57.368,
2007-03,57.929,
2007-04,59.360,
2007-05,59.828,
2007-06,60.401,
2007-07,60.360,
2007-08,64.078,
2007-09,65.720,
2007-10,67.269,
2007-11,67.590,
2007-12,72.229,
2008-01,73.769,
2008-02,81.461,
2008-03,85.031,
2008-04,86.801,
2008-05,87.426,
2008-06,88.332,
2008-07,88.236,
2008-08,88.927,
2008-09,88.717,
2008-10,88.932,
2008-11,89.857,
2008-12,96.783,
2009-01,99.025,
2009-02,100.992,
2009-03,96.367,
2009-04,97.502,
2009-05,99.116,
2009-06,99.243,
2009-07,99.520,
2009-08,104.281,
2009-09,103.827,
2009-10,101.325,
2009-11,101.952,
2009-12,102.451,
2010-01,100.758,
2010-02,99.991,
2010-03,100.299,
2010-04,100.596,
2010-05,101.069,
2010-06,100.905,
2010-07,103.844,
2010-08,102.169,
2010-09,101.295,
2010-10,100.128,
2010-11,100.052,
2010-12,103.808,
2011-01,102.147,
2011-02,99.674,
2011-03,98.984,
2011-04,95.031,
2011-05,94.759,
2011-06,92.253,
2011-07,92.861,
2011-08,92.504,
2011-09,90.822,
2011-10,90.429,
2011-11,90.584,
2011-12,90.451,
2012-01,90.174,
2012-02,88.569,
2012-03,87.887,
2012-04,88.646,
2012-05,85.492,
2012-06,84.658,
2012-07,84.301,
2012-08,84.018,
2012-09,81.477,
2012-10,82.281,
2012-11,82.499,
2012-12,80.414,
2013-01,79.951,
2013-02,79.321,
2013-03,80.825,
2013-04,80.460,
2013-05,79.261,
2013-06,76.823,
2013-07,75.399,
2013-08,73.454,
2013-09,75.186,
2013-10,72.223,
2013-11,71.446,
2013-12,67.066,
2014-01,66.018,
2014-02,64.912,
2014-03,63.208,
2014-04,64.245,
2014-05,64.151,
2014-06,64.443,
2014-07,64.799,
2014-08,64.891,
2014-09,65.158,
2014-10,65.179,
2014-11,65.842,
2014-12,65.659,
"","General: From January 1999, including national currencies of the euro-area member states.",
