"",BBDA1.M.DE.N.EX.S.A.DK.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.DK.A.V.ABA.A_FLAGS
1999-04,761683,
1999-05,704907,
1999-06,774017,
1999-07,679997,
1999-08,729168,
1999-09,730441,
1999-10,742599,
1999-11,820200,
1999-12,683961,
2000-01,715017,
2000-02,744698,
2000-03,816955,
2000-04,770467,
2000-05,767599,
2000-06,819831,
2000-07,710913,
2000-08,742490,
2000-09,828574,
2000-10,940611,
2000-11,951228,
2000-12,796665,
2001-01,839482,
2001-02,843526,
2001-03,887882,
2001-04,871624,
2001-05,814716,
2001-06,887869,
2001-07,867639,
2001-08,941674,
2001-09,853429,
2001-10,914766,
2001-11,997162,
2001-12,765219,
2002-01,869905,
2002-02,852815,
2002-03,910462,
2002-04,901925,
2002-05,850389,
2002-06,1024858,
2002-07,874235,
2002-08,889899,
2002-09,1026532,
2002-10,1056321,
2002-11,1124064,
2002-12,905766,
2003-01,849274,
2003-02,940623,
2003-03,1157823,
2003-04,925880,
2003-05,885223,
2003-06,854672,
2003-07,846802,
2003-08,967653,
2003-09,1020545,
2003-10,989574,
2003-11,922151,
2003-12,911361,
2004-01,862053,
2004-02,880316,
2004-03,964081,
2004-04,896756,
2004-05,895118,
2004-06,941317,
2004-07,907969,
2004-08,965966,
2004-09,978078,
2004-10,1111350,
2004-11,1053405,
2004-12,901557,
2005-01,930631,
2005-02,939459,
2005-03,980221,
2005-04,984371,
2005-05,1018482,
2005-06,1048659,
2005-07,965642,
2005-08,1066147,
2005-09,1104874,
2005-10,1159060,
2005-11,1193255,
2005-12,1092454,
2006-01,1104799,
2006-02,1052199,
2006-03,1290322,
2006-04,1114839,
2006-05,1177581,
2006-06,1260674,
2006-07,1096982,
2006-08,1176569,
2006-09,1268476,
2006-10,1316465,
2006-11,1344592,
2006-12,1152117,
2007-01,1208857,
2007-02,1237299,
2007-03,1308255,
2007-04,1252000,
2007-05,1258156,
2007-06,1331770,
2007-07,1234569,
2007-08,1283332,
2007-09,1286248,
2007-10,1441491,
2007-11,1444204,
2007-12,1145630,
2008-01,1322817,
2008-02,1322640,
2008-03,1324766,
2008-04,1396810,
2008-05,1394149,
2008-06,1396671,
2008-07,1350696,
2008-08,1346681,
2008-09,1377015,
2008-10,1469010,
2008-11,1228633,
2008-12,1077014,
2009-01,1203507,
2009-02,1042768,
2009-03,1148117,
2009-04,1049669,
2009-05,982118,
2009-06,1068722,
2009-07,1005964,
2009-08,979829,
2009-09,1145027,
2009-10,1108177,
2009-11,1051879,
2009-12,1022893,
2010-01,1008904,
2010-02,1023999,
2010-03,1230453,
2010-04,1077367,
2010-05,1105036,
2010-06,1155011,
2010-07,1061689,
2010-08,1126666,
2010-09,1239446,
2010-10,1217209,
2010-11,1241461,
2010-12,1566355,
2011-01,1138576,
2011-02,1166781,
2011-03,1403146,
2011-04,1122281,
2011-05,1240757,
2011-06,1229947,
2011-07,1179258,
2011-08,1236804,
2011-09,1346898,
2011-10,1246081,
2011-11,1278959,
2011-12,1179827,
2012-01,1108586,
2012-02,1266035,
2012-03,1319864,
2012-04,1143332,
2012-05,1309901,
2012-06,1286905,
2012-07,1180889,
2012-08,1238780,
2012-09,1261180,
2012-10,1366917,
2012-11,1288181,
2012-12,1123360,
2013-01,1252131,
2013-02,1231339,
2013-03,1269446,
2013-04,1310440,
2013-05,1326704,
2013-06,1400024,
2013-07,1295236,
2013-08,1347925,
2013-09,1416943,
2013-10,1450894,
2013-11,1398380,
2013-12,1144229,
2014-01,1328236,
2014-02,1340855,
2014-03,1367120,
2014-04,1390749,
2014-05,1364264,
2014-06,1344623,
2014-07,1332810,
2014-08,1352563,
2014-09,1525634,
2014-10,1689804,
2014-11,1480437,
2014-12,1358918,
