"",BBDE1.M.DE.Y.FG10.A2P200000.F.M.I10.A,BBDE1.M.DE.Y.FG10.A2P200000.F.M.I10.A_FLAGS
2008-11,98.7,
2008-12,99.8,
2009-01,96.8,
2009-02,95.7,
2009-03,93.6,
2009-04,93.1,
2009-05,94.0,
2009-06,94.1,
2009-07,94.5,
2009-08,95.3,
2009-09,97.8,
2009-10,96.9,
2009-11,96.3,
2009-12,97.5,
2010-01,98.0,
2010-02,98.7,
2010-03,99.3,
2010-04,97.4,
2010-05,97.6,
2010-06,101.3,
2010-07,98.9,
2010-08,100.2,
2010-09,101.3,
2010-10,101.2,
2010-11,102.1,
2010-12,103.8,
2011-01,103.8,
2011-02,104.0,
2011-03,104.9,
2011-04,105.0,
2011-05,104.1,
2011-06,104.0,
2011-07,103.5,
2011-08,104.1,
2011-09,104.3,
2011-10,103.9,
2011-11,105.9,
2011-12,105.1,
2012-01,105.0,
2012-02,105.9,
2012-03,106.5,
2012-04,106.8,
2012-05,107.8,
2012-06,107.7,
2012-07,105.9,
2012-08,107.1,
2012-09,106.9,
2012-10,107.7,
2012-11,109.0,
2012-12,106.6,
2013-01,108.5,
2013-02,108.8,
2013-03,107.8,
2013-04,110.0,
2013-05,112.2,
2013-06,108.0,
2013-07,110.5,
2013-08,110.6,
2013-09,110.5,
2013-10,110.9,
2013-11,111.6,
2013-12,110.2,
2014-01,112.0,
2014-02,112.2,
2014-03,111.7,
2014-04,112.5,
2014-05,114.1,
2014-06,113.0,
2014-07,113.8,
2014-08,112.4,
2014-09,113.7,
2014-10,113.5,
2014-11,113.0,
2014-12,113.8,
