"",BBEX3.D.NOK.EUR.BB.AC.000,BBEX3.D.NOK.EUR.BB.AC.000_FLAGS
1999-03-16,8.5515,
1999-03-17,8.5400,
1999-03-18,8.4790,
1999-03-19,8.4515,
1999-03-20,.,No value available
1999-03-21,.,No value available
1999-03-22,8.4445,
1999-03-23,8.4435,
1999-03-24,8.4480,
1999-03-25,8.4635,
1999-03-26,8.3760,
1999-03-27,.,No value available
1999-03-28,.,No value available
1999-03-29,8.3635,
1999-03-30,8.3585,
1999-03-31,8.3475,
1999-04-01,8.3425,
1999-04-02,8.3460,
1999-04-03,.,No value available
1999-04-04,.,No value available
1999-04-05,8.3505,
1999-04-06,8.3345,
1999-04-07,8.3685,
1999-04-08,8.4105,
1999-04-09,8.4120,
1999-04-10,.,No value available
1999-04-11,.,No value available
1999-04-12,8.4048,
1999-04-13,8.3645,
1999-04-14,8.3410,
1999-04-15,8.3450,
1999-04-16,8.2875,
1999-04-17,.,No value available
1999-04-18,.,No value available
1999-04-19,8.2685,
1999-04-20,8.2755,
1999-04-21,8.2560,
1999-04-22,8.2645,
1999-04-23,8.2765,
1999-04-24,.,No value available
1999-04-25,.,No value available
1999-04-26,8.2668,
1999-04-27,8.2765,
1999-04-28,8.2960,
1999-04-29,8.2695,
1999-04-30,8.2515,
1999-05-01,.,No value available
1999-05-02,.,No value available
1999-05-03,8.2445,
1999-05-04,8.2385,
1999-05-05,8.2565,
1999-05-06,8.2685,
1999-05-07,8.2585,
1999-05-08,.,No value available
1999-05-09,.,No value available
1999-05-10,8.2110,
1999-05-11,8.2215,
1999-05-12,8.1982,
1999-05-13,8.2190,
1999-05-14,8.1825,
1999-05-15,.,No value available
1999-05-16,.,No value available
1999-05-17,8.2007,
1999-05-18,8.2115,
1999-05-19,8.2643,
1999-05-20,8.2600,
1999-05-21,8.2255,
1999-05-22,.,No value available
1999-05-23,.,No value available
1999-05-24,8.2435,
1999-05-25,8.2565,
1999-05-26,8.2380,
1999-05-27,8.2505,
1999-05-28,8.2445,
1999-05-29,.,No value available
1999-05-30,.,No value available
1999-05-31,8.2375,
1999-06-01,8.2355,
1999-06-02,8.2415,
1999-06-03,8.2410,
1999-06-04,8.2275,
1999-06-05,.,No value available
1999-06-06,.,No value available
1999-06-07,8.1950,
1999-06-08,8.1925,
1999-06-09,8.2120,
1999-06-10,8.2000,
1999-06-11,8.1965,
1999-06-12,.,No value available
1999-06-13,.,No value available
1999-06-14,8.1805,
1999-06-15,8.1890,
1999-06-16,8.1685,
1999-06-17,8.1510,
1999-06-18,8.1370,
1999-06-19,.,No value available
1999-06-20,.,No value available
1999-06-21,8.1040,
1999-06-22,8.0895,
1999-06-23,8.1060,
1999-06-24,8.1100,
1999-06-25,8.1530,
1999-06-26,.,No value available
1999-06-27,.,No value available
1999-06-28,8.1315,
1999-06-29,8.1210,
1999-06-30,8.1045,
1999-07-01,8.0855,
1999-07-02,8.0810,
1999-07-03,.,No value available
1999-07-04,.,No value available
1999-07-05,8.0700,
1999-07-06,8.0645,
1999-07-07,8.0865,
1999-07-08,8.0950,
1999-07-09,8.1145,
1999-07-10,.,No value available
1999-07-11,.,No value available
1999-07-12,8.1075,
1999-07-13,8.1155,
1999-07-14,8.1420,
1999-07-15,8.1685,
1999-07-16,8.1270,
1999-07-17,.,No value available
1999-07-18,.,No value available
1999-07-19,8.0985,
1999-07-20,8.1500,
1999-07-21,8.2630,
1999-07-22,8.2710,
1999-07-23,8.2390,
1999-07-24,.,No value available
1999-07-25,.,No value available
1999-07-26,8.3410,
1999-07-27,8.3275,
1999-07-28,8.3475,
1999-07-29,8.3537,
1999-07-30,8.3345,
1999-07-31,.,No value available
1999-08-01,.,No value available
1999-08-02,8.2780,
1999-08-03,8.2500,
1999-08-04,8.3030,
1999-08-05,8.3095,
1999-08-06,8.3125,
1999-08-07,.,No value available
1999-08-08,.,No value available
1999-08-09,8.2635,
1999-08-10,8.2745,
1999-08-11,8.2385,
1999-08-12,8.2265,
1999-08-13,8.2595,
1999-08-14,.,No value available
1999-08-15,.,No value available
1999-08-16,8.2205,
1999-08-17,8.1990,
1999-08-18,8.2075,
1999-08-19,8.2045,
1999-08-20,8.2470,
1999-08-21,.,No value available
1999-08-22,.,No value available
1999-08-23,8.2515,
1999-08-24,8.2375,
1999-08-25,8.2435,
1999-08-26,8.3245,
1999-08-27,8.2945,
1999-08-28,.,No value available
1999-08-29,.,No value available
1999-08-30,8.2995,
1999-08-31,8.2795,
1999-09-01,8.2775,
1999-09-02,8.3210,
1999-09-03,8.3395,
1999-09-04,.,No value available
1999-09-05,.,No value available
1999-09-06,8.2850,
1999-09-07,8.2725,
1999-09-08,8.2245,
1999-09-09,8.2220,
1999-09-10,8.2240,
1999-09-11,.,No value available
1999-09-12,.,No value available
1999-09-13,8.1715,
1999-09-14,8.1810,
1999-09-15,8.2290,
1999-09-16,8.2155,
1999-09-17,8.2135,
1999-09-18,.,No value available
1999-09-19,.,No value available
1999-09-20,8.1830,
1999-09-21,8.1795,
1999-09-22,8.2220,
1999-09-23,8.1810,
1999-09-24,8.1915,
1999-09-25,.,No value available
1999-09-26,.,No value available
1999-09-27,8.1945,
1999-09-28,8.1730,
1999-09-29,8.2110,
1999-09-30,8.2810,
1999-10-01,8.2470,
1999-10-02,.,No value available
1999-10-03,.,No value available
1999-10-04,8.2380,
1999-10-05,8.2325,
1999-10-06,8.2650,
1999-10-07,8.2745,
1999-10-08,8.3175,
1999-10-09,.,No value available
1999-10-10,.,No value available
1999-10-11,8.2905,
1999-10-12,8.3005,
1999-10-13,8.3190,
1999-10-14,8.3070,
1999-10-15,8.3425,
1999-10-16,.,No value available
1999-10-17,.,No value available
1999-10-18,8.3680,
1999-10-19,8.3565,
1999-10-20,8.3145,
1999-10-21,8.3290,
1999-10-22,8.2830,
1999-10-23,.,No value available
1999-10-24,.,No value available
1999-10-25,8.2725,
1999-10-26,8.2645,
1999-10-27,8.2395,
1999-10-28,8.2500,
1999-10-29,8.2460,
1999-10-30,.,No value available
1999-10-31,.,No value available
1999-11-01,8.2545,
1999-11-02,8.2635,
1999-11-03,8.2560,
1999-11-04,8.2590,
1999-11-05,8.2355,
1999-11-06,.,No value available
1999-11-07,.,No value available
1999-11-08,8.2280,
1999-11-09,8.2015,
1999-11-10,8.1825,
1999-11-11,8.1925,
1999-11-12,8.1905,
1999-11-13,.,No value available
1999-11-14,.,No value available
1999-11-15,8.1665,
1999-11-16,8.1925,
1999-11-17,8.2105,
1999-11-18,8.1855,
1999-11-19,8.1795,
1999-11-20,.,No value available
1999-11-21,.,No value available
1999-11-22,8.1735,
1999-11-23,8.1700,
1999-11-24,8.1675,
1999-11-25,8.1430,
1999-11-26,8.1055,
1999-11-27,.,No value available
1999-11-28,.,No value available
1999-11-29,8.1125,
1999-11-30,8.1245,
1999-12-01,8.1365,
1999-12-02,8.1320,
1999-12-03,8.1050,
1999-12-04,.,No value available
1999-12-05,.,No value available
1999-12-06,8.1310,
1999-12-07,8.1135,
1999-12-08,8.1150,
1999-12-09,8.1065,
1999-12-10,8.1065,
1999-12-11,.,No value available
1999-12-12,.,No value available
1999-12-13,8.0950,
1999-12-14,8.0910,
1999-12-15,8.1050,
1999-12-16,8.1155,
1999-12-17,8.0905,
1999-12-18,.,No value available
1999-12-19,.,No value available
1999-12-20,8.0690,
1999-12-21,8.0810,
1999-12-22,8.0435,
1999-12-23,8.0605,
1999-12-24,8.1100,
1999-12-25,.,No value available
1999-12-26,.,No value available
1999-12-27,8.1070,
1999-12-28,8.0880,
1999-12-29,8.0710,
1999-12-30,8.0765,
1999-12-31,.,No value available
2000-01-01,.,No value available
2000-01-02,.,No value available
2000-01-03,8.0620,
2000-01-04,8.1500,
2000-01-05,8.2060,
2000-01-06,8.2030,
2000-01-07,8.1945,
2000-01-08,.,No value available
2000-01-09,.,No value available
2000-01-10,8.1900,
2000-01-11,8.2075,
2000-01-12,8.2160,
2000-01-13,8.1795,
2000-01-14,8.1365,
2000-01-15,.,No value available
2000-01-16,.,No value available
2000-01-17,8.0965,
2000-01-18,8.1065,
2000-01-19,8.0755,
2000-01-20,8.0865,
2000-01-21,8.0770,
2000-01-22,.,No value available
2000-01-23,.,No value available
2000-01-24,8.0455,
2000-01-25,8.0415,
2000-01-26,8.0690,
2000-01-27,8.0815,
2000-01-28,8.0440,
2000-01-29,.,No value available
2000-01-30,.,No value available
2000-01-31,8.0825,
2000-02-01,8.0730,
2000-02-02,8.0175,
2000-02-03,8.0475,
2000-02-04,8.0830,
2000-02-05,.,No value available
2000-02-06,.,No value available
2000-02-07,8.0590,
2000-02-08,8.0720,
2000-02-09,8.0825,
2000-02-10,8.0695,
2000-02-11,8.0395,
2000-02-12,.,No value available
2000-02-13,.,No value available
2000-02-14,8.0795,
2000-02-15,8.0685,
2000-02-16,8.1125,
2000-02-17,8.1565,
2000-02-18,8.1455,
2000-02-19,.,No value available
2000-02-20,.,No value available
2000-02-21,8.1700,
2000-02-22,8.1915,
2000-02-23,8.1955,
2000-02-24,8.1475,
2000-02-25,8.1275,
2000-02-26,.,No value available
2000-02-27,.,No value available
2000-02-28,8.0625,
2000-02-29,8.0805,
2000-03-01,8.0825,
2000-03-02,8.0700,
2000-03-03,8.0840,
2000-03-04,.,No value available
2000-03-05,.,No value available
2000-03-06,8.0765,
2000-03-07,8.0840,
2000-03-08,8.0850,
2000-03-09,8.1175,
2000-03-10,8.0995,
2000-03-11,.,No value available
2000-03-12,.,No value available
2000-03-13,8.1205,
2000-03-14,8.1210,
2000-03-15,8.1400,
2000-03-16,8.1585,
2000-03-17,8.1540,
2000-03-18,.,No value available
2000-03-19,.,No value available
2000-03-20,8.1705,
2000-03-21,8.1660,
2000-03-22,8.1475,
2000-03-23,8.1060,
2000-03-24,8.1300,
2000-03-25,.,No value available
2000-03-26,.,No value available
2000-03-27,8.1270,
2000-03-28,8.0810,
2000-03-29,8.0625,
2000-03-30,8.0815,
2000-03-31,8.0885,
2000-04-01,.,No value available
2000-04-02,.,No value available
2000-04-03,8.1090,
2000-04-04,8.1145,
2000-04-05,8.1570,
2000-04-06,8.1330,
2000-04-07,8.1270,
2000-04-08,.,No value available
2000-04-09,.,No value available
2000-04-10,8.1465,
2000-04-11,8.1765,
2000-04-12,8.1585,
2000-04-13,8.1480,
2000-04-14,8.1490,
2000-04-15,.,No value available
2000-04-16,.,No value available
2000-04-17,8.2075,
2000-04-18,8.1775,
2000-04-19,8.1733,
2000-04-20,8.1655,
2000-04-21,.,No value available
2000-04-22,.,No value available
2000-04-23,.,No value available
2000-04-24,.,No value available
2000-04-25,8.1630,
2000-04-26,8.1535,
2000-04-27,8.1750,
2000-04-28,8.1475,
2000-04-29,.,No value available
2000-04-30,.,No value available
2000-05-01,.,No value available
2000-05-02,8.1385,
2000-05-03,8.0600,
2000-05-04,8.1055,
2000-05-05,8.1250,
2000-05-06,.,No value available
2000-05-07,.,No value available
2000-05-08,8.1375,
2000-05-09,8.1495,
2000-05-10,8.1935,
2000-05-11,8.2240,
2000-05-12,8.1715,
2000-05-13,.,No value available
2000-05-14,.,No value available
2000-05-15,8.1990,
2000-05-16,8.1750,
2000-05-17,8.1540,
2000-05-18,8.1565,
2000-05-19,8.1505,
2000-05-20,.,No value available
2000-05-21,.,No value available
2000-05-22,8.2155,
2000-05-23,8.2665,
2000-05-24,8.2745,
2000-05-25,8.2490,
2000-05-26,8.2860,
2000-05-27,.,No value available
2000-05-28,.,No value available
2000-05-29,8.3075,
2000-05-30,8.3425,
2000-05-31,8.3050,
2000-06-01,8.3210,
2000-06-02,8.3120,
2000-06-03,.,No value available
2000-06-04,.,No value available
2000-06-05,8.2870,
2000-06-06,8.2790,
2000-06-07,8.2715,
2000-06-08,8.3095,
2000-06-09,8.3245,
2000-06-10,.,No value available
2000-06-11,.,No value available
2000-06-12,8.3050,
2000-06-13,8.2840,
2000-06-14,8.2485,
2000-06-15,8.2240,
2000-06-16,8.2485,
2000-06-17,.,No value available
2000-06-18,.,No value available
2000-06-19,8.2670,
2000-06-20,8.2265,
2000-06-21,8.2230,
2000-06-22,8.2135,
2000-06-23,8.2025,
2000-06-24,.,No value available
2000-06-25,.,No value available
2000-06-26,8.1790,
2000-06-27,8.2125,
2000-06-28,8.1750,
2000-06-29,8.1785,
2000-06-30,8.1850,
2000-07-01,.,No value available
2000-07-02,.,No value available
2000-07-03,8.1690,
2000-07-04,8.1800,
2000-07-05,8.1870,
2000-07-06,8.1800,
2000-07-07,8.1730,
2000-07-08,.,No value available
2000-07-09,.,No value available
2000-07-10,8.1655,
2000-07-11,8.1755,
2000-07-12,8.1515,
2000-07-13,8.1475,
2000-07-14,8.1515,
2000-07-15,.,No value available
2000-07-16,.,No value available
2000-07-17,8.1660,
2000-07-18,8.1895,
2000-07-19,8.1735,
2000-07-20,8.1890,
2000-07-21,8.1835,
2000-07-22,.,No value available
2000-07-23,.,No value available
2000-07-24,8.1915,
2000-07-25,8.1680,
2000-07-26,8.1825,
2000-07-27,8.1950,
2000-07-28,8.1835,
2000-07-29,.,No value available
2000-07-30,.,No value available
2000-07-31,8.1990,
2000-08-01,8.1985,
2000-08-02,8.1800,
2000-08-03,8.1585,
2000-08-04,8.1215,
2000-08-05,.,No value available
2000-08-06,.,No value available
2000-08-07,8.0945,
2000-08-08,8.1165,
2000-08-09,8.0670,
2000-08-10,8.0870,
2000-08-11,8.1195,
2000-08-12,.,No value available
2000-08-13,.,No value available
2000-08-14,8.0700,
2000-08-15,8.1140,
2000-08-16,8.0990,
2000-08-17,8.0900,
2000-08-18,8.0610,
2000-08-19,.,No value available
2000-08-20,.,No value available
2000-08-21,8.0435,
2000-08-22,8.0435,
2000-08-23,8.0525,
2000-08-24,8.1015,
2000-08-25,8.0955,
2000-08-26,.,No value available
2000-08-27,.,No value available
2000-08-28,8.0745,
2000-08-29,8.0715,
2000-08-30,8.0715,
2000-08-31,8.0745,
2000-09-01,8.0725,
2000-09-02,.,No value available
2000-09-03,.,No value available
2000-09-04,8.0815,
2000-09-05,8.0740,
2000-09-06,8.0515,
2000-09-07,8.0155,
2000-09-08,8.0385,
2000-09-09,.,No value available
2000-09-10,.,No value available
2000-09-11,8.0240,
2000-09-12,7.9800,
2000-09-13,8.0435,
2000-09-14,8.0405,
2000-09-15,8.0180,
2000-09-16,.,No value available
2000-09-17,.,No value available
2000-09-18,7.9910,
2000-09-19,8.0055,
2000-09-20,7.9665,
2000-09-21,7.9920,
2000-09-22,8.0345,
2000-09-23,.,No value available
2000-09-24,.,No value available
2000-09-25,8.0270,
2000-09-26,8.0215,
2000-09-27,8.0440,
2000-09-28,8.0125,
2000-09-29,8.0255,
2000-09-30,.,No value available
2000-10-01,.,No value available
2000-10-02,8.0430,
2000-10-03,8.0345,
2000-10-04,8.0350,
2000-10-05,8.0480,
2000-10-06,8.0355,
2000-10-07,.,No value available
2000-10-08,.,No value available
2000-10-09,8.0450,
2000-10-10,8.0575,
2000-10-11,8.0730,
2000-10-12,8.0540,
2000-10-13,8.0470,
2000-10-14,.,No value available
2000-10-15,.,No value available
2000-10-16,8.0090,
2000-10-17,8.0375,
2000-10-18,8.0465,
2000-10-19,8.0070,
2000-10-20,8.0040,
2000-10-21,.,No value available
2000-10-22,.,No value available
2000-10-23,7.9415,
2000-10-24,7.9465,
2000-10-25,7.9460,
2000-10-26,7.9270,
2000-10-27,7.9265,
2000-10-28,.,No value available
2000-10-29,.,No value available
2000-10-30,7.9330,
2000-10-31,7.8735,
2000-11-01,7.8765,
2000-11-02,7.9395,
2000-11-03,7.9770,
2000-11-04,.,No value available
2000-11-05,.,No value available
2000-11-06,7.9770,
2000-11-07,7.9785,
2000-11-08,7.9635,
2000-11-09,7.9390,
2000-11-10,8.0000,
2000-11-11,.,No value available
2000-11-12,.,No value available
2000-11-13,7.9890,
2000-11-14,8.0225,
2000-11-15,8.0365,
2000-11-16,8.0135,
2000-11-17,8.0035,
2000-11-18,.,No value available
2000-11-19,.,No value available
2000-11-20,7.9865,
2000-11-21,8.0345,
2000-11-22,8.0085,
2000-11-23,8.0090,
2000-11-24,8.0220,
2000-11-25,.,No value available
2000-11-26,.,No value available
2000-11-27,8.0150,
2000-11-28,8.0190,
2000-11-29,8.0280,
2000-11-30,8.0525,
2000-12-01,8.0815,
2000-12-02,.,No value available
2000-12-03,.,No value available
2000-12-04,8.1075,
2000-12-05,8.1035,
2000-12-06,8.0655,
2000-12-07,8.1150,
2000-12-08,8.1120,
2000-12-09,.,No value available
2000-12-10,.,No value available
2000-12-11,8.0905,
2000-12-12,8.0720,
2000-12-13,8.1085,
2000-12-14,8.1115,
2000-12-15,8.1400,
2000-12-16,.,No value available
2000-12-17,.,No value available
2000-12-18,8.0800,
2000-12-19,8.1085,
2000-12-20,8.1365,
2000-12-21,8.1770,
2000-12-22,8.1915,
2000-12-23,.,No value available
2000-12-24,.,No value available
2000-12-25,.,No value available
2000-12-26,.,No value available
2000-12-27,8.2485,
2000-12-28,8.2525,
2000-12-29,8.2335,
2000-12-30,.,No value available
2000-12-31,.,No value available
2001-01-01,.,No value available
2001-01-02,8.3065,
2001-01-03,8.3145,
2001-01-04,8.2710,
2001-01-05,8.2910,
2001-01-06,.,No value available
2001-01-07,.,No value available
2001-01-08,8.2980,
2001-01-09,8.2495,
2001-01-10,8.2050,
2001-01-11,8.2000,
2001-01-12,8.1850,
2001-01-13,.,No value available
2001-01-14,.,No value available
2001-01-15,8.2110,
2001-01-16,8.2080,
2001-01-17,8.2230,
2001-01-18,8.2270,
2001-01-19,8.2270,
2001-01-20,.,No value available
2001-01-21,.,No value available
2001-01-22,8.2110,
2001-01-23,8.2755,
2001-01-24,8.2560,
2001-01-25,8.2260,
2001-01-26,8.2100,
2001-01-27,.,No value available
2001-01-28,.,No value available
2001-01-29,8.1950,
2001-01-30,8.1865,
2001-01-31,8.2050,
2001-02-01,8.2130,
2001-02-02,8.2050,
2001-02-03,.,No value available
2001-02-04,.,No value available
2001-02-05,8.2040,
2001-02-06,8.1750,
2001-02-07,8.1875,
2001-02-08,8.1715,
2001-02-09,8.1855,
2001-02-10,.,No value available
2001-02-11,.,No value available
2001-02-12,8.2020,
2001-02-13,8.2165,
2001-02-14,8.2190,
2001-02-15,8.2075,
2001-02-16,8.1950,
2001-02-17,.,No value available
2001-02-18,.,No value available
2001-02-19,8.2060,
2001-02-20,8.2195,
2001-02-21,8.2425,
2001-02-22,8.2600,
2001-02-23,8.2455,
2001-02-24,.,No value available
2001-02-25,.,No value available
2001-02-26,8.2230,
2001-02-27,8.2285,
2001-02-28,8.2440,
2001-03-01,8.2320,
2001-03-02,8.2195,
2001-03-03,.,No value available
2001-03-04,.,No value available
2001-03-05,8.2260,
2001-03-06,8.2315,
2001-03-07,8.2155,
2001-03-08,8.2210,
2001-03-09,8.2070,
2001-03-10,.,No value available
2001-03-11,.,No value available
2001-03-12,8.2220,
2001-03-13,8.2345,
2001-03-14,8.2130,
2001-03-15,8.1835,
2001-03-16,8.1695,
2001-03-17,.,No value available
2001-03-18,.,No value available
2001-03-19,8.1230,
2001-03-20,8.1265,
2001-03-21,8.1235,
2001-03-22,8.1165,
2001-03-23,8.0855,
2001-03-24,.,No value available
2001-03-25,.,No value available
2001-03-26,8.0830,
2001-03-27,8.0850,
2001-03-28,8.0810,
2001-03-29,8.0650,
2001-03-30,8.0570,
2001-03-31,.,No value available
2001-04-01,.,No value available
2001-04-02,8.0580,
2001-04-03,8.0975,
2001-04-04,8.1815,
2001-04-05,8.1670,
2001-04-06,8.1285,
2001-04-07,.,No value available
2001-04-08,.,No value available
2001-04-09,8.1410,
2001-04-10,8.1045,
2001-04-11,8.0665,
2001-04-12,8.0725,
2001-04-13,.,No value available
2001-04-14,.,No value available
2001-04-15,.,No value available
2001-04-16,.,No value available
2001-04-17,8.0480,
2001-04-18,8.0590,
2001-04-19,8.0605,
2001-04-20,8.1230,
2001-04-21,.,No value available
2001-04-22,.,No value available
2001-04-23,8.1465,
2001-04-24,8.1470,
2001-04-25,8.1625,
2001-04-26,8.1665,
2001-04-27,8.1550,
2001-04-28,.,No value available
2001-04-29,.,No value available
2001-04-30,8.0925,
2001-05-01,.,No value available
2001-05-02,8.1030,
2001-05-03,8.0990,
2001-05-04,8.0925,
2001-05-05,.,No value available
2001-05-06,.,No value available
2001-05-07,8.0790,
2001-05-08,8.0540,
2001-05-09,8.0400,
2001-05-10,8.0710,
2001-05-11,8.0185,
2001-05-12,.,No value available
2001-05-13,.,No value available
2001-05-14,7.9900,
2001-05-15,8.0190,
2001-05-16,8.0335,
2001-05-17,8.0030,
2001-05-18,7.9605,
2001-05-19,.,No value available
2001-05-20,.,No value available
2001-05-21,7.9310,
2001-05-22,7.9315,
2001-05-23,7.9440,
2001-05-24,7.9325,
2001-05-25,7.9010,
2001-05-26,.,No value available
2001-05-27,.,No value available
2001-05-28,7.9115,
2001-05-29,7.8865,
2001-05-30,7.9080,
2001-05-31,7.9300,
2001-06-01,7.9820,
2001-06-02,.,No value available
2001-06-03,.,No value available
2001-06-04,7.9800,
2001-06-05,7.9690,
2001-06-06,7.9675,
2001-06-07,7.9555,
2001-06-08,7.9510,
2001-06-09,.,No value available
2001-06-10,.,No value available
2001-06-11,7.9535,
2001-06-12,7.9835,
2001-06-13,7.9950,
2001-06-14,7.9545,
2001-06-15,7.9980,
2001-06-16,.,No value available
2001-06-17,.,No value available
2001-06-18,7.9225,
2001-06-19,7.9000,
2001-06-20,7.8565,
2001-06-21,7.8940,
2001-06-22,7.8600,
2001-06-23,.,No value available
2001-06-24,.,No value available
2001-06-25,7.9285,
2001-06-26,7.9360,
2001-06-27,7.8990,
2001-06-28,7.8840,
2001-06-29,7.8865,
2001-06-30,.,No value available
2001-07-01,.,No value available
2001-07-02,7.9345,
2001-07-03,7.9505,
2001-07-04,7.9240,
2001-07-05,7.9115,
2001-07-06,7.9280,
2001-07-07,.,No value available
2001-07-08,.,No value available
2001-07-09,7.9180,
2001-07-10,7.9455,
2001-07-11,7.9825,
2001-07-12,7.9640,
2001-07-13,7.9565,
2001-07-14,.,No value available
2001-07-15,.,No value available
2001-07-16,7.9775,
2001-07-17,7.9805,
2001-07-18,8.0075,
2001-07-19,8.0110,
2001-07-20,8.0170,
2001-07-21,.,No value available
2001-07-22,.,No value available
2001-07-23,7.9865,
2001-07-24,8.0020,
2001-07-25,8.0130,
2001-07-26,8.0125,
2001-07-27,7.9840,
2001-07-28,.,No value available
2001-07-29,.,No value available
2001-07-30,7.9800,
2001-07-31,7.9850,
2001-08-01,8.0120,
2001-08-02,7.9960,
2001-08-03,7.9685,
2001-08-04,.,No value available
2001-08-05,.,No value available
2001-08-06,7.9775,
2001-08-07,7.9690,
2001-08-08,7.9580,
2001-08-09,7.9850,
2001-08-10,8.0150,
2001-08-11,.,No value available
2001-08-12,.,No value available
2001-08-13,8.0625,
2001-08-14,8.0680,
2001-08-15,8.1235,
2001-08-16,8.1035,
2001-08-17,8.1325,
2001-08-18,.,No value available
2001-08-19,.,No value available
2001-08-20,8.1135,
2001-08-21,8.1215,
2001-08-22,8.1105,
2001-08-23,8.1120,
2001-08-24,8.1060,
2001-08-25,.,No value available
2001-08-26,.,No value available
2001-08-27,8.0830,
2001-08-28,8.0680,
2001-08-29,8.0680,
2001-08-30,8.0485,
2001-08-31,8.0675,
2001-09-01,.,No value available
2001-09-02,.,No value available
2001-09-03,8.0305,
2001-09-04,7.9630,
2001-09-05,7.9305,
2001-09-06,7.9490,
2001-09-07,7.9775,
2001-09-08,.,No value available
2001-09-09,.,No value available
2001-09-10,8.0025,
2001-09-11,7.9470,
2001-09-12,7.9870,
2001-09-13,7.9990,
2001-09-14,8.0280,
2001-09-15,.,No value available
2001-09-16,.,No value available
2001-09-17,8.0655,
2001-09-18,7.9935,
2001-09-19,7.9670,
2001-09-20,7.9315,
2001-09-21,7.9290,
2001-09-22,.,No value available
2001-09-23,.,No value available
2001-09-24,7.9790,
2001-09-25,8.0450,
2001-09-26,8.0510,
2001-09-27,8.0850,
2001-09-28,8.1100,
2001-09-29,.,No value available
2001-09-30,.,No value available
2001-10-01,8.0855,
2001-10-02,8.0890,
2001-10-03,8.0835,
2001-10-04,8.0605,
2001-10-05,8.0700,
2001-10-06,.,No value available
2001-10-07,.,No value available
2001-10-08,8.0600,
2001-10-09,8.0235,
2001-10-10,7.9960,
2001-10-11,7.9720,
2001-10-12,7.9555,
2001-10-13,.,No value available
2001-10-14,.,No value available
2001-10-15,7.9735,
2001-10-16,7.9705,
2001-10-17,7.9495,
2001-10-18,7.9575,
2001-10-19,7.9690,
2001-10-20,.,No value available
2001-10-21,.,No value available
2001-10-22,7.9800,
2001-10-23,7.9490,
2001-10-24,7.9450,
2001-10-25,7.9490,
2001-10-26,7.9525,
2001-10-27,.,No value available
2001-10-28,.,No value available
2001-10-29,7.9680,
2001-10-30,7.9745,
2001-10-31,7.9985,
2001-11-01,7.9850,
2001-11-02,7.9690,
2001-11-03,.,No value available
2001-11-04,.,No value available
2001-11-05,7.9515,
2001-11-06,7.9265,
2001-11-07,7.9585,
2001-11-08,7.8920,
2001-11-09,7.8935,
2001-11-10,.,No value available
2001-11-11,.,No value available
2001-11-12,7.8970,
2001-11-13,7.8840,
2001-11-14,7.8440,
2001-11-15,7.9000,
2001-11-16,7.9200,
2001-11-17,.,No value available
2001-11-18,.,No value available
2001-11-19,7.9220,
2001-11-20,7.9125,
2001-11-21,7.8940,
2001-11-22,7.8830,
2001-11-23,7.9290,
2001-11-24,.,No value available
2001-11-25,.,No value available
2001-11-26,7.9495,
