"",BBDA1.M.DE.N.EX.S.A.NO.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.NO.A.V.ABA.A_FLAGS
2007-04,588098,
2007-05,621783,
2007-06,633329,
2007-07,680073,
2007-08,634291,
2007-09,643270,
2007-10,701192,
2007-11,718897,
2007-12,559596,
2008-01,631971,
2008-02,649436,
2008-03,623037,
2008-04,678566,
2008-05,643616,
2008-06,703332,
2008-07,787261,
2008-08,554826,
2008-09,666301,
2008-10,708872,
2008-11,539222,
2008-12,458127,
2009-01,450761,
2009-02,557210,
2009-03,520206,
2009-04,464949,
2009-05,466058,
2009-06,518501,
2009-07,505045,
2009-08,541443,
2009-09,549544,
2009-10,523060,
2009-11,652038,
2009-12,478682,
2010-01,485240,
2010-02,514993,
2010-03,602409,
2010-04,786957,
2010-05,565109,
2010-06,642827,
2010-07,544980,
2010-08,549369,
2010-09,646146,
2010-10,628895,
2010-11,846061,
2010-12,552785,
2011-01,599425,
2011-02,574755,
2011-03,679389,
2011-04,578632,
2011-05,665601,
2011-06,608410,
2011-07,651312,
2011-08,648645,
2011-09,737312,
2011-10,720292,
2011-11,812836,
2011-12,579896,
2012-01,616031,
2012-02,676295,
2012-03,752876,
2012-04,709741,
2012-05,809730,
2012-06,736651,
2012-07,688132,
2012-08,729340,
2012-09,722005,
2012-10,804583,
2012-11,737204,
2012-12,533162,
2013-01,679350,
2013-02,665046,
2013-03,721701,
2013-04,776096,
2013-05,687660,
2013-06,694040,
2013-07,645435,
2013-08,678284,
2013-09,684126,
2013-10,762890,
2013-11,675688,
2013-12,531969,
2014-01,607904,
2014-02,635349,
2014-03,706323,
2014-04,641425,
2014-05,669147,
2014-06,922831,
2014-07,689244,
2014-08,630101,
2014-09,775554,
2014-10,780175,
2014-11,708518,
2014-12,730836,
