"",BBFB1.M.N.DE.W1.S1.S1.T.AI.FA.P.F3.L._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.AI.FA.P.F3.L._T._X.N_FLAGS
2013-06,149913.343,
2013-07,151954.979,
2013-08,111414.304,
2013-09,149813.815,
2013-10,167179.738,
2013-11,153075.228,
2013-12,119452.426,
2014-01,186282.204,
2014-02,173705.565,Provisional value
2014-03,204357.257,Provisional value
2014-04,182672.891,Provisional value
2014-05,193328.599,Provisional value
2014-06,168076.056,Provisional value
2014-07,153249.252,Provisional value
2014-08,101173.262,Provisional value
2014-09,176263.218,
2014-10,153148.001,
2014-11,140142.857,
2014-12,100554.403,Provisional value
