"",BBDE1.M.DE.Y.BAA1.A2P340000.G.C.I10.A,BBDE1.M.DE.Y.BAA1.A2P340000.G.C.I10.A_FLAGS
2001-03,93.9,
2001-04,93.4,
2001-05,94.6,
2001-06,94.5,
2001-07,93.8,
2001-08,96.1,
2001-09,92.9,
2001-10,93.7,
2001-11,92.2,
2001-12,92.7,
2002-01,93.2,
2002-02,93.9,
2002-03,93.9,
2002-04,92.9,
2002-05,93.7,
2002-06,93.1,
2002-07,92.4,
2002-08,93.7,
2002-09,93.2,
2002-10,93.4,
2002-11,94.0,
2002-12,92.3,
2003-01,92.9,
2003-02,92.3,
2003-03,92.4,
2003-04,94.4,
2003-05,91.6,
2003-06,93.3,
2003-07,94.4,
2003-08,92.8,
2003-09,90.9,
2003-10,93.5,
2003-11,91.8,
2003-12,94.1,
2004-01,93.1,
2004-02,93.1,
2004-03,92.1,
2004-04,93.4,
2004-05,92.0,
2004-06,93.5,
2004-07,93.9,
2004-08,92.8,
2004-09,92.6,
2004-10,92.9,
2004-11,93.7,
2004-12,94.1,
2005-01,94.4,
2005-02,95.3,
2005-03,95.9,
2005-04,95.1,
2005-05,96.1,
2005-06,96.3,
2005-07,98.3,
2005-08,97.0,
2005-09,97.6,
2005-10,100.0,
2005-11,98.1,
2005-12,96.1,
2006-01,97.4,
2006-02,97.3,
2006-03,96.6,
2006-04,98.6,
2006-05,99.0,
2006-06,98.7,
2006-07,99.3,
2006-08,99.2,
2006-09,98.4,
2006-10,99.3,
2006-11,100.6,
2006-12,100.5,
2007-01,100.4,
2007-02,101.4,
2007-03,102.6,
2007-04,103.7,
2007-05,104.6,
2007-06,100.3,
2007-07,101.7,
2007-08,104.6,
2007-09,105.0,
2007-10,103.1,
2007-11,102.2,
2007-12,103.4,
2008-01,104.5,
2008-02,103.0,
2008-03,102.8,
2008-04,100.4,
2008-05,100.3,
2008-06,100.6,
2008-07,100.6,
2008-08,102.1,
2008-09,100.8,
2008-10,101.4,
2008-11,98.6,
2008-12,101.5,
2009-01,100.5,
2009-02,98.2,
2009-03,96.2,
2009-04,97.8,
2009-05,97.5,
2009-06,96.5,
2009-07,96.1,
2009-08,96.6,
2009-09,98.9,
2009-10,96.8,
2009-11,97.8,
2009-12,99.7,
2010-01,100.0,
2010-02,97.3,
2010-03,99.3,
2010-04,98.4,
2010-05,98.7,
2010-06,99.0,
2010-07,99.8,
2010-08,100.4,
2010-09,101.4,
2010-10,100.3,
2010-11,101.1,
2010-12,98.5,
2011-01,100.6,
2011-02,102.3,
2011-03,102.3,
2011-04,102.9,
2011-05,102.3,
2011-06,102.5,
2011-07,102.8,
2011-08,99.6,
2011-09,100.5,
2011-10,99.9,
2011-11,100.1,
2011-12,99.7,
2012-01,98.0,
2012-02,98.4,
2012-03,101.6,
2012-04,96.9,
2012-05,99.7,
2012-06,100.0,
2012-07,99.3,
2012-08,100.4,
2012-09,100.7,
2012-10,101.1,
2012-11,98.9,
2012-12,101.8,
2013-01,100.5,
2013-02,99.0,
2013-03,99.9,
2013-04,99.8,
2013-05,100.7,
2013-06,99.8,
2013-07,100.1,
2013-08,100.9,
2013-09,100.3,
2013-10,101.1,
2013-11,102.2,
2013-12,103.4,
2014-01,103.1,
2014-02,102.6,
2014-03,102.9,
2014-04,104.6,
2014-05,100.6,
2014-06,102.4,
2014-07,102.3,
2014-08,103.1,
2014-09,101.3,
2014-10,102.5,Provisional value
2014-11,102.7,Provisional value
2014-12,103.1,Provisional value
