"",BBEE1.M.DE.AAA.U20000.R.AACPB.M00,BBEE1.M.DE.AAA.U20000.R.AACPB.M00_FLAGS
1985-06,96.7,
1985-07,96.9,
1985-08,97.7,
1985-09,97.7,
1985-10,97.8,
1985-11,97.7,
1985-12,98.2,
1986-01,98.0,
1986-02,98.0,
1986-03,97.7,
1986-04,98.3,
1986-05,98.2,
1986-06,98.0,
1986-07,98.3,
1986-08,98.8,
1986-09,99.0,
1986-10,98.9,
1986-11,98.7,
1986-12,98.7,
1987-01,99.9,
1987-02,99.8,
1987-03,99.5,
1987-04,99.5,
1987-05,99.5,
1987-06,99.3,
1987-07,99.1,
1987-08,98.9,
1987-09,98.4,
1987-10,98.1,
1987-11,99.3,
1987-12,99.3,
1988-01,99.0,
1988-02,98.9,
1988-03,98.7,
1988-04,98.6,
1988-05,98.5,
1988-06,98.1,
1988-07,97.9,
1988-08,97.7,
1988-09,98.0,
1988-10,97.9,
1988-11,97.8,
1988-12,97.5,
1989-01,97.1,
1989-02,97.0,
1989-03,96.7,
1989-04,96.5,
1989-05,96.2,
1989-06,96.2,
1989-07,95.9,
1989-08,95.3,
1989-09,95.3,
1989-10,96.2,
1989-11,96.0,
1989-12,96.6,
1990-01,96.5,
1990-02,95.9,
1990-03,95.4,
1990-04,94.8,
1990-05,94.6,
1990-06,94.3,
1990-07,93.9,
1990-08,94.0,
1990-09,94.2,
1990-10,94.5,
1990-11,94.5,
1990-12,94.9,
1991-01,94.5,
1991-02,94.5,
1991-03,94.1,
1991-04,93.7,
1991-05,93.7,
1991-06,93.8,
1991-07,94.9,
1991-08,94.7,
1991-09,94.8,
1991-10,94.7,
1991-11,95.2,
1991-12,95.5,
1992-01,95.1,
1992-02,94.9,
1992-03,94.9,
1992-04,95.0,
1992-05,94.5,
1992-06,94.8,
1992-07,95.3,
1992-08,95.7,
1992-09,97.4,
1992-10,99.8,
1992-11,99.3,
1992-12,100.2,
1993-01,101.0,
1993-02,102.0,
1993-03,102.7,
1993-04,102.5,
1993-05,101.7,
1993-06,101.6,
1993-07,102.7,
1993-08,104.8,
1993-09,105.4,
1993-10,105.8,
1993-11,105.0,
1993-12,104.5,
1994-01,103.8,
1994-02,103.6,
1994-03,104.3,
1994-04,103.6,
1994-05,103.8,
1994-06,104.0,
1994-07,104.5,
1994-08,105.0,
1994-09,104.7,
1994-10,104.6,
1994-11,104.9,
1994-12,105.4,
1995-01,105.7,
1995-02,106.3,
1995-03,109.7,
1995-04,110.0,
1995-05,108.4,
1995-06,108.0,
1995-07,107.3,
1995-08,105.6,
1995-09,105.6,
1995-10,106.6,
1995-11,105.8,
1995-12,105.4,
1996-01,104.3,
1996-02,104.2,
1996-03,103.7,
1996-04,102.9,
1996-05,102.1,
1996-06,102.0,
1996-07,102.0,
1996-08,102.7,
1996-09,102.2,
1996-10,101.6,
1996-11,101.5,
1996-12,101.1,
1997-01,101.0,
1997-02,101.3,
1997-03,101.6,
1997-04,101.3,
1997-05,101.5,
1997-06,101.4,
1997-07,100.9,
1997-08,101.1,
1997-09,101.0,
1997-10,101.0,
1997-11,100.8,
1997-12,100.8,
1998-01,100.9,
1998-02,100.8,
1998-03,100.5,
1998-04,100.7,
1998-05,100.9,
1998-06,100.7,
1998-07,100.8,
1998-08,100.7,
1998-09,100.7,
1998-10,100.7,
1998-11,100.6,
1998-12,100.4,
1999-01,100.2,
1999-02,99.9,
1999-03,100.0,
1999-04,100.4,
1999-05,100.1,
1999-06,100.2,
1999-07,100.3,
1999-08,100.1,
1999-09,100.1,
1999-10,100.1,
1999-11,100.0,
1999-12,99.8,
2000-01,99.9,
2000-02,99.6,
2000-03,99.4,
2000-04,99.3,
2000-05,99.0,
2000-06,99.0,
2000-07,98.9,
2000-08,98.7,
2000-09,98.7,
2000-10,98.6,
2000-11,98.5,
2000-12,98.5,
2001-01,98.4,
2001-02,98.6,
2001-03,98.5,
2001-04,98.4,
2001-05,98.5,
2001-06,98.3,
2001-07,98.0,
2001-08,98.1,
2001-09,97.9,
2001-10,97.6,
2001-11,97.6,
2001-12,97.5,
2002-01,97.6,
2002-02,97.7,
2002-03,97.7,
2002-04,97.4,
2002-05,97.2,
2002-06,97.0,
2002-07,96.9,
2002-08,96.7,
2002-09,96.6,
2002-10,96.4,
2002-11,96.2,
2002-12,96.1,
2003-01,96.3,
2003-02,96.3,
2003-03,96.3,
2003-04,96.0,
2003-05,95.9,
2003-06,95.9,
2003-07,95.7,
2003-08,95.6,
2003-09,95.5,
2003-10,95.5,
2003-11,95.3,
2003-12,95.2,
2004-01,95.6,
2004-02,95.4,
2004-03,95.6,
2004-04,95.8,
2004-05,95.6,
2004-06,95.5,
2004-07,95.5,
2004-08,95.6,
2004-09,95.3,
2004-10,95.3,
2004-11,95.0,
2004-12,95.4,
2005-01,95.3,
2005-02,95.3,
2005-03,95.2,
2005-04,95.2,
2005-05,95.1,
2005-06,95.2,
2005-07,95.2,
2005-08,95.1,
2005-09,95.3,
2005-10,95.4,
2005-11,95.3,
2005-12,95.4,
2006-01,95.2,
2006-02,95.2,
2006-03,95.1,
2006-04,94.9,
2006-05,95.0,
2006-06,95.0,
2006-07,94.9,
2006-08,94.7,
2006-09,94.5,
2006-10,94.9,
2006-11,95.0,
2006-12,94.9,
2007-01,95.3,
2007-02,95.3,
2007-03,95.2,
2007-04,95.3,
2007-05,95.2,
2007-06,95.1,
2007-07,95.2,
2007-08,95.1,
2007-09,95.3,
2007-10,95.2,
2007-11,95.5,
2007-12,95.1,
2008-01,95.0,
2008-02,95.0,
2008-03,94.8,
2008-04,94.7,
2008-05,94.6,
2008-06,94.5,
2008-07,94.5,
2008-08,94.4,
2008-09,94.5,
2008-10,94.5,
2008-11,94.7,
2008-12,94.6,
2009-01,94.6,
2009-02,94.6,
2009-03,94.5,
2009-04,94.4,
2009-05,94.3,
2009-06,94.6,
2009-07,94.6,
2009-08,94.7,
2009-09,94.5,
2009-10,94.6,
2009-11,94.4,
2009-12,94.6,
2010-01,94.4,
2010-02,94.2,
2010-03,94.2,
2010-04,94.2,
2010-05,94.1,
2010-06,94.2,
2010-07,94.2,
2010-08,94.1,
2010-09,94.0,
2010-10,93.9,
2010-11,93.9,
2010-12,93.9,
2011-01,93.9,
2011-02,93.8,
2011-03,93.9,
2011-04,93.9,
2011-05,93.9,
2011-06,93.8,
2011-07,93.8,
2011-08,93.7,
2011-09,93.8,
2011-10,93.6,
2011-11,93.6,
2011-12,93.4,
2012-01,93.4,
2012-02,93.5,
2012-03,93.5,
2012-04,93.4,
2012-05,93.4,
2012-06,93.4,
2012-07,93.2,
2012-08,93.3,
2012-09,93.2,
2012-10,92.9,
2012-11,93.1,
2012-12,93.0,
2013-01,93.2,
2013-02,93.3,
2013-03,93.1,
2013-04,93.4,
2013-05,93.4,
2013-06,93.4,
2013-07,93.5,
2013-08,93.4,
2013-09,93.4,
2013-10,93.3,
2013-11,93.5,
2013-12,93.4,
2014-01,93.5,
2014-02,93.5,
2014-03,93.5,
2014-04,93.6,
2014-05,93.6,
2014-06,93.7,
2014-07,93.8,
2014-08,93.8,
2014-09,93.9,
2014-10,93.6,Provisional value
2014-11,93.6,Provisional value
2014-12,93.4,Provisional value
2015-01,93.5,Provisional value
"","Source: Bundesbank calculations on the basis of seasonally adjusted consumer price indices (from 1995, HICP where available).",
"","Methodology: Geometrically weighted indicator of price competitiveness, based on consumer price indices.                                           Weighting scheme drawn up on the basis of foreign trade in the field of manufacturing (SITC 5-8). Starting with the period between 1995 and 1997, the weighting is updated every three years. The final respected weighting period until the current date: years between 2007 and 2009. In order to capture third-market effects, export shares were derived on the basis of the principle of ""double weighting"".                 For details of the methodology see the ECB's Occasional Paper No.134, which can be downloaded from the ECB's website (www.ecb.int).   Group of countries: Austria, Belgium, Cyprus (from 2008), Estonia (from 2011), Finland, France, Germany (up to 1994, West Germany as formerly defined), Greece (from 2001), Ireland, Italy, Latvia (from 2014), Lithuania (from 2015), Luxembourg, Malta (from 2008), Netherlands, Portugal, Slovakia (from 2009), Slovenia (from 2007) and Spain         (the reference country is included in the group of countries cited).",
