"",BBSF2.M.1.P.00000.AKT01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.AKT01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
1964-01,1585,
1964-02,1598,
1964-03,1660,
1964-04,1640,
1964-05,1615,
1964-06,1623,
1964-07,1689,
1964-08,1723,
1964-09,1707,
1964-10,1662,
1964-11,1646,
1964-12,1688,
1965-01,1726,
1965-02,1679,
1965-03,1649,
1965-04,1669,
1965-05,1680,
1965-06,1609,
1965-07,1673,
1965-08,1686,
1965-09,1696,
1965-10,1650,
1965-11,1584,
1965-12,1603,
1966-01,1706,
1966-02,1726,
1966-03,1688,
1966-04,1637,
1966-05,1610,
1966-06,1500,
1966-07,1454,
1966-08,1487,
1966-09,1541,
1966-10,1444,
1966-11,1441,
1966-12,1445,
1967-01,1541,
1967-02,1561,
1967-03,1616,
1967-04,1567,
1967-05,1586,
1967-06,1580,
1967-07,1688,
1967-08,1833,
1967-09,1899,
1967-10,1942,
1967-11,2031,
1967-12,2124,
1968-01,2229,
1968-02,2222,
1968-03,2308,
1968-04,2422,
1968-05,2428,
1968-06,2608,
1968-07,2648,
1968-08,2671,
1968-09,2640,
1968-10,2718,
1968-11,2672,
1968-12,2727,
1969-01,2944,
1969-02,2927,
1969-03,3035,
1969-04,3077,
1969-05,3312,
1969-06,3234,
1969-07,3202,
1969-08,3377,
1969-09,3384,
1969-10,3576,
1969-11,3673,
1969-12,3590,
1970-01,3482,
1970-02,3407,
1970-03,3473,
1970-04,3301,
1970-05,3061,
1970-06,3036,
1970-07,3247,
1970-08,3285,
1970-09,3279,
1970-10,3280,
1970-11,3153,
1970-12,3183,
1971-01,3524,
1971-02,3587,
1971-03,3678,
1971-04,3624,
1971-05,3646,
1971-06,3648,
1971-07,3775,
1971-08,3667,
1971-09,3554,
1971-10,3376,
1971-11,3372,
1971-12,3605,
1972-01,3799,
1972-02,4005,
1972-03,4176,
1972-04,4168,
1972-05,4322,
1972-06,4282,
1972-07,4534,
1972-08,4506,
1972-09,4416,
1972-10,4379,
1972-11,4407,
1972-12,4416,
1973-01,4610,
1973-02,4484,
1973-03,4693,
1973-04,4515,
1973-05,4222,
1973-06,4196,
1973-07,4032,
1973-08,4063,
1973-09,4059,
1973-10,4309,
1973-11,3876,
1973-12,3864,
1974-01,4072,
1974-02,3773,
1974-03,3757,
1974-04,3858,
1974-05,3760,
1974-06,3701,
1974-07,3688,
1974-08,3637,
1974-09,3475,
1974-10,3555,
1974-11,3565,
1974-12,3615,
1975-01,3941,
1975-02,4190,
1975-03,4281,
1975-04,4430,
1975-05,4235,
1975-06,4358,
1975-07,4706,
1975-08,4496,
1975-09,4462,
1975-10,4756,
1975-11,4921,
1975-12,5007,
1976-01,5116,
1976-02,5053,
1976-03,5228,
1976-04,5002,
1976-05,5022,
1976-06,5134,
1976-07,5091,
1976-08,5078,
1976-09,5157,
1976-10,4888,
1976-11,5049,
1976-12,5187,
1977-01,5277,
1977-02,5118,
1977-03,5254,
1977-04,5575,
1977-05,5561,
1977-06,5508,
1977-07,5572,
1977-08,5649,
1977-09,5713,
1977-10,5805,
1977-11,5749,
1977-12,5722,
1978-01,5816,
1978-02,5825,
1978-03,5864,
1978-04,5797,
1978-05,5956,
1978-06,6096,
1978-07,6287,
1978-08,6331,
1978-09,6415,
1978-10,6204,
1978-11,5970,
1978-12,5992,
1979-01,6058,
1979-02,5871,
1979-03,5890,
1979-04,5901,
1979-05,5694,
1979-06,5673,
1979-07,5847,
1979-08,5867,
1979-09,5824,
1979-10,5435,
1979-11,5357,
1979-12,5286,
1980-01,5265,
1980-02,5245,
1980-03,4853,
1980-04,4964,
1980-05,5066,
1980-06,5221,
1980-07,5313,
1980-08,5185,
1980-09,5146,
1980-10,4928,
1980-11,4921,
1980-12,4784,
1981-01,4693,
1981-02,4539,
1981-03,4632,
1981-04,4757,
1981-05,4644,
1981-06,4847,
1981-07,4886,
1981-08,4710,
1981-09,4367,
1981-10,4238,
1981-11,4260,
1981-12,4124,
1982-01,4142,
1982-02,4027,
1982-03,4086,
1982-04,4055,
1982-05,3987,
1982-06,3929,
1982-07,3911,
1982-08,3877,
1982-09,3987,
1982-10,3908,
1982-11,3935,
1982-12,4097,
1983-01,4091,
1983-02,4250,
1983-03,4731,
1983-04,4981,
1983-05,4789,
1983-06,5030,
1983-07,5210,
1983-08,4985,
1983-09,4995,
1983-10,5274,
1983-11,5330,
1983-12,5354,
1984-01,5440,
1984-02,5135,
1984-03,5152,
1984-04,5168,
1984-05,4943,
1984-06,5018,
1984-07,4802,
1984-08,5035,
1984-09,5152,
1984-10,5103,
1984-11,4950,
1984-12,5008,
1985-01,5121,
1985-02,5033,
1985-03,4931,
1985-04,4984,
1985-05,5229,
1985-06,5421,
1985-07,5249,
1985-08,5482,
1985-09,5696,
1985-10,6291,
1985-11,6068,
1985-12,6537,
1986-01,6333,
1986-02,6220,
1986-03,6687,
1986-04,6881,
1986-05,6508,
1986-06,6441,
1986-07,6180,
1986-08,6823,
1986-09,6479,
1986-10,6576,
1986-11,6645,
1986-12,6591,
1987-01,6142,
1987-02,5943,
1987-03,6125,
1987-04,6108,
1987-05,6212,
1987-06,6519,
1987-07,7007,
1987-08,7113,
1987-09,7071,
1987-10,5630,
1987-11,5184,
1987-12,5116,
1988-01,4933,
1988-02,5404,
1988-03,5483,
1988-04,5551,
1988-05,5871,
1988-06,6155,
1988-07,6283,
1988-08,6307,
1988-09,6557,
1988-10,6651,
1988-11,6458,
1988-12,6728,
1989-01,7042,
1989-02,6841,
1989-03,7071,
1989-04,7351,
1989-05,7619,
1989-06,7843,
1989-07,8016,
1989-08,8391,
1989-09,8293,
1989-10,7794,
1989-11,8061,
1989-12,8497,
1990-01,8664,
1990-02,8640,
1990-03,9885,
1990-04,9542,
1990-05,9949,
1990-06,10204,
1990-07,10489,
1990-08,9439,
1990-09,8270,
1990-10,9035,
1990-11,9115,
1990-12,9130,
1991-01,9182,
1991-02,9990,
1991-03,10544,
1991-04,10931,
1991-05,11350,
1991-06,11070,
1991-07,11137,
1991-08,11254,
1991-09,11009,
1991-10,10998,
1991-11,10695,
1991-12,10671,
1992-01,9143,
1992-02,9493,
1992-03,9435,
1992-04,9626,
1992-05,9961,
1992-06,9644,
1992-07,9159,
1992-08,8805,
1992-09,8628,
1992-10,8884,
1992-11,9045,
1992-12,9169,
1993-01,9317,
1993-02,9864,
1993-03,10213,
1993-04,10143,
1993-05,10483,
1993-06,10786,
1993-07,11648,
1993-08,12528,
1993-09,12665,
1993-10,14388,
1993-11,14992,
1993-12,17207,
1994-01,18627,
1994-02,19022,
1994-03,19713,
1994-04,20937,
1994-05,20419,
1994-06,20119,
1994-07,21150,
1994-08,21730,
1994-09,20510,
1994-10,20938,
1994-11,20502,
1994-12,20944,
1995-01,20038,
1995-02,20356,
1995-03,19268,
1995-04,19982,
1995-05,20598,
1995-06,20559,
1995-07,21609,
1995-08,21708,
1995-09,21182,
1995-10,21147,
1995-11,21651,
1995-12,22089,
1996-01,23467,
1996-02,23209,
1996-03,23265,
1996-04,23904,
1996-05,24344,
1996-06,24500,
1996-07,23261,
1996-08,24096,
1996-09,25241,
1996-10,25144,
1996-11,26825,
1996-12,27192,
1997-01,29895,
1997-02,33242,
1997-03,35565,
1997-04,36898,
1997-05,39358,
1997-06,43119,
1997-07,49564,
1997-08,44532,
1997-09,47669,
1997-10,44134,
1997-11,46072,
1997-12,48357,
1998-01,50425,
1998-02,53077,
1998-03,57874,
1998-04,58635,
1998-05,63003,
1998-06,66113,
1998-07,68514,
1998-08,59193,
1998-09,56176,
1998-10,59491,
1998-11,67055,
1998-12,67461,
1999-01,71344,
1999-02,71450,
1999-03,74921,
1999-04,80821,
1999-05,78686,
1999-06,85315,
1999-07,84678,
1999-08,88144,
1999-09,86963,
1999-10,94051,
1999-11,106883,
1999-12,123661,
2000-01,127564,
2000-02,145416,
2000-03,146661,
2000-04,147691,
2000-05,142882,
2000-06,145624,
2000-07,149567,
2000-08,161740,
2000-09,158276,
2000-10,158009,
2000-11,145071,
2000-12,141628,
2001-01,147253,
2001-02,133549,
2001-03,124708,
2001-04,134447,
2001-05,135737,
2001-06,131296,
2001-07,124743,
2001-08,113056,
2001-09,96666,
2001-10,102729,
2001-11,112436,
2001-12,115219,
2002-01,112931,
2002-02,110241,
2002-03,115578,
2002-04,107154,
2002-05,104892,
2002-06,93466,
2002-07,85575,
2002-08,83445,
2002-09,71422,
2002-10,77590,
2002-11,83099,
2002-12,73646,
2003-01,68315,
2003-02,65296,
2003-03,64643,
2003-04,72484,
2003-05,73115,
2003-06,78867,
2003-07,81498,
2003-08,86082,
2003-09,81707,
2003-10,87669,
2003-11,87323,
2003-12,89737,
2004-01,94266,
2004-02,94153,
2004-03,92751,
2004-04,93035,
2004-05,90528,
2004-06,92381,
2004-07,88573,
2004-08,86495,
2004-09,87677,
2004-10,87878,
2004-11,90566,
2004-12,92328,
2005-01,92772,
2005-02,94728,
2005-03,93589,
2005-04,89352,
2005-05,94359,
2005-06,98279,
2005-07,103807,
2005-08,103188,
2005-09,108020,
2005-10,104549,
2005-11,110933,
2005-12,115043,
2006-01,119173,
2006-02,122887,
2006-03,123666,
2006-04,122827,
2006-05,114199,
2006-06,112877,
2006-07,112154,
2006-08,114101,
2006-09,115777,
2006-10,118919,
2006-11,117940,
2006-12,121838,
2007-01,123212,
2007-02,121646,
2007-03,122447,
2007-04,127521,
2007-05,131508,
2007-06,129971,
2007-07,125723,
2007-08,122317,
2007-09,125092,
2007-10,127983,
2007-11,121769,
2007-12,121794,
2008-01,104203,
2008-02,103839,
2008-03,98493,
2008-04,109707,
2008-05,113436,
2008-06,98019,
2008-07,96520,
2008-08,97225,
2008-09,84292,
2008-10,69922,
2008-11,67082,
2008-12,67966,
2009-01,69643,
2009-02,62015,
2009-03,61806,
2009-04,73927,
2009-05,79124,
2009-06,77555,
2009-07,84812,
2009-08,87832,
2009-09,91309,
2009-10,89545,
2009-11,90612,
2009-12,96603,
2010-01,92308,
2010-02,93582,
2010-03,100738,
2010-04,100031,
2010-05,101063,
2010-06,94862,
2010-07,96995,
2010-08,94939,
2010-09,98847,
2010-10,102804,
2010-11,105277,
2010-12,112289,
2011-01,112734,
2011-02,114820,
2011-03,111955,
2011-04,115032,
2011-05,115526,
2011-06,112884,
2011-07,113689,
2011-08,97523,
2011-09,92194,
2011-10,100811,
2011-11,97754,
2011-12,99519,
2012-01,105907,
2012-02,109864,
2012-03,109718,
2012-04,103887,
2012-05,100943,
2012-06,102670,
2012-07,108521,
2012-08,109317,
2012-09,111193,
2012-10,111054,
2012-11,112279,
2012-12,114148,
2013-01,116814,
2013-02,118293,
2013-03,120490,
2013-04,120972,
2013-05,124068,
2013-06,119348,
2013-07,124426,
2013-08,122476,
2013-09,127132,
2013-10,132562,
2013-11,135683,
2013-12,136511,
2014-01,132732,
2014-02,138272,
2014-03,137035,
2014-04,137080,
2014-05,142412,
2014-06,142454,
2014-07,139799,
2014-08,143208,
2014-09,140988,
2014-10,138808,
2014-11,143831,
