"",BBFB1.M.N.DE.W1.S1.S1.T.D.SB___AD._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.SB___AD._Z._Z._Z._T._X.N_FLAGS
2009-04,1052.314,
2009-05,1015.911,
2009-06,1315.350,
2009-07,1194.813,
2009-08,944.854,
2009-09,1076.469,
2009-10,1101.900,
2009-11,1133.923,
2009-12,1023.024,
2010-01,1002.226,
2010-02,1077.970,
2010-03,1193.154,
2010-04,1007.826,
2010-05,1174.913,
2010-06,1174.301,
2010-07,1278.115,
2010-08,1140.310,
2010-09,1370.207,
2010-10,1211.351,
2010-11,1336.749,
2010-12,1147.944,
2011-01,1182.046,
2011-02,1149.915,
2011-03,1358.436,
2011-04,1238.209,
2011-05,1287.615,
2011-06,1260.192,
2011-07,1381.667,
2011-08,1257.613,
2011-09,1235.545,
2011-10,1386.809,
2011-11,1368.461,
2011-12,1186.639,
2012-01,1203.779,
2012-02,1395.226,
2012-03,1406.518,
2012-04,1181.311,
2012-05,1362.559,
2012-06,1354.321,
2012-07,1250.650,
2012-08,1324.166,
2012-09,1277.510,
2012-10,1383.307,
2012-11,1355.962,
2012-12,1095.908,
2013-01,1148.370,
2013-02,1190.608,
2013-03,1229.767,
2013-04,1235.170,
2013-05,1221.116,
2013-06,2258.788,
2013-07,1418.211,
2013-08,1215.784,
2013-09,1407.413,
2013-10,1591.488,
2013-11,1441.619,
2013-12,1214.016,
2014-01,1180.471,
2014-02,1492.020,
2014-03,1389.224,
2014-04,1457.449,
2014-05,1386.293,
2014-06,1500.225,
2014-07,1513.033,
2014-08,1415.396,
2014-09,1421.570,
2014-10,1538.412,
2014-11,1591.508,
2014-12,1160.000,Provisional value
