"",BBDA1.M.DE.Y.EX.S.A.U2.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.A.U2.A.V.ABA.A_FLAGS
1997-05,17.02,
1997-06,16.85,
1997-07,17.16,
1997-08,17.04,
1997-09,17.33,
1997-10,17.04,
1997-11,17.51,
1997-12,18.35,
1998-01,18.26,
1998-02,18.39,
1998-03,17.53,
1998-04,19.33,
1998-05,18.06,
1998-06,18.94,
1998-07,19.32,
1998-08,17.75,
1998-09,18.17,
1998-10,18.85,
1998-11,18.46,
1998-12,17.79,
1999-01,18.57,
1999-02,19.06,
1999-03,18.01,
1999-04,18.94,
1999-05,19.33,
1999-06,20.04,
1999-07,19.69,
1999-08,20.56,
1999-09,19.99,
1999-10,19.61,
1999-11,21.28,
1999-12,20.20,
2000-01,21.30,
2000-02,21.09,
2000-03,22.24,
2000-04,22.06,
2000-05,22.54,
2000-06,22.23,
2000-07,23.09,
2000-08,22.49,
2000-09,22.81,
2000-10,24.56,
2000-11,24.04,
2000-12,23.72,
2001-01,24.18,
2001-02,24.55,
2001-03,23.34,
2001-04,24.37,
2001-05,23.16,
2001-06,23.78,
2001-07,24.29,
2001-08,24.43,
2001-09,23.07,
2001-10,23.45,
2001-11,22.59,
2001-12,23.55,
2002-01,22.85,
2002-02,23.07,
2002-03,23.18,
2002-04,23.84,
2002-05,22.23,
2002-06,24.75,
2002-07,23.67,
2002-08,24.61,
2002-09,24.07,
2002-10,23.85,
2002-11,24.89,
2002-12,24.91,
2003-01,23.72,
2003-02,24.13,
2003-03,25.41,
2003-04,23.82,
2003-05,23.88,
2003-06,24.23,
2003-07,24.68,
2003-08,24.91,
2003-09,26.22,
2003-10,25.23,
2003-11,26.46,
2003-12,26.73,
2004-01,25.97,
2004-02,25.76,
2004-03,26.71,
2004-04,26.51,
2004-05,27.49,
2004-06,26.91,
2004-07,27.21,
2004-08,28.16,
2004-09,27.94,
2004-10,28.20,
2004-11,29.01,
2004-12,26.62,
2005-01,28.36,
2005-02,27.74,
2005-03,28.47,
2005-04,28.24,
2005-05,29.36,
2005-06,29.23,
2005-07,28.95,
2005-08,29.68,
2005-09,30.12,
2005-10,30.09,
2005-11,30.50,
2005-12,29.97,
2006-01,31.27,
2006-02,31.35,
2006-03,31.16,
2006-04,31.73,
2006-05,31.66,
2006-06,32.20,
2006-07,32.76,
2006-08,32.19,
2006-09,33.05,
2006-10,34.13,
2006-11,33.17,
2006-12,33.57,
2007-01,34.88,
2007-02,35.42,
2007-03,34.88,
2007-04,35.57,
2007-05,35.21,
2007-06,35.17,
2007-07,35.80,
2007-08,35.33,
2007-09,35.86,
2007-10,36.18,
2007-11,35.87,
2007-12,36.22,
2008-01,36.55,
2008-02,36.02,
2008-03,35.46,
2008-04,36.57,
2008-05,35.54,
2008-06,35.94,
2008-07,36.16,
2008-08,36.03,
2008-09,35.63,
2008-10,35.48,
2008-11,31.71,
2008-12,30.55,
2009-01,29.60,
2009-02,28.20,
2009-03,28.33,
2009-04,27.72,
2009-05,27.27,
2009-06,27.84,
2009-07,28.45,
2009-08,28.79,
2009-09,29.71,
2009-10,29.32,
2009-11,28.86,
2009-12,30.06,
2010-01,29.42,
2010-02,30.10,
2010-03,31.52,
2010-04,30.65,
2010-05,32.62,
2010-06,33.28,
2010-07,32.74,
2010-08,32.67,
2010-09,32.87,
2010-10,33.22,
2010-11,33.67,
2010-12,34.85,
2011-01,34.29,
2011-02,34.44,
2011-03,35.75,
2011-04,34.89,
2011-05,35.63,
2011-06,36.07,
2011-07,34.40,
2011-08,35.67,
2011-09,36.42,
2011-10,33.76,
2011-11,35.72,
2011-12,33.42,
2012-01,34.29,
2012-02,34.62,
2012-03,34.16,
2012-04,33.33,
2012-05,35.60,
2012-06,33.69,
2012-07,34.29,
2012-08,34.29,
2012-09,33.80,
2012-10,34.21,
2012-11,33.06,
2012-12,33.11,
2013-01,34.10,
2013-02,33.78,
2013-03,33.15,
2013-04,33.29,
2013-05,33.12,
2013-06,33.65,
2013-07,33.43,
2013-08,33.69,
2013-09,34.42,
2013-10,34.29,
2013-11,33.85,
2013-12,34.26,
2014-01,35.23,
2014-02,34.63,
2014-03,32.72,
2014-04,34.89,
2014-05,33.98,
2014-06,34.21,
2014-07,35.56,
2014-08,34.55,
2014-09,34.89,
2014-10,34.97,
2014-11,34.91,
2014-12,35.68,
