"",BBFB1.M.N.DE.W1.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
2007-02,10808.729,
2007-03,11811.037,
2007-04,12010.364,
2007-05,12518.089,
2007-06,12913.091,
2007-07,13561.332,
2007-08,13031.680,
2007-09,12465.512,
2007-10,13180.093,
2007-11,12279.827,
2007-12,16107.897,
2008-01,12920.895,
2008-02,12427.366,
2008-03,12211.301,
2008-04,13360.245,
2008-05,13375.095,
2008-06,13504.317,
2008-07,14622.814,
2008-08,13041.524,
2008-09,13832.750,
2008-10,14608.480,
2008-11,13452.928,
2008-12,16667.053,
2009-01,12251.713,
2009-02,11931.832,
2009-03,12957.466,
2009-04,13141.326,
2009-05,12715.673,
2009-06,13002.476,
2009-07,13517.825,
2009-08,12611.820,
2009-09,13240.844,
2009-10,12867.352,
2009-11,12722.810,
2009-12,16911.655,
2010-01,12417.001,
2010-02,11599.871,
2010-03,13783.060,
2010-04,13741.992,
2010-05,13515.844,
2010-06,14675.747,
2010-07,14431.634,
2010-08,14190.131,
2010-09,14946.357,
2010-10,14092.577,
2010-11,14584.173,
2010-12,17917.459,
2011-01,13546.203,
2011-02,12499.033,
2011-03,14913.178,
2011-04,13318.917,
2011-05,14670.314,
2011-06,14663.899,
2011-07,14336.582,
2011-08,14374.645,
2011-09,16241.030,
2011-10,15460.158,
2011-11,14913.234,
2011-12,19478.553,
2012-01,13995.408,
2012-02,13705.645,
2012-03,15423.456,
2012-04,14523.908,
2012-05,14970.694,
2012-06,16443.540,
2012-07,15765.725,
2012-08,15921.054,
2012-09,16303.916,
2012-10,15700.534,
2012-11,15185.571,
2012-12,19329.706,
2013-01,15203.253,
2013-02,13475.469,
2013-03,15696.856,
2013-04,15614.979,
2013-05,15463.108,
2013-06,16931.588,
2013-07,16588.127,
2013-08,15868.751,
2013-09,18082.649,
2013-10,15937.871,
2013-11,16622.874,
2013-12,20901.630,
2014-01,15610.545,
2014-02,14971.659,Provisional value
2014-03,16852.738,Provisional value
2014-04,15914.395,Provisional value
2014-05,16547.591,Provisional value
2014-06,18117.291,Provisional value
2014-07,17385.494,Provisional value
2014-08,16498.119,Provisional value
2014-09,18269.370,
2014-10,17419.441,
2014-11,16532.098,
2014-12,21593.351,Provisional value
