"",BBFN1.M.DE.N.1.A.W1.S1P.F0.S.NV00.Z06.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.S.NV00.Z06.BGA.X001.D_FLAGS
1978-09,0.890,
1978-10,0.768,
1978-11,0.820,
1978-12,1.127,
1979-01,1.276,
1979-02,1.254,
1979-03,1.234,
1979-04,1.526,
1979-05,1.502,
1979-06,1.542,
1979-07,1.477,
1979-08,1.453,
1979-09,1.465,
1979-10,1.564,
1979-11,1.625,
1979-12,1.468,
1980-01,1.606,
1980-02,1.572,
1980-03,1.638,
1980-04,1.798,
1980-05,1.880,
1980-06,1.896,
1980-07,1.838,
1980-08,1.831,
1980-09,1.729,
1980-10,1.780,
1980-11,1.349,
1980-12,1.522,
1981-01,1.813,
1981-02,1.920,
1981-03,2.005,
1981-04,2.016,
1981-05,1.964,
1981-06,1.887,
1981-07,1.795,
1981-08,1.988,
1981-09,1.846,
1981-10,1.940,
1981-11,1.890,
1981-12,1.700,
1982-01,1.746,
1982-02,1.995,
1982-03,1.922,
1982-04,1.892,
1982-05,2.006,
1982-06,1.998,
1982-07,2.101,
1982-08,2.333,
1982-09,2.460,
1982-10,2.275,
1982-11,2.165,
1982-12,2.140,
1983-01,2.084,
1983-02,1.939,
1983-03,2.013,
1983-04,2.096,
1983-05,2.136,
1983-06,2.291,
1983-07,2.298,
1983-08,2.264,
1983-09,2.498,
1983-10,2.206,
1983-11,2.179,
1983-12,1.977,
1984-01,2.194,
1984-02,2.060,
1984-03,2.395,
1984-04,2.566,
1984-05,2.562,
1984-06,2.578,
1984-07,2.556,
1984-08,2.649,
1984-09,3.603,
1984-10,2.998,
1984-11,2.779,
1984-12,2.701,
1985-01,2.939,
1985-02,3.031,
1985-03,3.534,
1985-04,3.658,
1985-05,3.692,
1985-06,3.316,
1985-07,3.579,
1985-08,4.531,
1985-09,4.429,
1985-10,3.932,
1985-11,3.821,
1985-12,3.591,
1986-01,3.479,
1986-02,3.364,
1986-03,3.938,
1986-04,3.964,
1986-05,4.409,
1986-06,4.318,
1986-07,4.191,
1986-08,4.317,
1986-09,4.061,
1986-10,4.146,
1986-11,4.135,
1986-12,3.815,
1987-01,3.744,
1987-02,4.125,
1987-03,3.925,
1987-04,3.931,
1987-05,4.057,
1987-06,3.769,
1987-07,3.720,
1987-08,3.489,
1987-09,3.540,
1987-10,3.372,
1987-11,3.212,
1987-12,3.197,
1988-01,2.931,
1988-02,3.392,
1988-03,3.568,
1988-04,3.854,
1988-05,4.015,
1988-06,3.831,
1988-07,4.067,
1988-08,4.156,
1988-09,4.290,
1988-10,3.968,
1988-11,3.954,
1988-12,4.446,
1989-01,3.842,
1989-02,3.771,
1989-03,3.858,
1989-04,4.047,
1989-05,4.342,
1989-06,4.695,
1989-07,4.440,
1989-08,4.618,
1989-09,4.783,
1989-10,6.006,
1989-11,5.352,
1989-12,5.263,
1990-01,5.409,
1990-02,6.244,
1990-03,6.013,
1990-04,6.068,
1990-05,5.874,
1990-06,5.794,
1990-07,5.872,
1990-08,5.641,
1990-09,5.723,
1990-10,5.642,
1990-11,5.782,
1990-12,6.727,
1991-01,6.703,
1991-02,7.355,
1991-03,7.911,
1991-04,8.079,
1991-05,7.972,
1991-06,8.452,
1991-07,7.301,
1991-08,6.831,
1991-09,6.208,
1991-10,6.903,
1991-11,6.966,
1991-12,7.013,
1992-01,7.400,
1992-02,7.587,
1992-03,8.138,
1992-04,8.023,
1992-05,7.870,
1992-06,7.931,
1992-07,8.125,
1992-08,8.086,
1992-09,8.074,
1992-10,8.092,
1992-11,8.149,
1992-12,7.030,
1993-01,7.172,
1993-02,7.374,
1993-03,7.746,
1993-04,7.664,
1993-05,8.625,
1993-06,7.732,
1993-07,7.966,
1993-08,8.169,
1993-09,7.954,
1993-10,8.093,
1993-11,8.355,
1993-12,8.030,
1994-01,7.869,
1994-02,7.677,
1994-03,8.438,
1994-04,8.736,
1994-05,8.585,
1994-06,9.066,
1994-07,9.273,
1994-08,9.914,
1994-09,9.851,
1994-10,9.711,
1994-11,9.256,
1994-12,9.449,
1995-01,9.817,
1995-02,10.191,
1995-03,10.545,
1995-04,11.135,
1995-05,11.817,
1995-06,11.864,
1995-07,11.631,
1995-08,11.770,
1995-09,12.062,
1995-10,12.130,
1995-11,12.275,
1995-12,11.598,
1996-01,12.476,
1996-02,13.793,
1996-03,14.680,
1996-04,16.569,
1996-05,18.738,
1996-06,18.806,
1996-07,16.435,
1996-08,17.150,
1996-09,19.762,
1996-10,20.581,
1996-11,20.846,
1996-12,26.517,
1997-01,32.373,
1997-02,33.178,
1997-03,34.258,
1997-04,36.768,
1997-05,36.579,
1997-06,35.378,
1997-07,33.501,
1997-08,30.118,
1997-09,31.322,
1997-10,29.270,
1997-11,27.948,
1997-12,29.303,
1998-01,28.791,
1998-02,34.540,
1998-03,44.157,
1998-04,45.719,
1998-05,50.921,
1998-06,43.955,
1998-07,37.065,
1998-08,34.469,
1998-09,40.130,
1998-10,34.014,
1998-11,39.432,
1998-12,37.538,
1999-01,30.052,
1999-02,35.562,
1999-03,41.237,
1999-04,49.313,
1999-05,53.750,
1999-06,50.569,
1999-07,43.637,
1999-08,43.643,
1999-09,41.746,
1999-10,41.333,
1999-11,46.268,
1999-12,42.341,
2000-01,42.726,
2000-02,45.768,
2000-03,57.416,
2000-04,59.545,
2000-05,64.045,
2000-06,72.942,
2000-07,60.464,
2000-08,59.235,
2000-09,59.860,
2000-10,60.294,
2000-11,56.386,
2000-12,54.570,
2001-01,55.133,
2001-02,60.634,
2001-03,81.208,
2001-04,77.031,
2001-05,73.656,
2001-06,71.190,
2001-07,62.608,
2001-08,64.620,
2001-09,66.761,
2001-10,67.527,
2001-11,53.353,
2001-12,60.534,
2002-01,55.563,
2002-02,56.369,
2002-03,57.287,
2002-04,55.941,
2002-05,41.192,
2002-06,39.602,
2002-07,38.884,
2002-08,37.051,
2002-09,38.467,
2002-10,38.015,
2002-11,35.973,
2002-12,35.358,
2003-01,36.208,
2003-02,36.783,
2003-03,36.729,
2003-04,36.168,
2003-05,34.734,
2003-06,32.227,
2003-07,32.276,
2003-08,32.646,
2003-09,34.083,
2003-10,30.473,
2003-11,33.122,
2003-12,33.646,
2004-01,38.506,
2004-02,33.679,
2004-03,33.474,
2004-04,32.988,
2004-05,33.807,
2004-06,33.565,
2004-07,33.468,
2004-08,34.349,
2004-09,36.747,
2004-10,34.019,
2004-11,31.114,
2004-12,32.723,
2005-01,30.843,
2005-02,32.310,
2005-03,31.651,
2005-04,32.213,
2005-05,34.577,
2005-06,36.963,
2005-07,35.581,
2005-08,35.666,
2005-09,40.468,
2005-10,39.560,
2005-11,40.809,
2005-12,44.324,
2006-01,44.107,
2006-02,46.680,
2006-03,47.040,
2006-04,47.484,
2006-05,46.978,
2006-06,46.281,
2006-07,46.161,
2006-08,44.255,
2006-09,39.846,
2006-10,41.562,
2006-11,41.213,
2006-12,39.647,
2007-01,34.254,
2007-02,32.952,
2007-03,33.884,
2007-04,34.341,
2007-05,35.695,
2007-06,35.432,
2007-07,38.238,
2007-08,37.508,
2007-09,38.242,
2007-10,38.501,
2007-11,37.379,
2007-12,39.487,
2008-01,38.517,
2008-02,40.146,
2008-03,39.041,
2008-04,43.705,
2008-05,41.052,
2008-06,40.563,
2008-07,42.296,
2008-08,42.607,
2008-09,45.763,
2008-10,47.900,
2008-11,50.233,
2008-12,49.264,
2009-01,47.018,
2009-02,47.105,
2009-03,48.328,
2009-04,46.301,
2009-05,46.041,
2009-06,45.264,
2009-07,44.188,
2009-08,43.640,
2009-09,40.918,
2009-10,40.961,
2009-11,39.429,
2009-12,38.112,
2010-01,40.487,
2010-02,38.107,
2010-03,43.322,
2010-04,42.252,
2010-05,44.776,
2010-06,49.368,
2010-07,48.101,
2010-08,48.018,
2010-09,44.976,
2010-10,45.331,
2010-11,47.060,
2010-12,44.944,
2011-01,46.362,
2011-02,46.204,
2011-03,45.303,
2011-04,43.498,
2011-05,44.008,
2011-06,42.494,
2011-07,40.342,
2011-08,39.213,
2011-09,40.132,
2011-10,36.665,
2011-11,36.662,
2011-12,43.731,
2012-01,39.854,
2012-02,39.121,
2012-03,40.187,
2012-04,37.597,
2012-05,37.446,
2012-06,41.034,
2012-07,38.248,
2012-08,37.407,
2012-09,40.190,
2012-10,38.967,
2012-11,39.124,
2012-12,37.668,
2013-01,36.831,
2013-02,36.495,
2013-03,38.723,
2013-04,39.264,
2013-05,39.631,
2013-06,40.609,
2013-07,40.192,
2013-08,45.285,
2013-09,42.143,
2013-10,37.537,
2013-11,37.340,
2013-12,40.025,
2014-01,37.004,
2014-02,36.626,
2014-03,39.043,
2014-04,42.516,
2014-05,41.420,
2014-06,41.585,
2014-07,41.070,
2014-08,40.977,
2014-09,45.567,
2014-10,42.271,
2014-11,42.568,
2014-12,45.822,
"","General: From January 1999, excluding national currencies of the euro-area member states.",
