"",BBEX3.M.GYD.USD.CA.AA.A01,BBEX3.M.GYD.USD.CA.AA.A01_FLAGS
2008-12,203.99000,
2009-01,203.24000,
2009-02,204.24000,
2009-03,203.99000,
2009-04,202.74000,
2009-05,202.99000,
2009-06,203.99000,
2009-07,203.99000,
2009-08,203.49000,
2009-09,203.74000,
2009-10,202.49000,
2009-11,203.74000,
2009-12,202.74000,
2010-01,202.99000,
2010-02,203.49000,
2010-03,202.49000,
2010-04,202.74000,
2010-05,203.49000,
2010-06,203.24000,
2010-07,202.99000,
2010-08,203.74000,
2010-09,202.99000,
2010-10,203.49000,
2010-11,201.99000,
2010-12,202.99000,
2011-01,203.49000,
2011-02,203.99000,
2011-03,203.49000,
2011-04,203.99000,
2011-05,203.49000,
2011-06,203.49000,
2011-07,203.24000,
2011-08,203.74000,
2011-09,203.74000,
2011-10,203.49000,
2011-11,203.99000,
2011-12,203.74000,
2012-01,203.99000,
2012-02,203.99000,
2012-03,203.49000,
2012-04,204.49000,
2012-05,202.99000,
2012-06,203.74000,
2012-07,203.99000,
2012-08,203.99000,
2012-09,203.99000,
2012-10,203.74000,
2012-11,203.74000,
2012-12,203.99000,
2013-01,204.24000,
2013-02,204.24000,
2013-03,204.99000,
2013-04,204.49000,
2013-05,205.24000,
2013-06,205.49000,
2013-07,204.49000,
2013-08,204.99000,
2013-09,204.99000,
2013-10,204.99000,
2013-11,205.49000,
2013-12,205.73000,
2014-01,205.93000,
2014-02,205.49000,
2014-03,205.98000,
2014-04,205.98000,
2014-05,205.98000,
2014-06,205.98000,
2014-07,205.98000,
2014-08,205.98000,
2014-09,205.98000,
2014-10,205.98000,
2014-11,205.98000,
2014-12,205.98000,
2015-01,205.98000,
2015-02,205.98000,
"","General: In addition to the official exchange rate, which only applied to sugar trading, revenue from bauxite exports, payments for fuel imports, as well as servicing the public sector`s external debt, there was a free market rate (known as the cambio market rate); however, we did not have any data on these rates. On 30 September 1991, the official exchange rate and the cambio market rate were harmonised.",
"","Source: Bank of Guyana, Georgetown.",
"","Comment on 1991-02: On 21 February 1991, the Guyana dollar was devalued. We recorded the following exchange rates (buying/selling rate).  20.02.91: 1 USD = 44.97188 / 45.19688 GYD  21.02.91: 1 USD = 101.68641 / 102.19516 GYD.  Calculated devaluation: 55.8% (middle rate).",
