"",BBFN1.M.DE.N.1.A.W1.S1P.F0.L.BN00.EUR.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.L.BN00.EUR.BGA.X001.D_FLAGS
1997-01,7.725,
1997-02,7.763,
1997-03,8.221,
1997-04,8.200,
1997-05,8.284,
1997-06,8.186,
1997-07,8.525,
1997-08,8.369,
1997-09,8.443,
1997-10,8.589,
1997-11,8.511,
1997-12,8.486,
1998-01,8.814,
1998-02,8.912,
1998-03,9.155,
1998-04,9.248,
1998-05,8.608,
1998-06,8.636,
1998-07,8.813,
1998-08,9.335,
1998-09,9.360,
1998-10,9.860,
1998-11,9.074,
1998-12,9.251,
1999-01,11.270,
1999-02,11.751,
1999-03,12.110,
1999-04,12.578,
1999-05,13.185,
1999-06,14.983,
1999-07,15.456,
1999-08,15.796,
1999-09,15.206,
1999-10,15.642,
1999-11,15.587,
1999-12,15.706,
2000-01,16.496,
2000-02,16.505,
2000-03,16.106,
2000-04,16.253,
2000-05,16.203,
2000-06,16.679,
2000-07,16.657,
2000-08,18.190,
2000-09,18.129,
2000-10,18.225,
2000-11,18.518,
2000-12,18.027,
2001-01,18.200,
2001-02,18.202,
2001-03,18.600,
2001-04,18.709,
2001-05,19.559,
2001-06,19.834,
2001-07,19.883,
2001-08,20.433,
2001-09,21.172,
2001-10,22.222,
2001-11,21.925,
2001-12,21.741,
2002-01,22.422,
2002-02,22.423,
2002-03,22.702,
2002-04,23.438,
2002-05,23.214,
2002-06,23.416,
2002-07,25.428,
2002-08,25.549,
2002-09,25.419,
2002-10,25.476,
2002-11,25.944,
2002-12,26.841,
2003-01,27.586,
2003-02,27.889,
2003-03,28.284,
2003-04,28.791,
2003-05,29.129,
2003-06,29.051,
2003-07,29.316,
2003-08,28.533,
2003-09,28.632,
2003-10,29.125,
2003-11,29.094,
2003-12,29.050,
2004-01,29.787,
2004-02,29.826,
2004-03,30.346,
2004-04,30.823,
2004-05,31.402,
2004-06,31.924,
2004-07,33.477,
2004-08,33.780,
2004-09,35.155,
2004-10,35.574,
2004-11,36.218,
2004-12,35.831,
2005-01,39.171,
2005-02,39.791,
2005-03,40.091,
2005-04,40.367,
2005-05,37.816,
2005-06,38.888,
2005-07,38.956,
2005-08,38.795,
2005-09,39.209,
2005-10,39.515,
2005-11,39.698,
2005-12,41.966,
2006-01,42.907,
2006-02,45.274,
2006-03,46.547,
2006-04,47.951,
2006-05,49.572,
2006-06,52.922,
2006-07,54.545,
2006-08,57.651,
2006-09,59.478,
2006-10,63.423,
2006-11,65.766,
2006-12,68.710,
2007-01,71.901,
2007-02,72.715,
2007-03,78.123,
2007-04,83.097,
2007-05,89.144,
2007-06,92.583,
2007-07,93.351,
2007-08,101.425,
2007-09,106.450,
2007-10,113.822,
2007-11,120.765,
2007-12,119.462,
2008-01,125.082,
2008-02,130.244,
2008-03,131.123,
2008-04,134.799,
2008-05,138.143,
2008-06,137.389,
2008-07,140.648,
2008-08,141.573,
2008-09,147.176,
2008-10,152.356,
2008-11,153.317,
2008-12,143.349,
2009-01,143.724,
2009-02,145.254,
2009-03,148.341,
2009-04,152.397,
2009-05,152.222,
2009-06,145.392,
2009-07,151.766,
2009-08,159.951,
2009-09,162.398,
2009-10,170.876,
2009-11,176.208,
2009-12,175.025,
2010-01,180.304,
2010-02,186.447,
2010-03,186.573,
2010-04,194.286,
2010-05,196.666,
2010-06,195.508,
2010-07,198.168,
2010-08,205.055,
2010-09,206.008,
2010-10,210.715,
2010-11,216.140,
2010-12,215.666,
2011-01,223.127,
2011-02,218.161,
2011-03,217.213,
2011-04,218.474,
2011-05,225.499,
2011-06,217.217,
2011-07,219.736,
2011-08,219.207,
2011-09,214.872,
2011-10,201.691,
2011-11,199.878,
2011-12,194.335,
2012-01,196.418,
2012-02,198.748,
2012-03,198.943,
2012-04,200.045,
2012-05,200.554,
2012-06,197.952,
2012-07,201.246,
2012-08,203.681,
2012-09,202.642,
2012-10,202.330,
2012-11,206.738,
2012-12,204.877,
2013-01,206.288,
2013-02,208.224,
2013-03,210.320,
2013-04,217.173,
2013-05,220.448,
2013-06,219.761,
2013-07,219.811,
2013-08,222.822,
2013-09,228.819,
2013-10,226.138,
2013-11,229.822,
2013-12,231.554,
2014-01,227.143,
2014-02,228.870,
2014-03,232.208,
2014-04,233.714,
2014-05,237.319,
2014-06,237.650,
2014-07,239.149,
2014-08,241.156,
2014-09,242.221,
2014-10,242.162,
2014-11,242.736,
2014-12,244.458,
"","General: From January 1999, including national currencies of the euro-area member states.",
