"",BBEX3.M.PEN.USD.CA.AA.A01,BBEX3.M.PEN.USD.CA.AA.A01_FLAGS
2012-01,2.688,
2012-02,2.676,
2012-03,2.666,
2012-04,2.639,
2012-05,2.708,
2012-06,2.670,
2012-07,2.628,
2012-08,2.609,
2012-09,2.597,
2012-10,2.591,
2012-11,2.578,
2012-12,2.549,
2013-01,2.578,
2013-02,2.585,
2013-03,2.589,
2013-04,2.645,
2013-05,2.730,
2013-06,2.780,
2013-07,2.790,
2013-08,2.806,
2013-09,2.781,
2013-10,2.768,
2013-11,2.800,
2013-12,2.794,
2014-01,2.820,
2014-02,2.799,
2014-03,2.807,
2014-04,2.807,
2014-05,2.764,
2014-06,2.795,
2014-07,2.795,
2014-08,2.842,
2014-09,2.888,
2014-10,2.920,
2014-11,2.918,
2014-12,2.981,
2015-01,3.056,
"","General: * The exchange rates recorded up to the end of June 1991 were in ""millones de intis"". Currency conversion with effect from 1 July 1991 at the rate of PEI (intis) 1,000,000 = PEN (nuevo sol) 1; banknotes and coins denominated in PEN only entered into circulation from October 1991 onward. To prepare for the currency conversion, from 1 January 1991, all amounts denominated in inti (including in documents, on cheques, in prices and exchange rates) were indicated in millions and were accompanied by the words ""millones de intis""; ie 530,000 intis = 0.53  ""millones de intis"".",
"","Source: Since March 2003 Superintendencia de Banca, Seguros y AFP, Lima 1991 - end of February 2003 Dresdner Bank Lateinamerika AG, Hamburg (formerly: Deutsch-Südamerikanische Bank AG)",
