"",BBEX3.M.PYG.USD.CA.AB.A01,BBEX3.M.PYG.USD.CA.AB.A01_FLAGS
1999-03,2910.00,
1999-04,2916.00,
1999-05,2962.00,
1999-06,3240.00,
1999-07,3295.00,
1999-08,3311.00,
1999-09,3313.00,
1999-10,3315.00,
1999-11,3320.00,
1999-12,3382.00,
2000-01,3359.00,
2000-02,3505.00,
2000-03,3552.00,
2000-04,3499.00,
2000-05,3507.00,
2000-06,3513.00,
2000-07,3507.00,
2000-08,3505.00,
2000-09,3495.00,
2000-10,3490.00,
2000-11,3543.00,
2000-12,3558.00,
2001-01,3601.00,
2001-02,3751.00,
2001-03,3800.00,
2001-04,3800.00,
2001-05,3883.00,
2001-06,4026.00,
2001-07,4296.00,
2001-08,4354.00,
2001-09,4458.00,
2001-10,4589.00,
2001-11,4723.00,
2001-12,4700.00,
2002-01,4849.00,
2002-02,4919.00,
2002-03,4855.00,
2002-04,4833.00,
2002-05,5305.00,
2002-06,6110.00,
2002-07,6100.00,
2002-08,6200.00,
2002-09,6020.00,
2002-10,6550.00,
2002-11,7050.00,
2002-12,7250.00,
2003-01,7050.00,
2003-02,6920.00,
2003-03,6910.00,
2003-04,6845.00,
2003-05,6350.00,
2003-06,6300.00,
2003-07,6150.00,
2003-08,6350.00,
2003-09,6320.00,
2003-10,6240.00,
2003-11,6110.00,
2003-12,6170.00,
2004-01,6220.00,
2004-02,6045.00,
2004-03,5890.00,
2004-04,5735.00,
2004-05,6000.00,
2004-06,5910.00,
2004-07,5920.00,
2004-08,5915.00,
2004-09,5955.00,
2004-10,6075.00,
2004-11,6135.00,
2004-12,6260.00,
2005-01,6350.00,
2005-02,6275.00,
2005-03,6320.00,
2005-04,6285.00,
2005-05,6245.00,
2005-06,6100.00,
2005-07,6020.00,
2005-08,6100.00,
2005-09,6120.00,
2005-10,6150.00,
2005-11,6155.00,
2005-12,6140.00,
2006-01,6140.00,
2006-02,6020.00,
2006-03,5970.00,
2006-04,5790.00,
2006-05,5800.00,
2006-06,5600.00,
2006-07,5500.00,
2006-08,5430.00,
2006-09,5390.00,
2006-10,5420.00,
2006-11,5420.00,
2006-12,5210.00,
2007-01,5270.00,
2007-02,5200.00,
2007-03,5080.00,
2007-04,5140.00,
2007-05,5060.00,
2007-06,5170.00,
2007-07,5120.00,
2007-08,5120.00,
2007-09,5060.00,
2007-10,4860.00,
2007-11,4740.00,
2007-12,4900.00,
2008-01,4710.00,
2008-02,4620.00,
2008-03,4410.00,
2008-04,4140.00,
2008-05,4090.00,
2008-06,4000.00,
2008-07,4010.00,
2008-08,4000.00,
2008-09,4010.00,
2008-10,4650.00,
2008-11,4900.00,
2008-12,4960.00,
2009-01,5070.00,
2009-02,5160.00,
2009-03,5120.00,
2009-04,5070.00,
2009-05,5050.00,
2009-06,5030.00,
2009-07,5000.00,
2009-08,4970.00,
2009-09,4900.00,
2009-10,4870.00,
2009-11,4790.00,
2009-12,4620.00,
2010-01,4770.00,
2010-02,4724.77,
2010-03,4701.25,
2010-04,4731.95,
2010-05,4750.07,
2010-06,4764.61,
2010-07,4756.91,
2010-08,4779.28,
2010-09,4860.31,
2010-10,4942.60,
2010-11,4696.12,
2010-12,4591.74,
2011-01,4645.74,
2011-02,4575.74,
2011-03,4078.63,
2011-04,3983.58,
2011-05,4049.47,
2011-06,3995.25,
2011-07,3816.06,
2011-08,3903.19,
2011-09,4190.97,
2011-10,4212.85,
2011-11,4461.31,
2011-12,4505.95,
2012-01,4730.17,
2012-02,4269.46,
2012-03,4336.51,
2012-04,4326.49,
2012-05,4529.51,
2012-06,4531.25,
2012-07,4408.48,
2012-08,4419.18,
2012-09,4461.30,
2012-10,4472.13,
2012-11,4427.24,
2012-12,4252.54,
2013-01,4125.27,
2013-02,4004.69,
2013-03,4015.41,
2013-04,4111.72,
2013-05,4298.94,
2013-06,4499.28,
2013-07,4436.29,
2013-08,4480.50,
2013-09,4445.30,
2013-10,4436.54,
2013-11,4433.72,
2013-12,4610.91,
2014-01,4688.29,
2014-02,4439.56,
2014-03,4445.57,
2014-04,4438.25,
2014-05,4424.64,
2014-06,4389.56,
2014-07,4302.97,
2014-08,4269.25,
2014-09,4505.97,
2014-10,4620.72,
2014-11,4632.90,
2014-12,4642.16,
2015-01,4822.64,
"","Source: Since 2003 Banco Central del Paraguay, Asunción 1990 - end of 2002 Dresdner Bank Lateinamerika AG, Hamburg (formerly: Deutsch-Südamerikanische Bank AG)",
