"",BBDA1.M.DE.N.IM.S.A.KR.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.KR.A.V.ABA.A_FLAGS
2012-11,730090,
2012-12,453655,
2013-01,967171,
2013-02,448391,
2013-03,631898,
2013-04,766305,
2013-05,737138,
2013-06,651651,
2013-07,740585,
2013-08,633444,
2013-09,669880,
2013-10,598216,
2013-11,649124,
2013-12,554509,
2014-01,654390,
2014-02,567364,
2014-03,818839,
2014-04,683085,
2014-05,805701,
2014-06,561230,
2014-07,635162,
2014-08,600522,
2014-09,780483,
2014-10,687318,
2014-11,585521,
2014-12,602951,
