"",BBFB1.M.N.DE.W1.S1P.S1.T.A.FA.O.F89.T._T._X.N,BBFB1.M.N.DE.W1.S1P.S1.T.A.FA.O.F89.T._T._X.N_FLAGS
2000-04,140.608,
2000-05,38.195,
2000-06,67.829,
2000-07,60.234,
2000-08,207.252,
2000-09,-12.974,
2000-10,33.061,
2000-11,9.833,
2000-12,31.822,
2001-01,-17.033,
2001-02,-12.358,
2001-03,1.676,
2001-04,-38.585,
2001-05,-11.369,
2001-06,62.793,
2001-07,20.853,
2001-08,97.506,
2001-09,51.088,
2001-10,77.763,
2001-11,27.921,
2001-12,-18.326,
2002-01,58.350,
2002-02,67.987,
2002-03,25.912,
2002-04,125.203,
2002-05,80.771,
2002-06,46.686,
2002-07,58.268,
2002-08,8.638,
2002-09,8.352,
2002-10,52.155,
2002-11,12.860,
2002-12,159.548,
2003-01,52.925,
2003-02,115.614,
2003-03,113.455,
2003-04,126.056,
2003-05,71.470,
2003-06,233.695,
2003-07,163.699,
2003-08,62.366,
2003-09,407.082,
2003-10,92.504,
2003-11,105.809,
2003-12,367.143,
2004-01,182.446,
2004-02,145.966,
2004-03,61.559,
2004-04,95.753,
2004-05,74.814,
2004-06,270.286,
2004-07,103.185,
2004-08,32.831,
2004-09,17.683,
2004-10,150.741,
2004-11,172.394,
2004-12,188.818,
2005-01,25.399,
2005-02,199.546,
2005-03,102.760,
2005-04,186.050,
2005-05,93.911,
2005-06,178.693,
2005-07,265.955,
2005-08,148.337,
2005-09,104.256,
2005-10,61.270,
2005-11,95.250,
2005-12,120.904,
2006-01,101.904,
2006-02,75.643,
2006-03,342.633,
2006-04,110.245,
2006-05,-16.720,
2006-06,66.778,
2006-07,82.724,
2006-08,172.555,
2006-09,418.686,
2006-10,202.003,
2006-11,90.494,
2006-12,97.106,
2007-01,91.487,
2007-02,54.238,
2007-03,52.261,
2007-04,103.515,
2007-05,82.702,
2007-06,-22.625,
2007-07,28.582,
2007-08,68.375,
2007-09,82.204,
2007-10,56.782,
2007-11,68.378,
2007-12,-147.647,
2008-01,77.137,
2008-02,56.748,
2008-03,78.268,
2008-04,56.372,
2008-05,3.319,
2008-06,-43.280,
2008-07,27.967,
2008-08,43.459,
2008-09,40.790,
2008-10,33.086,
2008-11,50.416,
2008-12,-51.476,
2009-01,66.934,
2009-02,47.532,
2009-03,30.427,
2009-04,73.403,
2009-05,57.135,
2009-06,50.287,
2009-07,82.032,
2009-08,54.328,
2009-09,60.302,
2009-10,55.125,
2009-11,56.150,
2009-12,97.129,
2010-01,51.858,
2010-02,-878.259,
2010-03,46.842,
2010-04,68.805,
2010-05,44.395,
2010-06,41.878,
2010-07,43.068,
2010-08,38.590,
2010-09,36.924,
2010-10,38.637,
2010-11,42.091,
2010-12,51.672,
2011-01,73.726,
2011-02,183.704,
2011-03,33.580,
2011-04,34.031,
2011-05,88.230,
2011-06,391.663,
2011-07,101.591,
2011-08,30.767,
2011-09,24.337,
2011-10,34.660,
2011-11,32.093,
2011-12,93.351,
2012-01,32.618,
2012-02,39.911,
2012-03,51.035,
2012-04,-318.963,
2012-05,-896.457,
2012-06,164.439,
2012-07,25.717,
2012-08,26.839,
2012-09,26.154,
2012-10,-407.175,
2012-11,6.970,
2012-12,95.390,
2013-01,34.213,
2013-02,12.636,
2013-03,24.563,
2013-04,-67.483,
2013-05,40.269,
2013-06,31.790,
2013-07,30.299,
2013-08,49.611,
2013-09,-184.705,
2013-10,17.423,
2013-11,-103.218,
2013-12,52.795,
2014-01,71.929,
2014-02,27.672,Provisional value
2014-03,81.794,Provisional value
2014-04,-142.283,Provisional value
2014-05,31.515,Provisional value
2014-06,62.091,Provisional value
2014-07,75.261,Provisional value
2014-08,96.589,Provisional value
2014-09,-2.720,
2014-10,-85.258,
2014-11,108.268,
2014-12,107.209,Provisional value
