"",BBDE1.M.DE.Y.AEB5.A2R290050.F.V.I10.A,BBDE1.M.DE.Y.AEB5.A2R290050.F.V.I10.A_FLAGS
1999-12,59.9,
2000-01,54.0,
2000-02,58.4,
2000-03,65.3,
2000-04,63.2,
2000-05,61.2,
2000-06,63.2,
2000-07,68.2,
2000-08,63.5,
2000-09,66.4,
2000-10,69.2,
2000-11,71.5,
2000-12,78.7,
2001-01,71.0,
2001-02,74.8,
2001-03,69.3,
2001-04,69.9,
2001-05,71.5,
2001-06,76.6,
2001-07,69.7,
2001-08,71.2,
2001-09,67.6,
2001-10,65.0,
2001-11,69.4,
2001-12,68.9,
2002-01,70.6,
2002-02,69.2,
2002-03,75.9,
2002-04,71.3,
2002-05,82.7,
2002-06,75.7,
2002-07,75.9,
2002-08,82.1,
2002-09,73.8,
2002-10,75.1,
2002-11,77.0,
2002-12,71.2,
2003-01,75.0,
2003-02,73.3,
2003-03,71.7,
2003-04,73.9,
2003-05,69.9,
2003-06,75.4,
2003-07,70.9,
2003-08,76.8,
2003-09,73.4,
2003-10,72.7,
2003-11,72.8,
2003-12,74.6,
2004-01,73.3,
2004-02,69.8,
2004-03,73.4,
2004-04,78.5,
2004-05,80.3,
2004-06,77.8,
2004-07,77.0,
2004-08,73.1,
2004-09,82.3,
2004-10,78.0,
2004-11,74.3,
2004-12,87.8,
2005-01,76.5,
2005-02,76.6,
2005-03,84.3,
2005-04,78.1,
2005-05,82.4,
2005-06,85.6,
2005-07,90.4,
2005-08,80.8,
2005-09,94.6,
2005-10,91.1,
2005-11,96.3,
2005-12,90.8,
2006-01,94.1,
2006-02,97.0,
2006-03,92.2,
2006-04,95.5,
2006-05,92.8,
2006-06,90.7,
2006-07,99.2,
2006-08,103.7,
2006-09,92.7,
2006-10,90.9,
2006-11,95.7,
2006-12,99.6,
2007-01,96.5,
2007-02,106.7,
2007-03,97.4,
2007-04,105.3,
2007-05,106.4,
2007-06,116.0,
2007-07,101.9,
2007-08,106.5,
2007-09,107.7,
2007-10,114.4,
2007-11,118.9,
2007-12,113.4,
2008-01,112.7,
2008-02,116.0,
2008-03,110.0,
2008-04,108.7,
2008-05,114.6,
2008-06,100.2,
2008-07,102.4,
2008-08,100.8,
2008-09,87.2,
2008-10,78.0,
2008-11,75.5,
2008-12,71.5,
2009-01,57.9,
2009-02,61.3,
2009-03,67.9,
2009-04,67.2,
2009-05,75.2,
2009-06,79.3,
2009-07,76.8,
2009-08,79.5,
2009-09,86.2,
2009-10,77.6,
2009-11,81.4,
2009-12,81.2,
2010-01,86.3,
2010-02,84.2,
2010-03,94.4,
2010-04,96.7,
2010-05,97.6,
2010-06,105.4,
2010-07,99.3,
2010-08,112.3,
2010-09,102.5,
2010-10,99.8,
2010-11,111.4,
2010-12,103.6,
2011-01,110.5,
2011-02,112.0,
2011-03,104.8,
2011-04,113.7,
2011-05,104.8,
2011-06,125.2,
2011-07,106.8,
2011-08,114.4,
2011-09,106.6,
2011-10,115.1,
2011-11,105.5,
2011-12,111.0,
2012-01,104.6,
2012-02,108.1,
2012-03,120.1,
2012-04,112.8,
2012-05,111.3,
2012-06,114.4,
2012-07,111.3,
2012-08,113.1,
2012-09,103.0,
2012-10,122.4,
2012-11,114.6,
2012-12,113.3,
2013-01,113.9,
2013-02,119.6,
2013-03,120.5,
2013-04,117.4,
2013-05,115.0,
2013-06,132.5,
2013-07,121.7,
2013-08,111.2,
2013-09,131.7,
2013-10,126.5,
2013-11,128.8,
2013-12,129.7,
2014-01,129.0,
2014-02,132.4,
2014-03,120.8,
2014-04,135.2,
2014-05,139.0,
2014-06,120.2,
2014-07,142.9,
2014-08,116.7,
2014-09,124.9,
2014-10,128.5,
2014-11,132.0,
2014-12,138.6,Provisional value
