"",BBDE1.M.DE.Y.FG01.A2P200000.F.M.I10.A,BBDE1.M.DE.Y.FG01.A2P200000.F.M.I10.A_FLAGS
2008-11,98.7,
2008-12,102.7,
2009-01,102.5,
2009-02,102.3,
2009-03,99.8,
2009-04,100.9,
2009-05,100.4,
2009-06,100.4,
2009-07,101.1,
2009-08,100.6,
2009-09,102.1,
2009-10,101.2,
2009-11,99.8,
2009-12,101.6,
2010-01,100.6,
2010-02,101.2,
2010-03,101.2,
2010-04,97.6,
2010-05,98.4,
2010-06,101.9,
2010-07,99.7,
2010-08,100.1,
2010-09,101.0,
2010-10,100.3,
2010-11,101.0,
2010-12,102.4,
2011-01,102.7,
2011-02,102.7,
2011-03,103.5,
2011-04,103.7,
2011-05,101.4,
2011-06,104.5,
2011-07,101.6,
2011-08,102.9,
2011-09,103.7,
2011-10,102.3,
2011-11,105.2,
2011-12,105.8,
2012-01,104.2,
2012-02,104.8,
2012-03,106.0,
2012-04,107.6,
2012-05,107.2,
2012-06,107.6,
2012-07,105.3,
2012-08,107.2,
2012-09,106.2,
2012-10,108.4,
2012-11,110.2,
2012-12,106.1,
2013-01,108.8,
2013-02,109.4,
2013-03,108.6,
2013-04,109.3,
2013-05,114.3,
2013-06,106.1,
2013-07,110.8,
2013-08,110.3,
2013-09,109.8,
2013-10,111.5,
2013-11,110.7,
2013-12,110.2,
2014-01,111.8,
2014-02,111.8,
2014-03,110.8,
2014-04,112.7,
2014-05,113.8,
2014-06,113.5,
2014-07,113.3,
2014-08,113.2,
2014-09,114.8,
2014-10,113.3,
2014-11,112.7,
2014-12,113.6,
