"",BBDE1.M.DE.Y.AEA1.A2Q400000.F.V.I10.A,BBDE1.M.DE.Y.AEA1.A2Q400000.F.V.I10.A_FLAGS
2009-08,83.7,
2009-09,86.4,
2009-10,85.2,
2009-11,87.8,
2009-12,86.7,
2010-01,87.7,
2010-02,90.9,
2010-03,94.0,
2010-04,99.0,
2010-05,99.3,
2010-06,100.6,
2010-07,101.4,
2010-08,102.6,
2010-09,102.6,
2010-10,103.6,
2010-11,107.3,
2010-12,106.6,
2011-01,110.9,
2011-02,111.4,
2011-03,109.9,
2011-04,109.1,
2011-05,108.3,
2011-06,110.9,
2011-07,111.4,
2011-08,109.8,
2011-09,107.4,
2011-10,107.7,
2011-11,105.3,
2011-12,106.6,
2012-01,106.9,
2012-02,107.5,
2012-03,107.1,
2012-04,107.7,
2012-05,109.0,
2012-06,106.9,
2012-07,107.7,
2012-08,106.8,
2012-09,105.4,
2012-10,106.4,
2012-11,105.3,
2012-12,107.3,
2013-01,104.8,
2013-02,105.4,
2013-03,108.6,
2013-04,106.5,
2013-05,107.4,
2013-06,109.0,
2013-07,106.1,
2013-08,109.6,
2013-09,109.1,
2013-10,109.1,
2013-11,110.5,
2013-12,111.2,
2014-01,111.6,
2014-02,111.4,
2014-03,109.9,
2014-04,110.2,
2014-05,107.9,
2014-06,110.3,
2014-07,111.3,
2014-08,110.2,
2014-09,111.7,
2014-10,114.6,
2014-11,112.4,
2014-12,116.0,Provisional value
