"",BBEX3.M.SGD.USD.CA.AC.A01,BBEX3.M.SGD.USD.CA.AC.A01_FLAGS
1999-06,1.70200,
1999-07,1.68850,
1999-08,1.68450,
1999-09,1.69650,
1999-10,1.66800,
1999-11,1.68300,
1999-12,1.66650,
2000-01,1.70300,
2000-02,1.71400,
2000-03,1.71900,
2000-04,1.70500,
2000-05,1.73000,
2000-06,1.72800,
2000-07,1.73400,
2000-08,1.72000,
2000-09,1.74000,
2000-10,1.75450,
2000-11,1.75900,
2000-12,1.73290,
2001-01,1.74400,
2001-02,1.74150,
2001-03,1.79950,
2001-04,1.81900,
2001-05,1.81000,
2001-06,1.82000,
2001-07,1.80400,
2001-08,1.74000,
2001-09,1.76500,
2001-10,1.82250,
2001-11,1.83150,
2001-12,1.85080,
2002-01,1.83380,
2002-02,1.83530,
2002-03,1.84230,
2002-04,1.80970,
2002-05,1.78550,
2002-06,1.76550,
2002-07,1.76630,
2002-08,1.74950,
2002-09,1.77870,
2002-10,1.76940,
2002-11,1.76240,
2002-12,1.73500,
2003-01,1.73890,
2003-02,1.73645,
2003-03,1.76605,
2003-04,1.77430,
2003-05,1.72900,
2003-06,1.75760,
2003-07,1.75800,
2003-08,1.75530,
2003-09,1.72975,
2003-10,1.73765,
2003-11,1.72490,
2003-12,1.70280,
2004-01,1.70040,
2004-02,1.69865,
2004-03,1.68050,
2004-04,1.70485,
2004-05,1.69855,
2004-06,1.71550,
2004-07,1.71960,
2004-08,1.71400,
2004-09,1.69055,
2004-10,1.66360,
2004-11,1.64170,
2004-12,1.64050,
2005-01,1.63730,
2005-02,1.62660,
2005-03,1.64825,
2005-04,1.64240,
2005-05,1.66095,
2005-06,1.68590,
2005-07,1.66170,
2005-08,1.68505,
2005-09,1.68970,
2005-10,1.69190,
2005-11,1.69380,
2005-12,1.66325,
2006-01,1.62540,
2006-02,1.62335,
2006-03,1.61810,
2006-04,1.58360,
2006-05,1.57795,
2006-06,1.59020,
2006-07,1.58020,
2006-08,1.57405,
2006-09,1.58760,
2006-10,1.56275,
2006-11,1.54545,
2006-12,1.53555,
2007-01,1.53690,
2007-02,1.53060,
2007-03,1.51720,
2007-04,1.51980,
2007-05,1.52790,
2007-06,1.53260,
2007-07,1.51170,
2007-08,1.52240,
2007-09,1.49090,
2007-10,1.44920,
2007-11,1.44580,
2007-12,1.44120,
2008-01,1.41840,
2008-02,1.39290,
2008-03,1.37990,
2008-04,1.36190,
2008-05,1.36510,
2008-06,1.36160,
2008-07,1.36760,
2008-08,1.41600,
2008-09,1.43140,
2008-10,1.48070,
2008-11,1.50720,
2008-12,1.43920,
2009-01,1.50820,
2009-02,1.54120,
2009-03,1.51940,
2009-04,1.47880,
2009-05,1.45050,
2009-06,1.44980,
2009-07,1.44080,
2009-08,1.44190,
2009-09,1.41410,
2009-10,1.39680,
2009-11,1.38280,
2009-12,1.40340,
2010-01,1.40460,
2010-02,1.40870,
2010-03,1.40280,
2010-04,1.36820,
2010-05,1.40170,
2010-06,1.40130,
2010-07,1.36230,
2010-08,1.35570,
2010-09,1.31750,
2010-10,1.29870,
2010-11,1.31910,
2010-12,1.28750,
2011-01,1.28650,
2011-02,1.27380,
2011-03,1.26170,
2011-04,1.22770,
2011-05,1.23280,
2011-06,1.22920,
2011-07,1.20410,
2011-08,1.20460,
2011-09,1.30030,
2011-10,1.25020,
2011-11,1.29560,
2011-12,1.30070,
2012-01,1.25470,
2012-02,1.24740,
2012-03,1.25720,
2012-04,1.23720,
2012-05,1.28820,
2012-06,1.27370,
2012-07,1.24540,
2012-08,1.25230,
2012-09,1.22190,
2012-10,1.22050,
2012-11,1.22090,
2012-12,1.22210,
2013-01,1.23890,
2013-02,1.23630,
2013-03,1.24360,
2013-04,1.23420,
2013-05,1.26130,
2013-06,1.26520,
2013-07,1.27380,
2013-08,1.27570,
2013-09,1.25720,
2013-10,1.23940,
2013-11,1.25550,
2013-12,1.26530,
2014-01,1.27590,
2014-02,1.26720,
2014-03,1.26050,
2014-04,1.25650,
2014-05,1.25480,
2014-06,1.24900,
2014-07,1.24580,
2014-08,1.24920,
2014-09,1.27280,
2014-10,1.27790,
2014-11,1.30250,
2014-12,1.32130,
2015-01,1.35120,
"","General: Under an agreement between Singapore and Brunei Darussalam, the Brunei dollar (convertible at par) is also accepted as legal tender.",
"","Source: Since 2007 Monetary Authority of Singapore Previously calculated on the basis of the buying and selling rates of the following banks: December 2001 - December 2006 Deutsche Bank, Singapore Branch 1997 - November 2001 BHF-Bank, Singapore Branch 1989 - 1996 The Hongkong and Shanghai Banking Corporation, Singapore",
