"",BBEX3.M.LYD.USD.CA.AA.A01,BBEX3.M.LYD.USD.CA.AA.A01_FLAGS
2001-02,0.544439,
2001-03,0.557045,
2001-04,0.551840,
2001-05,0.559183,
2001-06,0.654242,
2001-07,0.648061,
2001-08,0.634419,
2001-09,0.632235,
2001-10,0.637242,
2001-11,0.645393,
2001-12,0.649048,
2002-01,1.318293,comment
2002-02,1.321596,
2002-03,1.315257,
2002-04,1.291200,
2002-05,1.275057,
2002-06,1.232573,
2002-07,1.237176,
2002-08,1.235312,
2002-09,1.244066,
2002-10,1.236346,
2002-11,1.237830,
2002-12,1.210625,
2003-01,1.188722,
2003-02,1.197821,
2003-03,1.203191,
2003-04,1.192066,
2003-05,1.154892,
2003-06,1.375057,comment
2003-07,1.377553,
2003-08,1.399557,
2003-09,1.363868,
2003-10,1.340470,
2003-11,1.338980,
2003-12,1.301866,
2004-01,1.290958,
2004-02,1.302349,
2004-03,1.306693,
2004-04,1.328139,
2004-05,1.312324,
2004-06,1.313442,
2004-07,1.323443,
2004-08,1.322118,
2004-09,1.312620,
2004-10,1.286091,
2004-11,1.258483,
2004-12,1.244404,
2005-01,1.267428,
2005-02,1.264344,
2005-03,1.277626,
2005-04,1.274771,
2005-05,1.297886,
2005-06,1.321031,
2005-07,1.333643,
2005-08,1.320189,
2005-09,1.330357,
2005-10,1.327380,
2005-11,1.351286,
2005-12,1.348638,
2006-01,1.335242,
2006-02,1.344631,
2006-03,1.340610,
2006-04,1.318789,
2006-05,1.290535,
2006-06,1.311093,
2006-07,1.303909,
2006-08,1.296794,
2006-09,1.302235,
2006-10,1.300530,
2006-11,1.279943,
2006-12,1.281781,
2007-01,1.292248,
2007-02,1.280436,
2007-03,1.273785,
2007-04,1.263374,
2007-05,1.274855,
2007-06,1.273542,
2007-07,1.259207,
2007-08,1.257703,
2007-09,1.238280,
2007-10,1.228650,
2007-11,1.212253,
2007-12,1.221155,
2008-01,1.211058,
2008-02,1.204100,
2008-03,1.171100,
2008-04,1.185800,
2008-05,1.183300,
2008-06,1.182600,
2008-07,1.189500,
2008-08,1.227800,
2008-09,1.227100,
2008-10,1.293600,
2008-11,1.290100,
2008-12,1.245400,
2009-01,1.275500,
2009-02,1.305900,
2009-03,1.293600,
2009-04,1.286500,
2009-05,1.245200,
2009-06,1.243300,
2009-07,1.240900,
2009-08,1.232500,
2009-09,1.221900,
2009-10,1.214500,
2009-11,1.196900,
2009-12,1.234000,
2010-01,1.240200,
2010-02,1.257700,
2010-03,1.268500,
2010-04,1.279500,
2010-05,1.307400,
2010-06,1.306700,
2010-07,1.272500,
2010-08,1.278200,
2010-09,1.241600,
2010-10,1.221800,
2010-11,1.264300,
2010-12,1.251000,
2011-01,1.235300,
2011-02,1.228400,
2011-03,1.216900,
2011-04,1.188700,
2011-05,1.207700,
2011-06,1.208600,
2011-07,1.196600,
2011-08,1.198100,comment
2011-09,1.230000,
2011-10,1.218500,
2011-11,1.222000,
2011-12,1.256500,
2012-01,1.242600,
2012-02,1.237800,
2012-03,1.246100,
2012-04,1.241700,
2012-05,1.277000,
2012-06,1.272500,
2012-07,1.278100,
2012-08,1.267500,
2012-09,1.252800,
2012-10,1.252500,
2012-11,1.257800,
2012-12,1.253300,
2013-01,1.249800,
2013-02,1.271900,
2013-03,1.287300,
2013-04,1.276200,
2013-05,1.287200,
2013-06,1.283900,
2013-07,1.273600,
2013-08,1.268800,
2013-09,1.256600,
2013-10,1.251500,
2013-11,1.256300,
2013-12,1.250300,
2014-01,1.252100,
2014-02,1.249900,
2014-03,1.248400,
2014-04,1.244600,
2014-05,1.250000,
2014-06,1.247100,
2014-07,1.253000,
2014-08,1.258800,
2014-09,1.295100,
2014-10,1.296700,
2014-11,1.313400,
2014-12,1.331200,
2015-01,1.369000,
"","Source: Central Bank of Libya, Tripolis",
"","Comment on 1994-11: On 1 November 1994, the Libyan dinar was devalued. We recorded the following exchange rates (buying/selling rate) for this date:  USD 1 = LYD 0.352760 / 0.354529  Calculated devaluation against the rates recorded at 31 October 1994: 15.4%",
"","Comment on 1998-10: On 31 October 1998, the Libyan dinar was devalued.  Compared with the buying and selling rates of 29 October 1998 (USD 1 = LYD 0.372024 / 0.373889), there was a devaluation of 17.2%.",
"","Comment on 2002-01: On 1 January 2002, the Libyan dinar was devalued. We recorded the following exchange rates (buying/selling rate) for this date:  USD 1 = LYD 1.306039 / 1.312585  Calculated devaluation against the rates recorded at end-December 2001: 50.3%",
"","Comment on 2003-06: On 15 June 2003, the exchange rate were adjusted more sharply. We recorded the following exchange rates (buying/selling rate) for this date:  14 June 2003: USD 1 = LYD 1.153998 / 1.159783  15 June 2003: USD 1 = LYD 1.356440 / 1.363240  Calculated devaluation: 14.9%",
"",Comment on 2011-08: Exchange rate on 17 August 2011; no exchange rates were published between 18 August and 5 September 2011.,
