"",BBFB1.M.N.DE.W1.S1.S1.T.LI.FA.P.F3.S._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.LI.FA.P.F3.S._T._X.N_FLAGS
2013-09,71664.208,
2013-10,88269.850,
2013-11,89838.661,
2013-12,72536.427,
2014-01,90387.175,
2014-02,82435.082,Provisional value
2014-03,74788.867,Provisional value
2014-04,71491.601,Provisional value
2014-05,82437.402,Provisional value
2014-06,66578.795,Provisional value
2014-07,74546.147,Provisional value
2014-08,87694.703,Provisional value
2014-09,64365.753,
2014-10,45705.107,
2014-11,70165.467,
2014-12,70823.739,Provisional value
