"",BBEX3.M.BIF.USD.CA.AB.A01,BBEX3.M.BIF.USD.CA.AB.A01_FLAGS
2009-08,1240.5960,
2009-09,1240.5960,
2009-10,1240.3440,
2009-11,1240.3440,
2009-12,1240.3440,
2010-01,1239.8400,
2010-02,1239.8400,
2010-03,1239.8400,
2010-04,1239.9408,
2010-05,1239.9408,
2010-06,1240.6464,
2010-07,1240.7472,
2010-08,1240.7472,comment
2010-09,1246.3875,
2010-10,1246.4888,
2010-11,1247.9063,
2010-12,1248.3113,
2011-01,1249.4250,
2011-02,1251.0450,
2011-03,1252.2600,
2011-04,1253.6775,
2011-05,1255.7025,
2011-06,1258.6388,
2011-07,1265.3213,
2011-08,1274.8388,
2011-09,1287.5963,
2011-10,1309.6688,
2011-11,1348.3463,
2011-12,1378.5188,
2012-01,1404.6413,
2012-02,1424.6888,
2012-03,1416.6596,
2012-04,1418.3910,
2012-05,1429.5083,
2012-06,1457.8380,
2012-07,1484.5376,
2012-08,1491.5846,
2012-09,1495.0170,
2012-10,1505.3141,
2012-11,1531.3354,
2012-12,1565.3959,
2013-01,1605.2378,
2013-02,1739.0194,
2013-03,1587.3968,
2013-04,1569.1461,
2013-05,1555.2384,
2013-06,1552.1478,
2013-07,1552.8750,
2013-08,1554.4910,
2013-09,1554.6829,
2013-10,1554.8647,
2013-11,1556.0262,
2013-12,1557.4099,
2014-01,1558.6320,
2014-02,1559.5208,
2014-03,1560.0056,
2014-04,1560.5308,
2014-05,1561.0863,
2014-06,1562.0761,
2014-07,1562.8336,
2014-08,1563.3790,
2014-09,1564.1769,
2014-10,1564.9142,
2014-11,1565.5202,
2014-12,1568.5805,
2015-01,1569.3885,
"","Source: Since September 2010: Banque de Credit de Bujumbura, Bujumbura. 1990 - August 2010: Banque de la Republique du Burundi, Bujumbura.",
"","Comment on 1991-08: On 9 August 1991, the Burundi franc was devalued. We recorded the following exchange rates (buying/selling rate).  8 August 1991: USD 1 = BIF 171.6329 / 173.3578  9 August 1991: USD 1 = BIF 201.3891 / 203.4131.  Calculated devaluation of the Burundi franc: 14.8% .",
"",Comment on 2008-12: Exchange rate as of 23 December 2008.,
"",Comment on 2010-08: Exchange rate as of 26 August 2010.,
