"",BBFN1.M.DE.N.1.L.W1.S1P.F0.S.NV00.EUR.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.F0.S.NV00.EUR.BGA.X001.D_FLAGS
1999-04,41.047,
1999-05,43.022,
1999-06,45.239,
1999-07,44.336,
1999-08,45.719,
1999-09,45.133,
1999-10,50.609,
1999-11,47.039,
1999-12,54.743,
2000-01,52.479,
2000-02,51.887,
2000-03,56.461,
2000-04,55.062,
2000-05,59.654,
2000-06,66.129,
2000-07,66.569,
2000-08,81.755,
2000-09,105.868,
2000-10,110.422,
2000-11,109.851,
2000-12,114.600,
2001-01,119.224,
2001-02,126.477,
2001-03,115.255,
2001-04,113.378,
2001-05,114.312,
2001-06,122.899,
2001-07,123.740,
2001-08,123.666,
2001-09,125.993,
2001-10,122.934,
2001-11,117.972,
2001-12,120.658,
2002-01,111.699,
2002-02,115.273,
2002-03,115.839,
2002-04,115.934,
2002-05,122.394,
2002-06,123.128,
2002-07,119.497,
2002-08,118.751,
2002-09,123.507,
2002-10,123.576,
2002-11,121.242,
2002-12,120.151,
2003-01,127.307,
2003-02,128.601,
2003-03,128.634,
2003-04,128.700,
2003-05,133.142,
2003-06,136.243,
2003-07,137.885,
2003-08,137.947,
2003-09,139.231,
2003-10,127.584,
2003-11,132.635,
2003-12,132.591,
2004-01,133.236,
2004-02,139.225,
2004-03,132.412,
2004-04,129.137,
2004-05,127.766,
2004-06,127.388,
2004-07,128.906,
2004-08,127.395,
2004-09,122.784,
2004-10,120.104,
2004-11,122.222,
2004-12,122.826,
2005-01,119.532,
2005-02,117.549,
2005-03,119.805,
2005-04,113.270,
2005-05,115.241,
2005-06,119.940,
2005-07,117.667,
2005-08,118.036,
2005-09,118.856,
2005-10,120.752,
2005-11,121.082,
2005-12,130.456,
2006-01,125.821,
2006-02,129.485,
2006-03,126.723,
2006-04,124.856,
2006-05,134.544,
2006-06,131.855,
2006-07,131.586,
2006-08,133.264,
2006-09,136.575,
2006-10,136.031,
2006-11,139.014,
2006-12,145.672,
2007-01,147.522,
2007-02,148.837,
2007-03,152.095,
2007-04,154.409,
2007-05,155.775,
2007-06,157.805,
2007-07,158.115,
2007-08,157.206,
2007-09,152.626,
2007-10,151.609,
2007-11,147.202,
2007-12,146.051,
2008-01,139.380,
2008-02,136.393,
2008-03,139.968,
2008-04,141.428,
2008-05,137.615,
2008-06,140.855,
2008-07,139.992,
2008-08,140.331,
2008-09,140.489,
2008-10,138.704,
2008-11,138.378,
2008-12,143.209,
2009-01,138.978,
2009-02,141.454,
2009-03,142.140,
2009-04,143.832,
2009-05,145.138,
2009-06,144.290,
2009-07,142.076,
2009-08,140.999,
2009-09,143.284,
2009-10,146.777,
2009-11,146.150,
2009-12,157.933,
2010-01,150.876,
2010-02,151.771,
2010-03,150.036,
2010-04,147.940,
2010-05,149.766,
2010-06,147.395,
2010-07,146.986,
2010-08,151.115,
2010-09,155.713,
2010-10,154.436,
2010-11,155.906,
2010-12,155.633,
2011-01,156.567,
2011-02,154.684,
2011-03,154.384,
2011-04,154.883,
2011-05,154.874,
2011-06,167.188,
2011-07,168.710,
2011-08,172.714,
2011-09,177.117,
2011-10,170.552,
2011-11,179.287,
2011-12,181.842,
2012-01,180.971,
2012-02,178.847,
2012-03,182.280,
2012-04,175.985,
2012-05,174.713,
2012-06,182.716,
2012-07,186.806,
2012-08,182.833,
2012-09,185.849,
2012-10,188.561,
2012-11,192.388,
2012-12,192.971,
2013-01,190.096,
2013-02,188.283,
2013-03,193.107,
2013-04,193.270,
2013-05,198.372,
2013-06,199.727,
2013-07,194.041,
2013-08,191.289,
2013-09,195.661,
2013-10,192.326,
2013-11,193.772,
2013-12,197.507,
2014-01,194.829,
2014-02,198.633,
2014-03,196.396,
2014-04,193.201,
2014-05,196.925,
2014-06,199.538,
2014-07,195.850,
2014-08,202.466,
2014-09,190.447,
2014-10,186.082,
2014-11,187.630,
2014-12,174.425,
"","General: From January 1999, including national currencies of the euro-area member states.",
