"",BBFB1.M.N.DE.W1.S1.S1.T.B.FT___CIF._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.FT___CIF._Z._Z._Z._T._X.N_FLAGS
2012-09,-591.750,
2012-10,-1083.824,
2012-11,-724.064,
2012-12,-1457.582,
2013-01,-520.343,
2013-02,-1633.350,
2013-03,528.324,
2013-04,662.478,
2013-05,1997.208,
2013-06,181.905,
2013-07,-1080.731,
2013-08,-1786.342,
2013-09,-1217.942,
2013-10,-170.135,
2013-11,-257.457,
2013-12,-1216.642,
2014-01,-752.888,
2014-02,127.900,Provisional value
2014-03,1960.161,Provisional value
2014-04,-120.866,Provisional value
2014-05,-1519.495,Provisional value
2014-06,913.105,Provisional value
2014-07,-1648.404,Provisional value
2014-08,-608.812,Provisional value
2014-09,-30.132,
2014-10,-1445.119,
2014-11,-489.753,
2014-12,-1866.133,Provisional value
