"",BBFB1.M.N.DE.W1.S1.S1.T.C.SI2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.SI2._Z._Z._Z._T._X.N_FLAGS
2007-07,588.147,
2007-08,568.864,
2007-09,1041.960,
2007-10,595.875,
2007-11,672.631,
2007-12,1773.821,
2008-01,686.331,
2008-02,713.924,
2008-03,870.541,
2008-04,624.998,
2008-05,823.858,
2008-06,1177.620,
2008-07,775.750,
2008-08,667.526,
2008-09,967.017,
2008-10,674.803,
2008-11,763.975,
2008-12,1844.924,
2009-01,685.813,
2009-02,689.873,
2009-03,947.404,
2009-04,798.360,
2009-05,841.204,
2009-06,1010.229,
2009-07,911.787,
2009-08,740.132,
2009-09,923.634,
2009-10,688.758,
2009-11,868.640,
2009-12,1781.540,
2010-01,712.449,
2010-02,809.669,
2010-03,1206.840,
2010-04,884.238,
2010-05,997.083,
2010-06,1260.547,
2010-07,960.899,
2010-08,879.272,
2010-09,1177.032,
2010-10,886.071,
2010-11,1081.192,
2010-12,2195.606,
2011-01,874.587,
2011-02,852.162,
2011-03,1214.548,
2011-04,1053.006,
2011-05,997.521,
2011-06,1260.020,
2011-07,983.471,
2011-08,988.929,
2011-09,1323.777,
2011-10,1031.077,
2011-11,1169.512,
2011-12,2576.280,
2012-01,1081.477,
2012-02,1054.956,
2012-03,1337.232,
2012-04,1163.236,
2012-05,1151.306,
2012-06,1746.461,
2012-07,1217.921,
2012-08,1116.306,
2012-09,1434.549,
2012-10,1279.900,
2012-11,1209.294,
2012-12,2414.365,
2013-01,1243.375,
2013-02,962.514,
2013-03,1437.470,
2013-04,1391.862,
2013-05,1122.546,
2013-06,1796.283,
2013-07,1248.925,
2013-08,1109.183,
2013-09,1611.268,
2013-10,1218.599,
2013-11,1230.025,
2013-12,2678.167,
2014-01,1145.752,
2014-02,1134.294,Provisional value
2014-03,1568.259,Provisional value
2014-04,1184.487,Provisional value
2014-05,1307.748,Provisional value
2014-06,2033.197,Provisional value
2014-07,1288.251,Provisional value
2014-08,1177.404,Provisional value
2014-09,1680.270,
2014-10,1399.195,
2014-11,1320.722,
2014-12,2830.302,Provisional value
