"",BBFB1.M.N.DE.W1.S1.S1.T.D.SC._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.SC._Z._Z._Z._T._X.N_FLAGS
1999-01,1482.655,
1999-02,1625.245,
1999-03,1702.769,
1999-04,1924.431,
1999-05,1827.326,
1999-06,1962.460,
1999-07,2015.780,
1999-08,1915.386,
1999-09,2072.979,
1999-10,2046.959,
1999-11,2096.315,
1999-12,2291.105,
2000-01,1828.238,
2000-02,1915.205,
2000-03,2097.023,
2000-04,2149.129,
2000-05,2392.317,
2000-06,2320.926,
2000-07,2360.523,
2000-08,2406.070,
2000-09,2408.245,
2000-10,2484.917,
2000-11,2627.874,
2000-12,2563.593,
2001-01,2155.275,
2001-02,2175.708,
2001-03,2268.974,
2001-04,2362.261,
2001-05,2437.250,
2001-06,2444.300,
2001-07,2533.062,
2001-08,2435.599,
2001-09,2268.925,
2001-10,2435.279,
2001-11,2474.906,
2001-12,2474.999,
2002-01,2149.238,
2002-02,2421.286,
2002-03,2429.864,
2002-04,2638.015,
2002-05,2491.996,
2002-06,2545.872,
2002-07,2600.787,
2002-08,2710.330,
2002-09,2589.456,
2002-10,2737.082,
2002-11,2697.786,
2002-12,2822.630,
2003-01,2541.474,
2003-02,2347.502,
2003-03,2440.618,
2003-04,2559.578,
2003-05,2413.091,
2003-06,2389.264,
2003-07,2831.637,
2003-08,2450.700,
2003-09,2757.219,
2003-10,2712.348,
2003-11,2633.790,
2003-12,2563.364,
2004-01,2636.059,
2004-02,2511.298,
2004-03,2878.875,
2004-04,2692.378,
2004-05,2678.626,
2004-06,2768.171,
2004-07,3013.122,
2004-08,2729.611,
2004-09,3064.372,
2004-10,3016.859,
2004-11,3020.458,
2004-12,2832.653,
2005-01,2744.170,
2005-02,2664.158,
2005-03,2898.455,
2005-04,2962.964,
2005-05,3046.680,
2005-06,3290.100,
2005-07,3035.284,
2005-08,3236.929,
2005-09,3210.219,
2005-10,3160.039,
2005-11,3200.970,
2005-12,3223.762,
2006-01,3018.184,
2006-02,3057.014,
2006-03,3650.019,
2006-04,3212.997,
2006-05,3445.494,
2006-06,3463.074,
2006-07,3517.796,
2006-08,3701.702,
2006-09,3511.208,
2006-10,3732.935,
2006-11,3731.452,
2006-12,3595.468,
2007-01,3451.209,
2007-02,3485.070,
2007-03,3594.495,
2007-04,3579.457,
2007-05,3842.858,
2007-06,3879.169,
2007-07,3987.088,
2007-08,4250.263,
2007-09,3722.212,
2007-10,4272.921,
2007-11,4135.659,
2007-12,3932.078,
2008-01,4131.046,
2008-02,4264.267,
2008-03,4167.889,
2008-04,4303.110,
2008-05,4393.235,
2008-06,4303.578,
2008-07,4451.566,
2008-08,4280.359,
2008-09,4343.755,
2008-10,4264.829,
2008-11,4105.145,
2008-12,3531.771,
2009-01,3016.525,
2009-02,3184.196,
2009-03,3305.202,
2009-04,3130.106,
2009-05,3094.444,
2009-06,3325.037,
2009-07,3459.554,
2009-08,3231.593,
2009-09,3513.880,
2009-10,3463.538,
2009-11,3369.629,
2009-12,3378.707,
2010-01,3363.863,
2010-02,3536.750,
2010-03,4307.761,
2010-04,4112.796,
2010-05,4276.074,
2010-06,4546.416,
2010-07,4430.116,
2010-08,4401.843,
2010-09,4464.829,
2010-10,4304.056,
2010-11,4450.956,
2010-12,4254.250,
2011-01,3893.372,
2011-02,4170.921,
2011-03,4567.372,
2011-04,4104.010,
2011-05,4350.679,
2011-06,4347.133,
2011-07,4245.771,
2011-08,4417.226,
2011-09,4522.899,
2011-10,4266.521,
2011-11,4510.397,
2011-12,4035.164,
2012-01,4335.069,
2012-02,4295.348,
2012-03,4677.703,
2012-04,4303.279,
2012-05,4752.154,
2012-06,4546.002,
2012-07,4692.764,
2012-08,4709.339,
2012-09,4398.330,
2012-10,4812.384,
2012-11,4560.437,
2012-12,4167.907,
2013-01,4772.414,
2013-02,4275.653,
2013-03,4834.108,
2013-04,4878.614,
2013-05,4932.871,
2013-06,4805.131,
2013-07,5181.354,
2013-08,4827.651,
2013-09,4658.539,
2013-10,5136.580,
2013-11,4923.469,
2013-12,4594.256,
2014-01,4897.544,
2014-02,4661.892,Provisional value
2014-03,4666.276,Provisional value
2014-04,4816.255,Provisional value
2014-05,4782.719,Provisional value
2014-06,4737.527,Provisional value
2014-07,5040.474,Provisional value
2014-08,4579.366,Provisional value
2014-09,5038.895,
2014-10,5172.200,
2014-11,4608.448,
2014-12,4572.049,Provisional value
