"",BBFN1.M.DE.N.1.L.W1.S1P.H1.T.N000.EUR.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.H1.T.N000.EUR.BGA.X001.D_FLAGS
2010-01,50.998,
2010-02,52.449,
2010-03,56.946,
2010-04,55.097,
2010-05,57.302,
2010-06,60.343,
2010-07,57.971,
2010-08,54.962,
2010-09,60.816,
2010-10,61.652,
2010-11,60.623,
2010-12,61.501,
2011-01,59.503,
2011-02,60.728,
2011-03,63.921,
2011-04,62.111,
2011-05,61.563,
2011-06,62.719,
2011-07,61.614,
2011-08,56.917,
2011-09,63.355,
2011-10,62.589,
2011-11,64.486,
2011-12,67.674,
2012-01,61.343,
2012-02,64.208,
2012-03,66.448,
2012-04,63.541,
2012-05,62.283,
2012-06,64.874,
2012-07,62.074,
2012-08,58.641,
2012-09,64.868,
2012-10,66.087,
2012-11,66.302,
2012-12,70.849,
2013-01,67.201,
2013-02,68.303,
2013-03,70.127,
2013-04,66.246,
2013-05,65.545,
2013-06,67.718,
2013-07,64.771,
2013-08,64.165,
2013-09,72.071,
2013-10,70.983,
2013-11,73.116,
2013-12,69.939,
2014-01,63.723,
2014-02,66.498,
2014-03,70.865,
2014-04,67.592,
2014-05,66.761,
2014-06,68.814,
2014-07,67.884,
2014-08,64.464,
2014-09,70.826,
2014-10,69.655,
2014-11,72.025,
2014-12,68.381,
"","General: From January 1999, including national currencies of the euro-area member states.",
