"",BBDE1.M.DE.Y.AEA1.N2C240000.F.V.I10.A,BBDE1.M.DE.Y.AEA1.N2C240000.F.V.I10.A_FLAGS
2012-09,98.6,
2012-10,102.0,
2012-11,100.5,
2012-12,104.7,
2013-01,96.9,
2013-02,98.8,
2013-03,99.3,
2013-04,98.2,
2013-05,98.7,
2013-06,99.0,
2013-07,98.2,
2013-08,98.6,
2013-09,97.5,
2013-10,100.1,
2013-11,96.2,
2013-12,99.5,
2014-01,94.1,
2014-02,97.9,
2014-03,100.4,
2014-04,96.8,
2014-05,95.4,
2014-06,97.7,
2014-07,96.3,
2014-08,98.8,
2014-09,101.9,
2014-10,102.1,
2014-11,95.6,
2014-12,98.9,Provisional value
