"",BBFN1.M.DE.N.1.A.PA.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.PA.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1994-11,0.464,
1994-12,0.451,
1995-01,0.492,
1995-02,0.354,
1995-03,0.386,
1995-04,0.361,
1995-05,0.325,
1995-06,0.338,
1995-07,0.347,
1995-08,0.341,
1995-09,0.365,
1995-10,0.403,
1995-11,0.293,
1995-12,0.235,
1996-01,0.274,
1996-02,0.246,
1996-03,0.265,
1996-04,0.241,
1996-05,0.188,
1996-06,0.161,
1996-07,0.191,
1996-08,0.208,
1996-09,0.327,
1996-10,0.280,
1996-11,0.333,
1996-12,0.300,
1997-01,0.218,
1997-02,0.266,
1997-03,0.250,
1997-04,0.357,
1997-05,0.381,
1997-06,0.223,
1997-07,0.236,
1997-08,0.199,
1997-09,0.296,
1997-10,0.298,
1997-11,0.270,
1997-12,0.297,
1998-01,0.374,
1998-02,0.353,
1998-03,0.256,
1998-04,0.321,
1998-05,0.434,
1998-06,0.413,
1998-07,0.501,
1998-08,0.389,
1998-09,0.329,
1998-10,0.254,
1998-11,0.288,
1998-12,0.186,
1999-01,0.249,
1999-02,0.302,
1999-03,0.280,
1999-04,0.337,
1999-05,0.163,
1999-06,0.375,
1999-07,0.329,
1999-08,0.369,
1999-09,0.432,
1999-10,0.210,
1999-11,0.193,
1999-12,0.278,
2000-01,0.579,
2000-02,0.560,
2000-03,0.516,
2000-04,0.445,
2000-05,0.472,
2000-06,0.368,
2000-07,0.491,
2000-08,0.282,
2000-09,0.483,
2000-10,0.261,
2000-11,0.481,
2000-12,0.091,
2001-01,0.171,
2001-02,0.181,
2001-03,0.216,
2001-04,0.216,
2001-05,0.180,
2001-06,0.166,
2001-07,0.125,
2001-08,0.261,
2001-09,0.149,
2001-10,0.148,
2001-11,0.111,
2001-12,0.123,
2002-01,0.104,
2002-02,0.110,
2002-03,0.095,
2002-04,0.101,
2002-05,0.108,
2002-06,0.102,
2002-07,0.149,
2002-08,0.116,
2002-09,0.129,
2002-10,0.133,
2002-11,0.153,
2002-12,0.085,
2003-01,0.085,
2003-02,0.083,
2003-03,0.095,
2003-04,0.083,
2003-05,0.084,
2003-06,0.086,
2003-07,0.088,
2003-08,0.088,
2003-09,0.088,
2003-10,0.105,
2003-11,0.106,
2003-12,0.121,
2004-01,0.136,
2004-02,0.141,
2004-03,0.141,
2004-04,0.142,
2004-05,0.141,
2004-06,0.137,
2004-07,0.133,
2004-08,0.131,
2004-09,0.127,
2004-10,0.127,
2004-11,0.125,
2004-12,0.122,
2005-01,0.122,
2005-02,0.122,
2005-03,0.099,
2005-04,0.101,
2005-05,0.102,
2005-06,0.103,
2005-07,0.108,
2005-08,0.109,
2005-09,0.109,
2005-10,0.110,
2005-11,0.110,
2005-12,0.112,
2006-01,0.114,
2006-02,0.117,
2006-03,0.115,
2006-04,0.119,
2006-05,0.127,
2006-06,0.127,
2006-07,0.130,
2006-08,0.130,
2006-09,0.117,
2006-10,0.123,
2006-11,0.124,
2006-12,0.122,
2007-01,0.123,
2007-02,0.123,
2007-03,0.125,
2007-04,0.128,
2007-05,0.123,
2007-06,0.122,
2007-07,0.124,
2007-08,0.124,
2007-09,0.111,
2007-10,0.043,
2007-11,0.028,
2007-12,0.031,
2008-01,0.102,
2008-02,0.103,
2008-03,0.108,
2008-04,0.113,
2008-05,0.112,
2008-06,0.105,
2008-07,0.036,
2008-08,0.037,
2008-09,0.053,
2008-10,0.054,
2008-11,0.054,
2008-12,0.054,
2009-01,0.051,
2009-02,0.052,
2009-03,0.056,
2009-04,0.056,
2009-05,0.054,
2009-06,0.066,
2009-07,0.067,
2009-08,0.064,
2009-09,0.065,
2009-10,0.066,
2009-11,0.067,
2009-12,0.042,
2010-01,0.043,
2010-02,0.044,
2010-03,0.045,
2010-04,0.047,
2010-05,0.049,
2010-06,0.049,
2010-07,0.049,
2010-08,0.064,
2010-09,0.062,
2010-10,0.062,
2010-11,0.064,
2010-12,0.081,
2011-01,0.080,
2011-02,0.091,
2011-03,0.088,
2011-04,0.088,
2011-05,0.093,
2011-06,0.110,
2011-07,0.111,
2011-08,0.110,
2011-09,0.119,
2011-10,0.123,
2011-11,0.129,
2011-12,0.124,
2012-01,0.123,
2012-02,0.119,
2012-03,0.130,
2012-04,0.125,
2012-05,0.122,
2012-06,0.119,
2012-07,0.135,
2012-08,0.141,
2012-09,0.144,
2012-10,0.152,
2012-11,0.143,
2012-12,0.136,
2013-01,0.136,
2013-02,0.137,
2013-03,0.224,
2013-04,0.223,
2013-05,0.241,
2013-06,0.240,
2013-07,0.224,
2013-08,0.229,
2013-09,0.217,
2013-10,0.217,
2013-11,0.218,
2013-12,0.211,
2014-01,0.203,
2014-02,0.199,
2014-03,0.206,
2014-04,0.216,
2014-05,0.242,
2014-06,0.233,
2014-07,0.221,
2014-08,0.212,
2014-09,0.221,
2014-10,0.217,
2014-11,0.219,
2014-12,0.221,
