"",BBFB1.M.N.DE.W1.S1.S1.T.L.FA.O.F89___SDR.T._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.O.F89___SDR.T._T._X.N_FLAGS
2012-08,-42.580,
2012-09,249.333,
2012-10,-254.542,
2012-11,244.219,
2012-12,-5644.136,
2013-01,934.846,
2013-02,4502.969,
2013-03,42.772,
2013-04,-186.083,
2013-05,79.418,
2013-06,-29.898,
2013-07,9.878,
2013-08,101.224,
2013-09,766.708,
2013-10,-967.350,
2013-11,-14.564,
2013-12,-5902.288,
2014-01,370.568,
2014-02,4298.068,Provisional value
2014-03,64.318,Provisional value
2014-04,-134.182,Provisional value
2014-05,23.611,Provisional value
2014-06,-368.766,Provisional value
2014-07,422.900,Provisional value
2014-08,361.828,Provisional value
2014-09,-841.169,
2014-10,714.042,
2014-11,1406.016,
2014-12,-5939.504,Provisional value
