"",BBFB1.M.N.DE.W1.S1.S1.T.D.G___AD._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.G___AD._Z._Z._Z._T._X.N_FLAGS
2002-06,6190.137,
2002-07,5022.515,
2002-08,6101.463,
2002-09,6124.816,
2002-10,6218.376,
2002-11,5520.067,
2002-12,5171.132,
2003-01,5634.431,
2003-02,5361.869,
2003-03,5639.013,
2003-04,5570.195,
2003-05,5633.015,
2003-06,5256.288,
2003-07,5251.138,
2003-08,4816.029,
2003-09,5516.007,
2003-10,5963.113,
2003-11,5694.947,
2003-12,4614.489,
2004-01,5926.303,
2004-02,5614.239,
2004-03,5602.469,
2004-04,6153.012,
2004-05,5457.290,
2004-06,5461.987,
2004-07,5469.318,
2004-08,5347.093,
2004-09,5816.218,
2004-10,5786.202,
2004-11,6309.258,
2004-12,5644.521,
2005-01,5740.952,
2005-02,5603.898,
2005-03,5901.605,
2005-04,6432.677,
2005-05,5792.911,
2005-06,6401.047,
2005-07,5755.212,
2005-08,6033.653,
2005-09,6691.446,
2005-10,6067.209,
2005-11,6703.201,
2005-12,5966.237,
2006-01,6400.289,
2006-02,7221.587,
2006-03,7681.432,
2006-04,7113.335,
2006-05,7130.107,
2006-06,7788.085,
2006-07,7170.807,
2006-08,7227.922,
2006-09,7496.686,
2006-10,8288.585,
2006-11,8381.120,
2006-12,7615.053,
2007-01,6166.339,
2007-02,6509.554,
2007-03,6966.838,
2007-04,6801.817,
2007-05,5938.499,
2007-06,6537.645,
2007-07,6191.598,
2007-08,6334.307,
2007-09,6024.479,
2007-10,6973.360,
2007-11,6860.558,
2007-12,5809.810,
2008-01,6421.691,
2008-02,7134.631,
2008-03,5916.453,
2008-04,6949.900,
2008-05,6104.988,
2008-06,6476.117,
2008-07,7024.525,
2008-08,5963.877,
2008-09,6831.076,
2008-10,7183.717,
2008-11,7233.410,
2008-12,6610.657,
2009-01,6081.162,
2009-02,6739.078,
2009-03,7146.126,
2009-04,6144.256,
2009-05,5623.467,
2009-06,5745.269,
2009-07,5462.785,
2009-08,5357.641,
2009-09,5529.734,
2009-10,6377.685,
2009-11,5000.672,
2009-12,5358.821,
2010-01,6173.631,
2010-02,6561.425,
2010-03,7025.306,
2010-04,6491.828,
2010-05,6929.345,
2010-06,7900.413,
2010-07,8200.909,
2010-08,6344.388,
2010-09,6439.542,
2010-10,6462.297,
2010-11,8051.701,
2010-12,7051.852,
2011-01,5900.512,
2011-02,6712.982,
2011-03,6989.092,
2011-04,6093.981,
2011-05,7572.268,
2011-06,6493.841,
2011-07,7932.606,
2011-08,7324.548,
2011-09,7785.725,
2011-10,8320.086,
2011-11,7628.989,
2011-12,6766.665,
2012-01,6108.089,
2012-02,6007.337,
2012-03,6202.223,
2012-04,6435.795,
2012-05,7080.962,
2012-06,6605.658,
2012-07,6938.896,
2012-08,7068.373,
2012-09,6248.962,
2012-10,6754.774,
2012-11,7370.551,
2012-12,5826.683,
2013-01,6690.842,
2013-02,6292.924,
2013-03,7449.401,
2013-04,6993.345,
2013-05,7794.419,
2013-06,8450.344,
2013-07,6968.871,
2013-08,5717.074,
2013-09,6003.109,
2013-10,8293.413,
2013-11,7274.098,
2013-12,6115.174,
2014-01,6839.696,
2014-02,7510.155,
2014-03,9495.898,
2014-04,7624.344,
2014-05,6170.539,
2014-06,8427.464,
2014-07,7128.219,
2014-08,6712.361,
2014-09,7372.671,
2014-10,7224.218,
2014-11,7641.330,
2014-12,6277.674,Provisional value
